ID,Event,Class,# rametes
LCOR-575,5A,intermediate,3
LCOR-462,2H,high,3
LCOR-502,CT3,WT,4
LCOR-534,4A,intermediate,2
LCOR-166,5A,intermediate,1
LCOR-090,8-9D,control,1
LCOR-411,8-9D,control,1
LCOR-094,8-9D,control,1
LCOR-613,13-15E,high,2
LCOR-073,13-15E,high,3
LCOR-228,4A,intermediate,1
LCOR-269,5C,intermediate,1
LCOR-293,8-9D,control,2
LCOR-230,4A,intermediate,1
LCOR-082,13-15E,high,2
LCOR-511,16-20,control,1
LCOR-611,13-15E,high,1
