"","ID","Event","Class","X..rametes"
"1","LCOR-511","16-20","control",1
"2","LCOR-094","8-9D","control",1
"3","LCOR-293","8-9D","control",2
"4","LCOR-411","8-9D","control",1
"5","LCOR-611","13-15E","high",1
"6","LCOR-613","13-15E","high",2
"7","LCOR-462","2H","high",3
"8","LCOR-073","13-15E","high",3
"9","LCOR-230","4A","intermediate",1
"10","LCOR-534","4A","intermediate",2
"11","LCOR-575","5A","intermediate",3
"12","LCOR-269","5C","intermediate",1
