"","ID","SPAD_June_2022","SPAD_July_2022","SPAD_aug_2022","SPAD_sep_2022","SPAD_July_2023","SPAD_Aug_2023","SPAD_Sep_2023","avg_SPAD","row","column"
"54","LCOR-421",35.4,27.16666667,38.86666667,42.1,23.2,20.3,30.3,31.0476190485714,15,6
"55","LCOR-177",33.66666667,33.73333333,33.43333333,43.86666667,22.8,23.4,31.1,31.7142857142857,2,7
"56","LCOR-073",33.4,30.06666667,37.76666667,44.16666667,29.7,24.3,32.5,33.12857143,3,7
"57","LCOR-510",32.23333333,21.83333333,39.66666667,42.26666667,27.3,29.7,26,31.2857142857143,4,7
"58","LCOR-474",32.4,23.03333333,37.2,44.9,30.1,28.3,26.5,31.7761904757143,5,7
"59","LCOR-181",30.06666667,32.26666667,41.66666667,42.3,31.2,21.9,28.9,32.6142857157143,6,7
"60","LCOR-148",32.5,29.8,32.83333333,39.46666667,30.5,30.7,33.4,32.7428571428571,7,7
"61","LCOR-400",38.4,29.33333333,32.2,42.2,27.7,21.6,32.9,32.0476190471429,8,7
"62","LCOR-530",32.23333333,28,36.6,47.96666667,28,22.7,28.2,31.9571428571429,9,7
"63","LCOR-094",29.06666667,28.7,40.7,39.93333333,26.3,24.4,34.8,31.9857142857143,12,7
"64","LCOR-296",35.83333333,28.73333333,33.9,46.33333333,24.1,22.1,29.9,31.5571428557143,13,7
"65","LCOR-265",35,25.4,37,43.83333333,25.3,29.5,23.2,31.3190476185714,14,7
"66","LCOR-198",32.5,23.46666667,31.9,39.4,25.1,26.4,21.2,28.5666666671429,15,7
"67","LCOR-179",34.26666667,26.26666667,31.73333333,46.73333333,32.3,27.7,25.2,32.0285714285714,2,8
"68","LCOR-036",35.1,28.63333333,30.43333333,45,29.4,17.9,25.6,30.2952380942857,3,8
"69","LCOR-279",32.93333333,23.7,35.76666667,46.23333333,30.1,27.3,29.6,32.2333333328571,4,8
"70","LCOR-078",36.23333333,24.43333333,37.1,45.16666667,32.5,29.6,31.2,33.7476190471429,5,8
"71","LCOR-582",32.43333333,29.43333333,31.93333333,45.63333333,31.4,19.6,33.5,31.9904761885714,6,8
"72","LCOR-385",38.86666667,28.7,35.66666667,43.83333333,26.3,28.1,33.7,33.5952380957143,7,8
"73","LCOR-250",35.96666667,24.93333333,35.26666667,40.36666667,25.7,19.1,31.8,30.4476190485714,8,8
"74","LCOR-034",36.13333333,28.86666667,41,43.26666667,24.8,29.9,21.7,32.2380952385714,9,8
"75","LCOR-255",37.83333333,28.33333333,32.13333333,41.93333333,27.1,24.2,23.6,30.7333333314286,10,8
"76","LCOR-238",33.43333333,25.66666667,37.76666667,44.86666667,26.0488584474886,26.0488584474886,23.9,31.1044357478539,11,8
"77","LCOR-254",23.73333333,32.9,38.03333333,44.5,23.6,20.5,26.7,29.9952380942857,12,8
"78","LCOR-469",31.1,27.7,49.3,43,29.2,25.1,28.5,33.4142857142857,13,8
"79","LCOR-167",32.83333333,27.1,33.43333333,42,25.5,27.8,27.3,30.8523809514286,14,8
"80","LCOR-274",29.86666667,32.06666667,36.7,41.73333333,24.8,21.4,26.8,30.4809523814286,15,8
"81","LCOR-581",38.23333333,34.76666667,33.1,43.13333333,25.9,25.4,33.1,33.3761904757143,2,9
"82","LCOR-001",40.96666667,29.56666667,29.76666667,41.2,24.7,18.8,26.5,30.2142857157143,3,9
"83","LCOR-342",35.9,26.73333333,31.83333333,43.56666667,28.9,22.3,20.5,29.9619047614286,4,9
"84","LCOR-471",40.33333333,30.33333333,32.56666667,40.6,27,21.3,27,31.3047619042857,5,9
"85","LCOR-380",36.2,25.46666667,34.9,42.53333333,28,29.5,29,32.2285714285714,6,9
"86","LCOR-076",34.26666667,28.5,34.13333333,44.9,26.2,26.1,30.5,32.0857142857143,7,9
"87","LCOR-163",37.03333333,27.9,31.16666667,42.23333333,26.8,28.2,30.2,31.9333333328571,8,9
"89","LCOR-217",34.9,31.03333333,40.23333333,42.43333333,17.4,29,18.9,30.5571428557143,10,9
"90","LCOR-231",34.13333333,30.43333333,36.86666667,42.46666667,28.9,20.6,30.4,31.9714285714286,11,9
"91","LCOR-075",32.3,27.13333333,43.1,44.2,21.8,25.7,30.2,32.0619047614286,12,9
"92","LCOR-504",32.46666667,27.23333333,44.1,43.06666667,27.1,26,26.7,32.3809523814286,13,9
"93","LCOR-511",34.13333333,29.23333333,37.73333333,44.76666667,26.8,27.5,32.4,33.2238095228571,14,9
"94","LCOR-041",33.26666667,27.2,29.4,46.9,27.2,23.5,37.7,32.1666666671429,15,9
"95","LCOR-023",34.06666667,28.7,40.5,41.2,31.4,26.8,29.4,33.1523809528571,3,10
"96","LCOR-020",35.13333333,27.46666667,43.6,45.26666667,33.6,25.3,28.2,34.0809523814286,4,10
"97","LCOR-010",32.1,28.13333333,45.83333333,43.26666667,29.5,28.4,25.3,33.2190476185714,5,10
"98","LCOR-292",33.93333333,18.16666667,39.43333333,40.46666667,29.6,29.6,24.4,30.8,6,10
"99","LCOR-420",33.9,26,35.23333333,45.93333333,30.1,17.7,23.3,30.3095238085714,7,10
"100","LCOR-157",34.83333333,36.4,32.36666667,43.03333333,30.5,23.4,26.1,32.3761904757143,8,10
