row,column,ID,mass1,mass2,mass3,mass_avg,area1,area2,area3,area_avg,SLA,LMA,
13,17,LCOR-502,0.77,0.76,0.74,0.756666667,48.54,49.39,43.13,47.02,62.14096916,0.016092443,
7,24,LCOR-339,0.77,0.77,0.69,0.743333333,49.13,59.13,52.91,53.72333333,72.2735426,0.013836322,
5,10,LCOR-010,0.78,0.93,0.82,0.843333333,59.08,53.18,52.17,54.81,64.99209486,0.015386487,
1,5,LCOR-082,0.79,0.86,0.73,0.793333333,48.66,61.23,55.41,55.1,69.45378151,0.014398064,
9,15,LCOR-307,0.79,0.85,0.77,0.803333333,49.98,57.42,57.67,55.02333333,68.49377593,0.014599867,
14,10,LCOR-039,0.82,0.72,0.95,0.83,52.43,42.06,58.46,50.98333333,61.42570281,0.01627983,
4,13,LCOR-200,0.82,0.84,0.81,0.823333333,48.27,47.98,51.1,49.11666667,59.65587045,0.01676281,
11,22,LCOR-063,0.82,0.6,0.54,0.653333333,42.37,41.32,53.78,45.82333333,70.1377551,0.014257656,
14,11,LCOR-040,0.83,0.75,0.78,0.786666667,54.88,54.76,50.55,53.39666667,67.87711864,0.014732505,
3,20,LCOR-242,0.83,0.84,0.8,0.823333333,44.8,59.51,55.49,53.26666667,64.69635628,0.015456821,
11,23,LCOR-090,0.83,0.77,0.8,0.8,55.99,54.48,53.36,54.61,68.2625,0.014649332,
7,14,LCOR-347,0.84,0.81,0.82,0.823333333,61.12,65.75,59.63,62.16666667,75.50607287,0.013243968,
2,16,LCOR-247,0.86,1.02,1.03,0.97,64.01,64.96,52.14,60.37,62.2371134,0.016067583,
9,17,LCOR-275,0.86,0.74,0.62,0.74,49.13,58.53,41.74,49.8,67.2972973,0.014859438,
7,48,LCOR-509,0.86,0.92,0.84,0.873333333,43.22,58.62,65.03,55.62333333,63.69083969,0.015700845,
3,9,LCOR-001,0.87,0.63,0.77,0.756666667,57.77,41.03,53.22,50.67333333,66.969163,0.014932246,
12,49,LCOR-460,0.87,0.79,0.7,0.786666667,46.83,55.82,52.23,51.62666667,65.62711864,0.015237603,
4,4,LCOR-249,0.88,0.81,0.7,0.796666667,36.59,49.5,57.49,47.86,60.07531381,0.016645772,
2,11,LCOR-164,0.88,0.77,0.82,0.823333333,50.58,44.54,50.18,48.43333333,58.82591093,0.016999312,
8,9,LCOR-163,0.89,0.91,0.45,0.75,66.9,75.2,56.18,66.09333333,88.12444444,0.011347589,
2,20,LCOR-162,0.89,0.76,1.01,0.886666667,57.78,49.97,65.61,57.78666667,65.17293233,0.015343793,
7,26,LCOR-613,0.89,0.86,0.74,0.83,46.33,54.43,51.09,50.61666667,60.98393574,0.016397761,
7,25,LCOR-160,0.91,1.35,1,1.086666667,57.87,52.97,77.36,62.73333333,57.73006135,0.017321998,
7,16,LCOR-610,0.92,0.52,1.05,0.83,54.11,46.89,58.38,53.12666667,64.00803213,0.015623039,
15,4,LCOR-211,0.93,1.04,1.08,1.016666667,66.41,59.42,70.55,65.46,64.38688525,0.015531113,
11,9,LCOR-231,0.93,1.01,1.01,0.983333333,64.17,60.91,64.81,63.29666667,64.36949153,0.01553531,
9,13,LCOR-320,0.94,1.04,1.17,1.05,52.64,75.38,81.1,69.70666667,66.38730159,0.015063122,
6,17,LCOR-458,0.94,0.97,0.8,0.903333333,58.14,47.07,64.46,56.55666667,62.60885609,0.015972181,
13,12,LCOR-218,0.95,0.12,0.61,0.56,95.3,78.76,55.88,76.64666667,136.8690476,0.007306254,
6,16,LCOR-072,0.95,0.8,0.79,0.846666667,66.28,59.04,50.77,58.69666667,69.32677165,0.014424442,
14,19,LCOR-080,0.96,0.75,0.82,0.843333333,51.87,64.93,48.9,55.23333333,65.49407115,0.015268558,
13,27,LCOR-295,0.96,0.8,0.6,0.786666667,58.67,54.75,43.74,52.38666667,66.59322034,0.015016544,
