row,column,ID,DBH,Height,event,construct,Comments,
10,19,LCOR-558,18,7.85,LC-102 7,LC102,,
11,19,LCOR-138,19,9.6,LC-102 5,LC102,,
12,19,LCOR-383,18,8.65,LC-102 7,LC102,,
13,19,LCOR-568,19,9.25,LC-102 5C,LC102,,
14,19,LCOR-080,15,8.85,LC-102 13-15E,LC102,,
15,19,LCOR-391,23,11,LC-102 7,LC102,,
16,19,LCOR-1086,,,NA,wt,,
1,20,LCOR-553,21.5,10.6,LC-102 7,LC102,,
2,20,LCOR-162,23.5,10.95,LC-102 5A,LC102,,
3,20,LCOR-242,23,11.35,LC-102 5A,LC102,,
4,20,LCOR-330,22,10.7,CT717 1,CT717,,
5,20,LCOR-166,23,10.6,LC-102 5A,LC102,,
6,20,LCOR-512,22.5,9.5,LC-102 16-20,LC102,,
7,20,LCOR-059,26,12.45,LC-102 2H,LC102,,
8,20,LCOR-101,27,12.5,LC-102 16-20,LC102,,
9,20,LCOR-067,23,11.2,LC-102 2H,LC102,,
10,20,LCOR-1100,11,6.8,NA,wt,,
11,20,LCOR-103,20.5,10.6,LC-102 16-20,LC102,,
12,20,LCOR-230,26,12.85,LC-102 4A,LC102,,
13,20,LCOR-534,24,11.55,LC-102 4A,LC102,,
14,20,LCOR-261,23,11.6,LC-102 4B,LC102,,
15,20,LCOR-493,19,10.2,CT717 3,CT717,,
16,20,LCOR-1087,,,NA,wt,,
1,21,LCOR-468,19,8.6,LC-102 13-15B,LC102,,
2,21,LCOR-098,22.5,9.5,LC-102 8-9D,LC102,,
3,21,LCOR-482,22,10.05,LC-102 1C,LC102,,
4,21,LCOR-350,23,9.8,CT717 3,CT717,,
5,21,LCOR-129,22.5,11.1,LC-102 5,LC102,,
6,21,LCOR-012,26,12.15,LC-102 4A,LC102,,
7,21,LCOR-248,25,12.15,LC-102 5A,LC102,,
8,21,LCOR-476,22,10.55,LC-102 13-15B,LC102,"defoliated, canker",
9,21,LCOR-584,23,11.55,LC-102 5A,LC102,,
10,21,LCOR-518,23,11.65,LC-102 16-20,LC102,,
11,21,LCOR-450,21,10.2,LC-102 2H,LC102,,
12,21,LCOR-017,26,11.5,LC-102 4B,LC102,,
13,21,LCOR-495,27,12.8,CT717 3,CT717,,
14,21,LCOR-144,21.5,10.8,LC-102 7,LC102,,
15,21,LCOR-204,22,11.2,CT717 3,CT717,,
16,21,LCOR-1142,,,NA,wt,,
1,22,LCOR-470,16,8.1,LC-102 13-15B,LC102,,
2,22,LCOR-616,19,9.55,LC-102 13-15E,LC102,,
3,22,LCOR-245,13,6.8,LC-102 5A,LC102,,
4,22,LCOR-165,19,9,LC-102 5A,LC102,,
5,22,LCOR-209,24,11.35,CT717 3,CT717,,
6,22,LCOR-340,18,7.95,CT717 3,CT717,,
7,22,LCOR-326,24.5,11.65,CT717 1,CT717,,
8,22,LCOR-149,17,9.3,LC-102 7,LC102,insects,
9,22,LCOR-1015,,,NA,wt,,
10,22,LCOR-169,21,10.75,LC-102 1C,LC102,,
11,22,LCOR-063,23.5,12,LC-102 2H,LC102,,
12,22,LCOR-483,24,11.8,LC-102 1C,LC102,,
13,22,LCOR-514,25,10.7,LC-102 16-20,LC102,,
14,22,LCOR-266,24,10.65,LC-102 4B,LC102,,
15,22,LCOR-122,20,10.9,CT717 1,CT717,,
16,22,LCOR-1148,,,NA,wt,,
1,23,LCOR-485,27,12.25,LC-102 1C,LC102,,
2,23,LCOR-398,19,9.85,LC-102 1C,LC102,,
3,23,LCOR-171,16,8.25,LC-102 1C,LC102,,
4,23,LCOR-422,22,10.8,LC-102 4B,LC102,,
