"","ID","Timepoint","n.x","A_sd","A","A_se","ETR_6800_sd","ETR_6800","ETR_6800_se","Tleaf_6800_sd","Tleaf_6800","Tleaf_6800_se","PhiPS2_6800_sd","PhiPS2_6800","PhiPS2_6800_se","Qin_sd","Qin","Qin_se","Ci_sd","Ci","Ci_se","n.y","gsw_sd","gsw","gsw_se","PAR_sd","PAR","PAR_se","ETR_sd","ETR","ETR_se","Tleaf_sd","Tleaf","Tleaf_se","VPDleaf_sd","VPDleaf","VPDleaf_se","PhiPS2_sd","PhiPS2","PhiPS2_se","Rd","Resp_temp","R","Theta_e","Jt","Jo","Rl","Jc","Jo_ratio","R_6800","Theta_e_6800","Jt_6800","Jo_6800","Rl_6800","Jc_6800","Jo_ratio_6800","row","column","event","event_short","block","construct","construct2","H497","Class","treatment"
"51","LCOR-230","16",1,NA,4.68053665,NA,NA,90.70807124,NA,NA,32.81480645,NA,NA,0.269478355,NA,NA,800.0234194,NA,NA,1717.288158,NA,1,NA,0.033355,NA,NA,1648,NA,NA,149.198029,NA,NA,32.98,NA,NA,3.710307,NA,NA,0.226269,NA,-0.887113573,25.96638667,1.59836759853873,0.105362048238387,173.636655496862,105.641975459241,13.2052469324051,67.9946800376205,0.60840826009316,1.59836759853873,0.128202608466859,102.565089201656,58.2609312624375,7.28261640780468,44.3041579392187,0.568038615438524,12,20,"LC-102 4A","4A","large","LC-102","transgenic",3916.68,"intermediate","drought"
"52","LCOR-230","18",1,NA,2.901622533,NA,NA,50.12865712,NA,NA,31.77228065,NA,NA,0.079493245,NA,NA,1499.993548,NA,NA,-308.5884156,NA,1,NA,0.029936,NA,NA,86,NA,NA,25.173502,NA,NA,23.18,NA,NA,1.372125,NA,NA,0.731126,NA,-0.887113573,25.96638667,0.830008997621574,0.372230570466176,32.0118290600911,15.9691954800607,1.99614943500759,16.0426335800304,0.498852953702961,0.830008997621574,0.0277760608484568,41.6639120615405,22.403917481027,2.80048968512838,19.2599945805135,0.537729569127711,12,20,"LC-102 4A","4A","large","LC-102","transgenic",3916.68,"intermediate","drought"
"53","LCOR-251","8",1,NA,16.91194195,NA,NA,119.7190466,NA,NA,22.69830323,NA,NA,0.355679625,NA,NA,799.9907097,NA,NA,287.3520129,NA,1,NA,0.27291,NA,NA,209,NA,NA,61.986176,NA,NA,15.83,NA,NA,0.564188,NA,NA,0.741512,NA,-1.071046338,26.05654333,0.416232909544723,0.377720632942991,78.9436122850852,10.3866865580568,1.2983358197571,68.5569257270284,0.131570956248466,0.416232909544723,0.173768789660858,139.0134173645,50.4332232776666,6.30415290970832,88.5801940868333,0.362793924743453,10,6,"LC-102 5A","5A","large","LC-102","transgenic",4480.56,"intermediate","drought"
"54","LCOR-251","12",1,NA,14.44412166,NA,NA,166.9466221,NA,NA,30.70683,NA,NA,0.264733947,NA,NA,1500.035,NA,NA,216.2306171,NA,1,NA,0.15186,NA,NA,1515,NA,NA,259.506042,NA,NA,27.71,NA,NA,2.431738,NA,NA,0.428171,NA,-1.071046338,26.05654333,1.152250149904,0.212087890159634,321.313153591845,178.54723486923,22.3184043586538,142.765918722615,0.555679818498914,1.152250149904,0.125694703947747,188.546455236258,90.0361026321721,11.2545128290215,98.510352604086,0.477527421660367,10,6,"LC-102 5A","5A","large","LC-102","transgenic",4480.56,"intermediate","drought"
"55","LCOR-251","14",1,NA,10.78612507,NA,NA,145.411995,NA,NA,33.05925667,NA,NA,0.230585607,NA,NA,1500.035667,NA,NA,199.3284754,NA,1,NA,0.153073,NA,NA,1149,NA,NA,235.564819,NA,NA,28.74,NA,NA,2.618413,NA,NA,0.512406,NA,-1.071046338,26.05654333,1.258596617587,0.25661469670061,294.850286509001,170.659981054001,21.3324976317501,124.190305455,0.578802154390279,1.258596617587,0.1076438162066,161.469563641893,81.739499142595,10.2174373928244,79.7300644992975,0.506222332549786,10,6,"LC-102 5A","5A","large","LC-102","transgenic",4480.56,"intermediate","drought"
"56","LCOR-251","16",1,NA,7.618934074,NA,NA,125.9788395,NA,NA,34.35004839,NA,NA,0.374266137,NA,NA,800.0144194,NA,NA,144.6417648,NA,1,NA,0.061934,NA,NA,446,NA,NA,122.540421,NA,NA,30.15,NA,NA,2.935941,NA,NA,0.687647,NA,-1.071046338,26.05654333,1.42027068468331,0.349247475296767,155.764373982358,86.3818820255721,10.7977352531965,69.3824919567861,0.554567644815596,1.42027068468331,0.183593660843805,146.877575985477,80.4573500276515,10.0571687534564,66.4202259578257,0.547785116195047,10,6,"LC-102 5A","5A","large","LC-102","transgenic",4480.56,"intermediate","drought"
"57","LCOR-251","18",1,NA,7.314193241,NA,NA,116.7003762,NA,NA,32.05077742,NA,NA,0.346694553,NA,NA,800.0294839,NA,NA,94.04414522,NA,1,NA,0.022862,NA,NA,58,NA,NA,16.439825,NA,NA,24.81,NA,NA,1.70347,NA,NA,0.713091,NA,-1.071046338,26.05654333,0.898669081749567,0.362697229741221,21.0364393249908,-2.6240988580061,-0.328012357250763,23.6605381829969,-0.124740637779357,0.898669081749567,0.169019260810609,135.220391995471,73.4985362556472,9.1873170319559,61.7218557398236,0.543546244549484,10,6,"LC-102 5A","5A","large","LC-102","transgenic",4480.56,"intermediate","drought"
"58","LCOR-268","8",1,NA,19.96882134,NA,NA,165.9635958,NA,NA,23.00008,NA,NA,0.493022496,NA,NA,800.0679,NA,NA,259.7108695,NA,1,NA,0.378734,NA,NA,153,NA,NA,42.651299,NA,NA,17.08,NA,NA,0.729382,NA,NA,0.694688,NA,-1.733449806,25.90988387,0.306682413134262,0.352969363405689,54.0043126010704,-12.6247823566197,-1.57809779457747,66.6290949576901,-0.233773596006655,0.306682413134262,0.246368533790962,197.111555456214,82.7800462134759,10.3475057766845,114.331509242738,0.419965465859583,11,4,"LC-102 5C","5C","large","LC-102","transgenic",3870.96,"intermediate","control"
"59","LCOR-268","12",1,NA,21.14637685,NA,NA,238.3219614,NA,NA,30.67282581,NA,NA,0.37792565,NA,NA,1499.999677,NA,NA,253.4645064,NA,1,NA,0.27574,NA,NA,935,NA,NA,198.533218,NA,NA,26.48,NA,NA,2.092689,NA,NA,0.530947,NA,-1.733449806,25.90988387,1.07930151398905,0.26641551014011,249.098501981003,114.297862536669,14.2872328170836,134.800639444334,0.458846045350306,1.07930151398905,0.185528087476264,278.292071288824,133.760242075216,16.720030259402,144.531829213608,0.48064697443857,11,4,"LC-102 5C","5C","large","LC-102","transgenic",3870.96,"intermediate","control"
"60","LCOR-268","14",1,NA,15.81630067,NA,NA,214.8154629,NA,NA,31.22586129,NA,NA,0.340645429,NA,NA,1500.018065,NA,NA,144.1010504,NA,1,NA,0.178495,NA,NA,1634,NA,NA,396.715271,NA,NA,27.53,NA,NA,2.374842,NA,NA,0.607086,NA,-1.733449806,25.90988387,1.24217519101632,0.30666275324836,501.08693880782,296.503690234546,37.0629612793183,204.583248573273,0.591721051320924,1.24217519101632,0.165821680540052,248.735516378737,128.269408615158,16.0336760768947,120.466107763579,0.515685940160828,11,4,"LC-102 5C","5C","large","LC-102","transgenic",3870.96,"intermediate","control"
"61","LCOR-268","18",1,NA,6.763416239,NA,NA,132.3664588,NA,NA,31.26833871,NA,NA,0.393244744,NA,NA,800.0106452,NA,NA,-15.53499689,NA,1,NA,0.199318,NA,NA,200,NA,NA,54.81031,NA,NA,23.86,NA,NA,1.445281,NA,NA,0.685925,NA,-1.733449806,25.90988387,0.760034472795294,0.348337222303788,69.6674444607577,33.0317191525051,4.12896489406314,36.6357253082526,0.474134215890627,0.760034472795294,0.193625794307404,154.902696631228,89.8552205994856,11.2319025749357,65.0474760317428,0.580075250809874,11,4,"LC-102 5C","5C","large","LC-102","transgenic",3870.96,"intermediate","control"
"62","LCOR-290","10",1,NA,22.72718346,NA,NA,229.9829305,NA,NA,999.9,NA,NA,0.36469921,NA,NA,1500.010667,NA,NA,204.6502796,NA,2,0.0333365491990398,0.3223395,0.0235725,528.915872327537,908,374,104.870281933326,218.9468305,74.1544875,3.37289934625983,22.225,2.385,0.508264818782984,1.3491135,0.3593975,0.0749731177956473,0.624698,0.053014,-0.980659009,25.45191,0.78026179147328,0.315972495241589,286.903025679363,133.277951916909,16.6597439896136,153.625073762454,0.464540070991992,0.78026179147328,0.178536562158928,267.8067476879,120.5470999226,15.068387490325,147.2596477653,0.4501271941926,14,23,"LC-102 8-9D","8-9D","large","Escape","control",4084.32,"Control","drought"
"63","LCOR-290","12",1,NA,20.16506551,NA,NA,241.256962,NA,NA,29.75917097,NA,NA,0.382570938,NA,NA,1500.035161,NA,NA,195.9058733,NA,1,NA,0.132773,NA,NA,1912,NA,NA,269.686005,NA,NA,31.67,NA,NA,3.286209,NA,NA,0.352686,NA,-0.980659009,25.45191,1.61304816235581,0.172186352891923,329.220306729357,168.321787150238,21.0402233937798,160.898519579119,0.511274012294177,1.61304816235581,0.187983596945049,281.982005108826,136.829586069884,17.1036982587355,145.152419038942,0.485242262239667,14,23,"LC-102 8-9D","8-9D","large","Escape","control",4084.32,"Control","drought"
"64","LCOR-290","14",1,NA,14.62965933,NA,NA,169.7833198,NA,NA,34.43831667,NA,NA,0.269232425,NA,NA,1500.034,NA,NA,192.4186243,NA,1,NA,0.114089,NA,NA,1790,NA,NA,475.71109,NA,NA,29.08,NA,NA,2.610629,NA,NA,0.664546,NA,-0.980659009,25.45191,1.32177244107774,0.337036235813143,603.294862105526,365.799240547684,45.7249050684605,237.495621557842,0.606335746455768,1.32177244107774,0.128072609327159,192.113268459456,91.6781781169709,11.4597722646214,100.435090342485,0.477208986407509,14,23,"LC-102 8-9D","8-9D","large","Escape","control",4084.32,"Control","drought"
"65","LCOR-290","16",1,NA,12.72962331,NA,NA,164.6243245,NA,NA,35.31965333,NA,NA,0.489101273,NA,NA,799.9739,NA,NA,220.716224,NA,1,NA,0.113396,NA,NA,1277,NA,NA,251.359344,NA,NA,31.82,NA,NA,3.227342,NA,NA,0.491951,NA,-0.980659009,25.45191,1.63176061018105,0.245802138645222,313.889331049948,177.928982563965,22.2411228204957,135.960348485983,0.566852597279428,1.63176061018105,0.244295766676045,195.430237221326,98.9562533448838,12.3695316681105,96.4739838764419,0.506350781495575,14,23,"LC-102 8-9D","8-9D","large","Escape","control",4084.32,"Control","drought"
"66","LCOR-290","18",1,NA,17.2846289,NA,NA,195.1551655,NA,NA,31.63822,NA,NA,0.579780828,NA,NA,800.0123,NA,NA,209.2456171,NA,1,NA,0.132484,NA,NA,439,NA,NA,125.467285,NA,NA,24.16,NA,NA,1.532505,NA,NA,0.714125,NA,-0.980659009,25.45191,0.905436226460432,0.363243804418771,159.46403013984,62.8321003838936,7.8540125479867,96.6319297559468,0.394020521924559,0.905436226460432,0.292229179185178,233.786937767047,112.380705468698,14.0475881835872,121.406232298349,0.480697110548912,14,23,"LC-102 8-9D","8-9D","large","Escape","control",4084.32,"Control","drought"
