Obs#,Time,Date,Observation,ID,time(hour),leaf,gsw,VPDleaf,Fs,Fm',PhiPS2,ETR,Tleaf,Qamb
1,10:59:18,8/31/22,1,717 Control 3,10,16,0.517351,1.296363,128.585815,245.907471,0.477097,260.663696,23.38,1366
2,11:01:29,8/31/22,2,Ptmyb_Control_2,10,15,0.535422,1.440889,95.431923,215.142349,0.556424,309.934967,24.55,1393
3,11:02:51,8/31/22,3,Ptmyb_122_1,10,16,0.186591,1.572611,81.509109,258.148804,0.684255,426.694489,24.88,1559
4,11:03:50,8/31/22,4,Ptmyb_124_4,10,15,0.261389,1.980802,94.774246,229.344437,0.58676,403.245728,27.37,1718
5,11:04:48,8/31/22,5,Vvmyb_59-3,10,17,0.274839,2.228988,48.507214,97.416016,0.502061,363.529816,28.52,1810
6,11:05:27,8/31/22,6,Ptmyb_92-2_3,10,15,0.454526,1.784355,116.941093,240.147522,0.513045,353.509766,26.88,1723
7,11:07:37,8/31/22,7,Vvmyb_68-1,10,13,0.463556,1.762259,87.398529,160.239685,0.454576,299.159851,26.85,1645
8,11:08:32,8/31/22,8,717 control   ,10,16,0.244737,1.74765,66.436172,87.886818,0.244071,142.800568,26.59,1463
9,11:10:52,8/31/22,9,Ptmyb_131-1_1,10,17,0.249246,2.172168,97.926735,201.40416,0.51378,353.555847,28.65,1720
10,11:11:52,8/31/22,10,Ptmyb_Control_5,10,19,0.325362,1.803584,197.800034,328.618103,0.398085,232.6586,27.36,1461
11,11:12:52,8/31/22,11,Ptmyb_125-1_3,10,15,0.318743,2.175533,88.678482,181.502197,0.511419,374.96347,28.96,1833
12,11:14:07,8/31/22,12,Ptmyb_125-1_1,10,16,0.418979,1.948135,128.327606,297.725555,0.568973,412.483063,28.3,1812
13,11:16:11,8/31/22,13,Ptmyb_122_5,10,16,0.389261,1.834354,114.661934,324.050415,0.64616,362.429626,27.41,1402
14,11:17:13,8/31/22,14,Vvmyb 84-1_4,10,7,0.153603,2.475463,14.602304,32.53381,0.551165,391.894867,30.28,1778
15,11:18:27,8/31/22,15,717_CONTROL_2,10,16,0.470973,1.453873,100.643631,363.20816,0.722904,456.244141,25.35,1578
16,11:20:44,8/31/22,16,Vvmyb 7-1,10,10,0.225193,1.834529,57.870983,163.699677,0.646481,336.162292,27.33,1300
17,11:23:08,8/31/22,17,Ptmyb_131-1_2,10,16,0.198813,2.188139,160.934326,274.977936,0.414737,273.836884,28.68,1651
18,11:24:59,8/31/22,18,Ptmyb_30_4,10,16,0.185249,2.297112,135.741943,243.53476,0.442618,302.155457,29.1,1707
19,11:25:54,8/31/22,19,VVmybA1_84-1_1,10,9,0.103198,2.541914,22.158981,41.187702,0.462,295.604279,30.15,1600
20,11:26:41,8/31/22,20,Vvmyb 57-1,10,15,0.405194,1.978686,61.999798,152.42421,0.593242,408.612915,28.46,1722
21,11:27:28,8/31/22,21,Ptmyb_124_2,10,15,0.719051,1.7536,105.478409,271.276855,0.611178,381.658722,27.63,1561
22,11:28:44,8/31/22,22,VVmybA1_60_3,10,16,0.233378,2.228095,117.948532,251.998703,0.531948,360.823547,29.27,1696
23,11:30:00,8/31/22,23,Ptmyb_30_3,10,17,0.317729,1.957474,160.893204,276.974976,0.419106,293.722504,28.02,1752
24,11:30:43,8/31/22,24,VVmybA1_83-2_4,10,10,0.101161,2.891397,32.540558,51.468117,0.367753,266.161835,31.48,1809
25,11:32:17,8/31/22,25,Ptmyb_125-1_4,10,14,0.350585,2.242955,103.780029,251.162888,0.586802,427.357666,29.37,1821
26,11:32:59,8/31/22,26,VVmybA1_83-2_5,10,7,0.146081,2.530935,54.20351,105.39315,0.485702,344.906616,30.4,1775
27,11:34:43,8/31/22,27,717_Control_1,10,16,0.258678,2.109709,135.680084,289.860229,0.531912,342.295013,28.76,1609
28,11:35:51,8/31/22,28,717 control-8,10,17,0.503568,2.065839,138.574356,268.607758,0.484101,363.128601,28.82,1875
29,11:36:48,8/31/22,29,VVmybA1_59_5,10,15,0.284455,2.410804,103.798988,220.293625,0.528815,368.618073,30.01,1743
30,11:38:06,8/31/22,30,Ptmyb_92-2_4,10,17,0.226387,2.305623,126.277328,349.008636,0.638183,354.799988,29.37,1390
31,11:39:09,8/31/22,31,VVmybA1_83-2_3,10,11,0.20008,2.353952,108.866928,190.427505,0.428302,270.246735,29.95,1577
32,11:39:53,8/31/22,32,VVmybA1_59_1,10,16,0.226739,2.280806,94.383003,198.00621,0.523333,314.157959,29.44,1501
33,12:06:45,8/31/22,33,717 Control 3,12,16,0.459001,1.981434,105.455162,161.42215,0.346712,263.471191,29.06,1900
34,12:07:41,8/31/22,34,717 Control 3,12,19,0.448049,1.995679,163.669113,229.848541,0.287926,212.459427,28.84,1845
35,12:09:00,8/31/22,35,Ptmyb_Control_2,12,15,0.533743,1.922274,220.437531,313.084137,0.295916,187.845932,28.62,1587
36,12:09:32,8/31/22,36,Ptmyb_Control_2,12,18,0.302009,2.211095,129.813202,184.209457,0.295296,187.240631,29.58,1585
37,12:10:46,8/31/22,37,Ptmyb_122_1,12,16,0.173014,2.427035,117.521523,190.736328,0.383853,277.693298,30.04,1809
38,12:11:04,8/31/22,38,Ptmyb_122_1,12,18,0.21042,2.327375,109.727386,191.417343,0.426764,313.845947,29.76,1839
39,12:11:45,8/31/22,39,Ptmyb_124_4,12,15,0.259037,2.524247,95.375061,216.835022,0.560149,398.172302,31,1777
40,12:12:12,8/31/22,40,Ptmyb_124_4,12,18,0.179993,2.427979,148.368713,206.89064,0.282864,198.87674,30.49,1758
41,12:13:06,8/31/22,41,Vvmyb_59-3,12,17,0.297465,2.500751,48.27404,101.519402,0.524485,388.928375,31.05,1854
42,12:13:39,8/31/22,42,Vvmyb_59-3,12,19,0.151646,2.264333,44.607998,61.206013,0.271183,193.462509,29.47,1784
43,12:14:17,8/31/22,43,Ptmyb_92-2_3,12,15,0.473699,2.295229,99.87867,203.871597,0.51009,374.983002,30.37,1838
