"","construct2","n","rd3_SM_sd","rd3_SM","rd3_SM_se","rd3_MPa_sd","rd3_MPa","rd3_MPa_se","rd3_FvFm_sd","rd3_FvFm","rd3_FvFm_se"
"1","control",8,0.0347704205159665,0.126875,0.0122932000657739,0.196396101212393,-0.75,0.0694365074829413,0.0113499639521139,0.827643,0.00401281823838132
"2","transgenic",28,0.0360082846140518,0.134178571428571,0.00680492615905818,0.198631228862345,-0.741071428571429,0.0375377738700656,0.00963727138674356,0.831212178571429,0.00182127310046872
