,Name,MDI
0,L.....lactic.acid,0.01823540380330532
1,glycolic.acid,0.09460740113776836
2,pyruvic.acid,0.016081882305803135
3,Beta..alanine..2,0.006176732346005395
4,benzoic.acid,0.02351323984312612
5,phosphoric.acid,0.009816411210442851
6,maleic.acid,0.01134098118775372
7,glycine,0.009681347503757827
8,succinic.acid,0.022951284431626848
9,catechol,0.017750261600861034
10,glyceric.acid,0.009795633236809707
11,glyoxylic.acid,0.008187217539345489
12,fumaric.acid,0.007734856089658144
13,methyltartronic.acid,0.021351103138478482
14,ribonic.acid.gamma.lactone.2,0.00011652661064425717
15,D.malic.acid,0.02056874030873392
16,D.threitol,0.0086340693672762
17,L.pyroglutamic.acid,0.011090332531623587
18,ribose,0.00957758227919255
19,threonic.acid,0.049332473073977874
20,phenethylamine,0.008090543211371912
21,tartaric.acid,0.01153633367761143
22,arabinose,0.028192175462162065
23,D.sphingosine..3,0.012486671548797935
24,gluconic.acid.lactone.2,0.008219196982354878
25,D.sorbitol,0.015860468770749394
26,X4.hydroxycinnamic.acid,0.0057476501711795835
27,citric.acid,0.013727003416643142
28,dehydroascorbic.acid..1,0.011750789989221442
29,quinic.acid,0.004827309970568561
30,fructose.1,0.03749668623426073
31,D.glucose.1,0.05509209514631703
32,galactitol,0.022283658585322354
33,D.mannitol,0.017689522270544256
34,L.ascorbic.acid,0.007071446320939223
35,mucic.acid,0.0059261294958951214
36,myo.inositol,0.024325739936594315
37,N.acetyl.D.glucosamine.1,0.007064842247728354
38,caffeic.acid,0.019499642096518326
39,D.ribose.5.phosphate.1,0.028474846189917316
40,D.glucose.6.phosphate.1,0.005361283855047547
41,lactobionic.acid.1,0.003950463690095028
42,cellobiose.2,0.01598651052275673
43,phenyl.beta.glucopyranoside,0.014504925259854267
44,lactose.2,0.013258953671822235
45,Sucrose,0.012616221474443039
46,maltose..2,0.021489254631797884
47,loganin,0.03362915502627744
48,X....epicatechin,0.047565046262849395
49,trans.coutaric.acid,0.016995995433066815
50,D.....trehalose,0.002896680511284974
51,taxifolin.,0.0175086912842886
52,galactinol.2,0.0042885372907201695
53,kaempferol.2,0.009306479623049693
54,chlorogenic.acid.2,0.0020511363636363644
55,isoquercitrin.1,0.009943575184077636
56,maltotriose.1,0.02543357753908953
57,D.....melezitose,0.013204585733126316
58,Raffinose,0.008102695371828311
