file_name,ribitol,L-(+) lactic acid,glycolic acid,pipecolic acid 2,pyruvic acid,Beta- alanine  2,benzoic acid,L-serine 1,phosphoric acid,L-threonine 1,nicotinic acid,maleic acid,glycine,succinic acid,catechol,glyceric acid,glyoxylic acid,fumaric acid,methyltartronic acid,4-Acetoxyphenol,aspartic acid 1,ribonic acid-gamma-lactone 2,D-malic acid,D-threitol,L-pyroglutamic acid,ribose,L-glutamic acid 1,threonic acid,phenethylamine,alpha ketoglutaric acid,2-isopropylmalic acid,3-phenyllactic acid,tartaric acid,phloroglucinol,arabinose,xylose 1,D-sphingosine  3,rhamnose 2,gluconic acid lactone 2,isopropyl beta-D-1-thiogalactopyranoside ,D-sorbitol,4-hydroxycinnamic acid,shikimic acid,citric acid,dehydroascorbic acid  1,myristic acid,quinic acid,fructose 1,D-glucose 1,galactitol,galacturonic acid 2,D-mannitol,L-ascorbic acid,gluconic acid 2,galactonic acid 2,D-saccharic acid,mucic acid,myo-inositol,N-acetyl-D-glucosamine 1,caffeic acid,D-ribose-5-phosphate 1,D-glucose-6-phosphate 1,lactobionic acid 1,cellobiose 2,phenyl-beta-glucopyranoside,lactose 2,Sucrose,maltose  2,loganin,(-)-epicatechin,trans coutaric acid,D-(+) trehalose,taxifolin ,galactinol 2,kaempferol 2,chlorogenic acid 2,isoquercitrin 1,maltotriose 1,D-(+)-melezitose,Raffinose,petunidin-3-glucoside 2,gallocatechin,D-lyxose 1
QC6-1.FIN,1685870,0.000341906,0.000325629,0.000710182,6.93774E-05,0.0001316,0.000520358,0.002136849,0.101606571,0.000619579,0.000354119,0.004992804,0.001636733,0.009979721,0.03435356,0.00942776,0.000251271,0.000660271,0.001906738,5.21724E-05,0.002034984,0.006394991,0.159891946,0.005067371,0.001680352,8.67901E-05,0.007282369,0.159555786,0.000291296,0.001043327,0.000138733,0.001699119,0.008810781,3.3864E-05,0.007194028,0.001399761,0.015737632,0.000870348,0.210876797,0.003633166,0.000810649,0.000549022,0.046229302,0.069215865,0.193781362,0.003704346,0.740904546,0.344730086,0.532490577,0.006598776,8.75547E-05,0.000574202,0.025337487,0.002322784,0.014107858,0.00347725,0.001177384,1.002647146,0.028978278,0.009686623,0.002629438,0.006524941,0.000896761,0.011758464,0.040550468,0.016579053,1.638355126,0.009202401,0.024379312,0.151502794,0.002126548,0.002926567,0.002506523,0.092364735,0.011439662,0.908578409,0.056924852,1.664616007,0.005227722,0.015254099,0.003103589,0.001004241,
QC6-2.FIN,1597156,0.000277208,0.000317275,0.000441705,5.18971E-05,9.92964E-05,0.000583412,0.001939019,0.097912676,0.000577106,0.000181104,0.005542729,0.001234235,0.009956747,0.016258244,0.009058916,0.00019866,0.000662396,0.001945158,3.08257E-05,0.00193403,0.008213396,0.154796441,0.005325263,0.002151429,7.00778E-05,0.006710937,0.158224459,0.00037463,0.001920738,0.000161149,0.001521566,0.008559455,2.9386E-05,0.007190678,0.001541856,0.000224262,0.00062051,0.196537905,0.003302149,0.00061176,0.000610667,0.047429627,0.063782848,0.174760782,0.002579005,0.73775511,0.337057587,0.553215113,0.00368285,4.65399E-05,0.001109682,0.011266662,0.003622593,0.020623869,0.002415791,0.000930587,1.018468907,0.028775592,0.009957919,0.00268569,0.00599026,0.001458441,0.00041636,0.038152497,0.017576184,1.7729391,0.008917645,0.026330425,0.161947387,0.002165424,0.002114331,0.002280948,0.084760767,0.010347515,0.925554721,0.057867231,1.805768823,0.004993636,0.018874436,0.002629395,0.001577247,7.02117E-05
QC7-1.FIN,1552791,0.000221782,0.000215434,0.000184841,8.13731E-05,7.66905E-05,0.000376007,0.001248797,0.086886821,0.000399258,9.28426E-05,0.003809461,0.000949388,0.008872482,0.059166284,0.008044656,0.000171522,0.000548615,0.001580105,,0.001342217,0.003867051,0.131211571,0.003995701,0.000664755,6.20068E-05,0.004686794,0.134662299,0.000273822,0.001276811,8.77322E-05,0.000609917,0.008044506,0.001086929,0.005788708,0.001341362,0.000381695,0.000600251,0.167466472,,0.000501281,0.00146289,0.036351073,0.059083904,0.13203098,0.011285592,0.642493621,0.334759446,0.47675157,0.002562479,0.000903129,0.000438927,0.014693228,0.005341317,0.017259129,0.002452282,0.00082527,0.941023278,0.022747977,0.006034943,0.001637788,0.005498283,0.000716842,0.008827159,0.014228367,0.012124551,1.929427517,0.007034892,0.017872445,0.069209206,0.001708362,0.001153098,0.00282556,0.060762425,0.011017227,0.646216494,0.05352062,0.862514399,0.002269314,0.01363429,0.002207689,0.000433493,
QC7-2.FIN,1252795,0.000413094,0.000333507,0.000648136,0.000165324,0.000243815,0.000796112,0.001894988,0.134664422,0.000926451,0.000167248,0.007743856,0.000979845,0.014362408,0.095017649,0.013241851,0.000288472,0.001266699,0.002579008,3.74658E-05,0.002005336,0.007603719,0.226632097,0.006583531,0.002221879,0.000111373,0.004869203,0.224000037,0.00158514,0.002276244,0.000131598,0.002514288,0.012645886,0.002107126,0.009958058,0.002277664,0.00100985,0.000927206,0.265745954,,0.000567865,0.000616855,0.059794767,0.100790219,0.206882923,0.011826529,1.116609262,0.525370605,0.827320202,0.004246631,7.96238E-05,0.001972508,0.024193597,0.003000246,0.027555575,0.004801768,0.00152344,1.544187413,0.03725193,0.01185826,0.003018044,0.009166063,0.001937128,0.001158131,0.018536534,0.023697013,3.161127736,0.014777246,0.028716493,0.109328173,0.0020638,0.000158708,0.002500697,0.105283775,0.018064347,1.149695497,0.081151338,1.593743615,0.004581719,0.023830553,0.003344126,,0.000260103
QC8-1.FIN,1385940,0.000131353,0.000281043,0.00050705,3.90311E-05,0.000106801,0.000643714,0.000742946,0.070632704,0.000334188,0.000235835,0.004464183,0.000660098,0.011881141,0.069470269,0.009971852,0.000131915,0.00086557,0.002023439,4.47081E-05,0.001140265,0.009342618,0.184160887,0.005458102,0.001106068,0.000131976,0.004225906,0.168229339,0.000356188,0.002504314,0.000230683,0.000833278,0.009149977,3.29268E-05,0.007442572,0.001766398,0.016022783,0.000520944,0.236567999,0.000288222,0.000884579,0.00090504,0.050349208,0.054556667,0.176969362,0.001372803,0.98074219,0.44867836,0.681810707,0.002477736,,0.000699239,0.016800499,0.002857889,0.017479008,0.005730966,0.000720213,1.301132937,0.03070232,0.01062587,0.001111818,0.004200232,0.000704855,0.001085448,0.030953794,0.013938581,2.172010472,0.009586095,0.031903164,0.094628794,0.002486819,0.002233929,0.00265177,0.073492632,0.015836894,1.086335523,0.084671409,1.624165614,0.004225223,0.020242317,0.002186413,,
QC8-2.FIN,1397581,9.03933E-05,0.00020127,0.000180391,8.57453E-05,0.000104997,0.000804508,0.000480543,0.071831081,0.000130891,0.000126521,0.006208561,0.00023143,0.006935901,0.078920819,0.008554315,0.000346867,0.000834184,0.002218016,3.75063E-05,0.000797983,0.00598087,0.182448984,0.004410138,0.000632401,8.27396E-05,0.0014716,0.171076626,0.000276429,0.001310153,,0.00212771,0.008783942,3.06736E-05,0.003254042,0.001258248,0.012629682,0.000520542,0.250174684,0.03920571,0.000549148,0.000991526,0.046983391,0.040057753,0.214944183,0.000503138,1.177143728,0.301027363,0.404190128,0.004030764,0.002526159,0.002469636,0.016920366,0.004649676,0.019595143,,0.000866295,1.384430887,0.028567012,0.004550808,0.001382233,0.002839581,0.000968418,0.008104563,0.033109257,0.025686317,2.326254564,0.006667023,0.021480367,0.022263512,0.003076041,0.000619,0.00279624,0.026249527,0.018890192,0.753948353,0.10372225,1.466092141,0.00376737,0.015551549,0.001095086,,0.000145949
LCOR-035.FIN TL,2673016,0.000304788,0.000774039,0.000122147,9.82175E-05,0.000184699,0.000967079,0.001321132,0.134317024,0.000387376,0.000226163,0.006819852,0.00222532,0.011930801,0.000708334,0.006619198,0.000362692,0.001492731,0.004852765,8.22209E-05,0.001287906,0.008554146,0.170318479,0.007444532,0.001234921,9.62985E-05,0.003050431,0.12316638,0.000155082,0.000902469,0.000150004,0.002351325,0.011116975,3.09402E-05,0.00288256,0.003400708,0.011925106,0.001573171,0.313225772,0.00545727,0.001281539,0.000775099,0.049989579,0.123215111,0.22778612,0.001770153,0.807597153,0.116311881,0.177931713,0.011623547,0.000114713,0.002277854,0.012208605,0.002563951,0.018106479,0.004595288,0.002154842,0.874823691,0.029885419,0.00668279,0.001444159,0.007219657,0.001424691,0.000580915,0.024473319,0.033666514,0.845365927,0.006654295,0.019802385,0.258324298,0.003415569,0.002354457,0.006957808,0.061987166,0.014503585,0.93984457,0.085847597,1.663857286,0.004786271,0.015091131,0.002260077,0.000331987,0.001468372
LCOR-040.FIN TL,2632469,0.000189227,0.000609129,3.95398E-05,7.53563E-05,0.000347582,0.001308243,0.00102658,0.116229078,0.000238565,0.000206698,0.005361095,0.001471316,0.007885605,0.00061552,0.004660986,0.000384786,0.000656356,0.004984042,0.000116185,0.000722057,0.010493514,0.117400461,0.007367284,0.001700965,0.00023993,0.00083831,0.046239665,7.3163E-05,,,0.002797957,0.008516395,4.03086E-05,0.002238318,0.002740999,4.30747E-05,0.000949513,0.28368423,0.00767244,0.002781654,0.000833509,0.027495847,0.129502588,0.200332406,0.006484656,0.786212465,0.083124918,0.113356963,0.005067968,0.000166375,0.001000961,0.011157188,0.001550547,0.016296805,0.009803806,0.00177856,0.811980288,0.02998488,0.007096535,0.00188659,0.005759734,0.001485705,0.000554643,0.029595813,0.02525973,0.842614341,0.007438186,0.054742885,0.254365912,0.004478964,0.004554253,0.003001905,0.053371413,0.013514186,0.934791258,0.077331335,2.137455769,0.005993069,0.012022843,,0.000593851,0.001836588
LCOR-057.FIN TL,2886131,0.000478198,0.006979208,,7.80041E-05,0.000157876,0.001049914,0.001501171,0.025687125,0.000299304,0.000125095,0.003549968,0.004468103,0.011956799,0.004285785,0.009771866,0.000287427,0.000659025,0.00397811,3.96778E-05,0.001141302,0.010859041,0.102994281,0.003672942,0.001789548,0.00017801,0.003071713,0.048270066,0.001915249,,,0.000318184,0.003855153,1.00177E-05,0.002331997,0.00034053,0.000136218,0.000373179,0.195864561,0.010811229,0.00271716,0.000438577,0.019926871,0.073560642,0.195679154,0.004864447,0.684688944,0.234968716,0.239681866,0.009150831,0.000374744,0.00095416,0.011028212,0.000541286,0.009439683,0.002138687,0.000771317,0.919682119,0.042166908,0.006105174,0.001009999,0.00408181,0.000800445,0.018846404,0.016160419,0.021171685,0.962247459,0.006542514,0.044169589,0.436325099,0.000794523,0.00257017,0.00127132,0.08960963,0.006885608,0.92505757,0.052703538,1.992747056,0.005792355,0.014542713,,0.001630779,
LCOR-085.FIN EL,3477101,0.000321961,0.000566437,0.000128826,6.8573E-05,4.30465E-05,0.000684703,0.000988606,0.105988931,0.000252654,0.000129428,0.00570937,0.001136063,0.007733327,0.001680695,0.003827857,0.000178945,0.001355354,0.003124275,4.75609E-05,0.00089568,0.006310994,0.134153623,0.005978253,0.001243862,0.000153776,0.001650942,0.073216625,0.003221681,0.000839545,8.58141E-05,0.002081769,0.006358506,9.66479E-06,0.002397273,0.002098027,9.49898E-05,0.00082517,0.232912711,0.006261075,0.001014959,0.000450963,0.028115238,0.142642833,0.169012369,0.00201838,0.520418407,0.084254653,0.125350811,0.003634811,5.79643E-05,0.00174176,0.022737415,0.001489698,0.016603943,0.009123863,0.001778248,0.575922602,0.023176791,0.005102768,0.001023881,0.004824583,0.001222434,0.001064051,0.014019743,0.018565171,0.621982646,0.005607812,0.026765489,0.169613053,0.002776714,0.002220255,0.002909815,0.05361061,0.010593316,0.636802878,0.064466642,1.046278608,0.002376731,0.016246933,,0.000188277,0.001044139
