"","L.....lactic.acid","glycolic.acid","pyruvic.acid","Beta..alanine..2","benzoic.acid","phosphoric.acid","maleic.acid","glycine","succinic.acid","catechol","glyceric.acid","glyoxylic.acid","fumaric.acid","methyltartronic.acid","ribonic.acid.gamma.lactone.2","D.malic.acid","D.threitol","L.pyroglutamic.acid","ribose","threonic.acid","phenethylamine","tartaric.acid","arabinose","D.sphingosine..3","gluconic.acid.lactone.2","D.sorbitol","X4.hydroxycinnamic.acid","citric.acid","dehydroascorbic.acid..1","quinic.acid","fructose.1","D.glucose.1","galactitol","D.mannitol","L.ascorbic.acid","mucic.acid","myo.inositol","N.acetyl.D.glucosamine.1","caffeic.acid","D.ribose.5.phosphate.1","D.glucose.6.phosphate.1","lactobionic.acid.1","cellobiose.2","phenyl.beta.glucopyranoside","lactose.2","Sucrose","maltose..2","loganin","X....epicatechin","trans.coutaric.acid","D.....trehalose","taxifolin.","galactinol.2","kaempferol.2","chlorogenic.acid.2","isoquercitrin.1","maltotriose.1","D.....melezitose","Raffinose","ID","event_short.x","event_short.y","block","PLGG1_2022","GDH_2022","MS_2022"
"11",0.000377454,0.000796818,0.000106621,0.000375947,0.001083517,0.160327948,0.006425377,0.001840378,0.011009816,0.000228195,0.005148077,0.000435808,0.000764601,0.006456305,0.008148847,0.168973973,0.006024551,0.002313882,0.000154336,0.057120884,6.10005e-05,0.006855506,0.002531321,3.31055e-05,0.307416027,0.00213723,0.000660317,0.1473374,0.172084999,0.8625299,0.108917834,0.156674912,0.010373607,0.001642717,0.036832346,0.002651831,0.819857596,0.021071987,0.008340393,0.001656455,0.006273722,0.002057633,0.001627077,0.036043285,0.023638214,1.101476575,0.005950156,0.029638405,0.280643013,0.002763604,0.002907979,0.005226527,0.083642558,0.013916957,0.987274455,0.089401403,1.642484901,0.003652819,0.012473074,"LCOR-413","8-9D","8-9D","small",0.64,0,0
"12",0.001087006,0.003399419,0.000149712,0.000642189,0.001336932,0.033144666,0.006390202,0.002915161,0.007101429,0.002092094,0.007151494,0.000276708,0.001104846,0.006651615,0.005119671,0.111473255,0.004658147,0.002075536,0.000550111,0.081750361,0.000418378,0.006344818,0.001787841,0.008395762,0.243277172,0.002554909,0.000499971,0.117799731,0.259508129,0.758399863,0.148697475,0.156043768,0.009589547,0.00077941,0.004796325,0.000821108,0.973846653,0.035725012,0.008296979,0.000717319,0.002815263,0.000722538,0.013545244,0.292626133,0.018837927,1.039418556,0.006414877,0.04497016,0.389870407,0.000326133,0.006174387,0.001790413,0.033000294,0.006874312,1.172828684,0.039086884,1.742525726,0.00726704,0.006124601,"LCOR-457","2H","2H","small",0.15,2.18,1.86
"13",0.000435722,0.001318281,8.92156e-05,9.86422e-05,0.001218756,0.0853364,0.009862925,0.004440184,0.014067863,0.001104545,0.012385361,0.000440842,0.001118441,0.00561592,0.008618074,0.24202554,0.002644827,0.003562621,0.000109835,0.194865712,0.000566594,0.010484569,0.004852568,3.41278e-05,0.216249906,0.001252643,0.000728868,0.063948387,0.222373862,0.721109228,0.258614918,0.307253177,0.005080673,0.001504466,0.021242144,0.000807053,1.043229979,0.032056705,0.009461804,0.005066421,0.008222289,0.001275919,0.001556246,0.023004396,0.018993373,1.257204392,0.010262591,0.025430948,0.16536183,0.001524512,0.000279746,0.002244573,0.070093242,0.011599129,0.908018152,0.058799296,2.067697835,0.007446916,0.018940594,"LCOR-604","13-15E","13-15E","large",0.18,1.03,1.15
"14",0.000399011,0.00139656,8.42341e-05,7.20565e-05,0.000997102,0.073021855,0.00900956,0.004554781,0.01082806,0.003372109,0.011658058,0.000268862,0.000978918,0.005068999,0.008603546,0.206496417,0.005315756,0.003103841,7.20442e-05,0.172490028,0.000444467,0.007896987,0.003078348,3.22086e-05,0.24160424,0.001258349,0.000491618,0.069256967,0.244642227,0.67911757,0.222190488,0.272619377,0.005061665,0.001220709,0.018591406,0.000513735,0.823283248,0.032060956,0.00782665,0.006034847,0.00954554,0.000341279,0.000506646,0.02986468,0.018056448,1.03430455,0.010239804,0.023509167,0.154853075,0.00227706,0.000244996,0.002989264,0.087510666,0.011392414,0.828201535,0.059175551,1.182239373,0.006750145,0.015540429,"LCOR-611","13-15E","13-15E","large",0.19,1.01,1.16
"15",0.000565579,0.0010362,9.59095e-05,0.000120299,0.00122855,0.130223061,0.006063415,0.003241503,0.010649279,0.000843563,0.009445301,0.000279333,0.000818243,0.00446878,0.006925384,0.186958423,0.006082324,0.002153224,0.000165024,0.136038174,0.000516289,0.011207393,0.003642113,0.014246814,0.226915995,0.001887641,0.000608326,0.098547503,0.246190912,0.702582651,0.144003533,0.211718188,0.008451191,0.001414182,0.026687881,0.001393232,0.872742599,0.030893022,0.006876898,0.002961079,0.006822079,0.001101421,0.001248878,0.018188113,0.018867694,0.873297154,0.009643327,0.035830179,0.371722973,0.000874971,0.002185974,0.004338352,0.040047582,0.009543839,0.875801978,0.067835409,2.145539005,0.008009665,0.017924845,"LCOR-614","13-15E","13-15E","large",0.15,1.26,0.91
"16",0.000309764,0.000663513,9.57613e-05,0.000170067,0.001310144,0.080027756,0.006763594,0.001868983,0.012213576,0.07530935,0.009010605,0.000208413,0.000904586,0.004976321,0.005103379,0.284178205,0.003590646,0.001025345,0.000113458,0.150421869,0.000145562,0.009648267,0.005397415,3.98468e-05,0.283204976,0.001654173,0.000377092,0.064041336,0.187186267,0.854125324,0.399503853,0.502156258,0.007038045,0.000968043,0.003205027,0.000865223,0.970352759,0.029185752,0.000192628,0.000628547,0.003430807,0.001724405,0.001022812,0.024299094,0.011796967,1.12715037,0.009318055,0.036227943,0.006614911,0.003075267,0.000334785,0.000669587,0.10228905,0.013281413,0.372155787,0.074590019,0.817559047,0.002448334,0.018340073,"LCOR-003","4A","4A","large",0.65,0.56,1.32
"17",0.000542692,0.000414993,9.74477e-05,0.000544448,0.00137198,0.085869053,0.006888813,0.000384084,0.008059622,0.078292688,0.00894146,0.000599582,0.00082831,0.004339559,0.006103804,0.214852662,0.005688282,0.000636189,6.7496e-05,0.154367656,0.000212096,0.011715741,0.005296995,0.000347078,0.224033935,0.000526948,0.000779821,0.038861379,0.156564165,1.108179489,0.232183442,0.305883688,0.005256298,0.00174471,0.015352993,0.000352306,1.122688797,0.030956733,0.003342145,0.000717742,0.004393387,0.001208812,0.000493594,0.022566645,0.031093471,1.273521238,0.006678124,0.02234098,0.020660853,0.003401729,0.000983756,0.004463606,0.055188649,0.009862529,0.453920627,0.065269979,1.424849608,0.004712239,0.008255256,"LCOR-030","5C","5C","large",0.62,1.02,0.98
"18",0.000324053,0.000341091,7.56033e-05,0.000558041,0.001547686,0.097151719,0.003595235,0.000447234,0.006933798,0.081687158,0.003845781,0.000730543,0.000728206,0.004607427,0.004305442,0.088134386,0.003107048,0.000750085,0.000293336,0.026912697,0.000504276,0.002968925,0.001093973,4.96753e-05,0.278671121,0.001015761,0.000680502,0.036176131,0.118171169,0.661177557,0.086678278,0.124228059,0.007104547,0.000893154,0.028621877,0.000568506,0.794434353,0.018323671,0.005689944,0.002066841,0.004348648,0.001275552,0.008793841,0.013822147,0.011987385,1.169636434,0.004429656,0.025207533,0.187366186,0.001692027,0.002959838,0.000858899,0.046408615,0.02258551,1.044646833,0.098466847,0.610529734,0.001599918,0.010079931,"LCOR-105","16-20","16-20","large",0.82,0,0
"19",0.000620692,0.000863093,0.000195882,0.000292179,0.002071913,0.341682699,0.010553314,0.002741031,0.018516913,0.07903798,0.016803434,0.001118081,0.001693967,0.010062864,0.014083942,0.29165614,0.008660505,0.002572606,0.000233043,0.203297189,0.002369589,0.017344683,0.00493066,9.80238e-05,0.525426305,0.003340274,0.001853965,0.159711752,0.298953776,1.518954377,0.253869397,0.417454245,0.008261305,0.001102309,0.020667623,0.00154998,1.694710697,0.049077638,0.007840746,0.007421074,0.015009626,0.00358293,0.002478893,0.038374135,0.037712617,2.285174569,0.01777514,0.031374867,0.091674471,0.006757198,0.005204288,0.006002553,0.083924389,0.022223612,0.942787649,0.149697314,3.287490805,0.007685434,0.033279496,"LCOR-108","16-20","16-20","small",0.88,0,0
"20",0.000238308,0.000572742,0.000116689,0.000196088,0.000822298,0.064282063,0.008249485,0.001892043,0.012186886,0.057724477,0.008845525,0.000520886,0.001246744,0.004651727,0.007210485,0.203454486,0.004798315,0.001157264,0.000205491,0.087772957,0.002063331,0.008001213,0.003774619,4.03089e-05,0.213412189,0.001158956,0.000575229,0.089696957,0.19392948,0.642883434,0.194388385,0.278363827,0.009615413,0.001411853,0.006883069,0.00048464,0.906178153,0.031573549,0.005263574,0.001556049,0.005162036,0.001010668,0.015532207,0.970282925,0.016589494,0.941991966,0.005723106,0.042746389,0.060377874,0.001534166,0.003561425,0.001282399,0.046724361,0.010649679,0.267277994,0.067089765,1.227306014,0.003204146,0.019154052,"LCOR-210","CT3","CT3","small",0.95,0,0
