"","ID","Csetpoint","E","A","Ci","Qin","gsw","VPDlead","Fs","Fm_prime","PhiPS2","PhiCO2","ETR","Tleaf","sample_date.x","event_short","construct","construct2","block","sample_date.y","tier"
"25","LCOR-063",300,0.001947527,9.845212523,160.7050077,1500.004667,0.119056888,1.662208308,523.4667907,788.65,0.336249552,0.008833354,212.0414475,24.99738667,"Jun14","2H","LC-102","transgenic","large","Jun14","poor"
"26","LCOR-063",400,0.00234486366666667,16.0186768866667,213.046243666667,1500.01303566667,0.144801764666667,1.655746548,524.947926433333,805.312,0.346345047666667,0.013728131,218.4089575,24.99235699,"Jun14","2H","LC-102","transgenic","large","Jun14","poor"
"27","LCOR-063",600,0.002577888,24.67970368,328.168123,1499.995484,0.157305051,1.676710841,526.8259777,889.471,0.407708652,0.020595541,257.1025652,25.08698065,"Jun14","2H","LC-102","transgenic","large","Jun14","poor"
"28","LCOR-063",800,0.002407204,26.19843071,491.3110276,1500.024667,0.147926308,1.662375999,527.5565606,913.373,0.422408413,0.021799303,266.3774656,24.95977667,"Jun14","2H","LC-102","transgenic","large","Jun14","poor"
"29","LCOR-063",1000,0.002118759,22.39384339,692.2974443,1499.978333,0.12865544,1.6763001,528.4772151,828.975,0.362493181,0.018783322,228.5868626,25.05827667,"Jun14","2H","LC-102","transgenic","large","Jun14","poor"
"30","LCOR-063",1200,0.001959993,24.46192919,843.0628419,1500.005806,0.121122708,1.645121004,529.2688522,840.757,0.370485346,0.020422737,233.6309361,24.90384839,"Jun14","2H","LC-102","transgenic","large","Jun14","poor"
"31","LCOR-063",1500,0.001818311,31.14364723,1007.103055,1500.040667,0.110525975,1.66911678,530.5610424,880.329,0.397315047,0.02571997,250.5558635,25.01409667,"Jun14","2H","LC-102","transgenic","large","Jun14","poor"
"32","LCOR-063",2000,0.001761221,32.07049236,1457.44145,1499.966774,0.105946458,1.684808139,531.4021334,876.459,0.393694248,0.026456137,248.2602837,25.15014516,"Jun14","2H","LC-102","transgenic","large","Jun14","poor"
"33","LCOR-065",0,0.0016415265,-1.0601896185,34.01846356,1499.976613,0.130098949,1.273180894,589.4950577,643.885,0.084375503,0.0001176585,53.20676527,25.91350645,"Aug29","2H","LC-102","transgenic","large","Aug29","poor"
"34","LCOR-065",100,0.002059382,2.107328304,74.24622326,1500.094516,0.15992509,1.307001921,595.4434615,664.89,0.104448162,0.00262897,65.86973894,25.85251613,"Aug29","2H","LC-102","transgenic","large","Aug29","poor"
"35","LCOR-065",200,0.001475655,6.01072293,106.0526664,1499.977742,0.115891044,1.281445664,620.19404,705.97,0.121500857,0.005724176,76.61799712,26.01722903,"Aug29","2H","LC-102","transgenic","large","Aug29","poor"
"36","LCOR-065",300,0.001091858,10.01160841,87.17311641,1500.028387,0.081813816,1.334972436,698.4063462,806.64,0.134178387,0.00889618,84.61524926,26.02581935,"Aug29","2H","LC-102","transgenic","large","Aug29","poor"
"37","LCOR-065",400,0.00134575266666667,13.28906421,160.601094516667,1499.98144433333,0.104768755333333,1.283707095,660.190695366667,772.203333333333,0.145397731333333,0.011495156,91.68739865,25.9420352333333,"Aug29","2H","LC-102","transgenic","large","Aug29","poor"
"38","LCOR-065",600,0.001603791,19.72048211,310.507879,1500.000645,0.124025296,1.303247846,591.1741538,720.54,0.179540131,0.016594403,113.2190249,26.05275806,"Aug29","2H","LC-102","transgenic","large","Aug29","poor"
"39","LCOR-065",800,0.001609642,22.99411121,467.8662317,1499.971613,0.127237877,1.276000995,621.0478077,762.83,0.18586342,0.019190391,117.2042933,25.89976452,"Aug29","2H","LC-102","transgenic","large","Aug29","poor"
"40","LCOR-065",1000,0.001625412,23.90030399,644.5998638,1500.182581,0.124743998,1.313347577,629.6186923,769.45,0.181728907,0.019906119,114.6131897,26.10016129,"Aug29","2H","LC-102","transgenic","large","Aug29","poor"
"41","LCOR-065",1200,0.00159947,23.67162625,849.1250633,1500.037419,0.126927624,1.270748558,634.39948,770.35,0.176478899,0.01972673,111.2913554,25.94939355,"Aug29","2H","LC-102","transgenic","large","Aug29","poor"
"42","LCOR-065",1500,0.001812578,23.64100916,1171.448562,1499.993871,0.140882869,1.300759308,633.2326154,763.74,0.170879337,0.019703031,107.7570017,25.99400645,"Aug29","2H","LC-102","transgenic","large","Aug29","poor"
"43","LCOR-065",2000,0.001562667,24.342524485,1605.6398375,1499.9879035,0.1206611235,1.3044456295,624.02914,751.965,0.1701282045,0.020259337,107.2829647,26.015396775,"Aug29","2H","LC-102","transgenic","large","Aug29","poor"
"44","LCOR-073",100,0.00339913033333333,-0.693120847,56.8881381,1500.02258433333,0.154214582333333,2.22970327933333,655.493506166667,805.959,0.186489720333333,0.00105327133333333,117.603124,28.02524695,"Jun22","13-15E","LC-102","transgenic","large","Jun22","poor"
"45","LCOR-073",200,0.003326573,5.846349812,131.0217952,1499.972667,0.148877017,2.257766267,652.35048,851.216,0.233625214,0.00623846,147.3226523,28.12090333,"Jun22","13-15E","LC-102","transgenic","large","Jun22","poor"
"46","LCOR-073",300,0.003298901,10.4442766,179.2813943,1499.989032,0.15075888,2.212127528,652.2110769,872.205,0.252227312,0.00988406,159.0548191,27.94174194,"Jun22","13-15E","LC-102","transgenic","large","Jun22","poor"
"47","LCOR-073",400,0.00354599166666667,15.9910773433333,229.397173266667,1499.99984233333,0.162234237333333,2.21410158566667,640.457830766667,888.734666666667,0.279211034,0.0142819883333333,176.071957433333,28.0770922566667,"Jun22","13-15E","LC-102","transgenic","large","Jun22","poor"
"48","LCOR-073",600,0.003547763,24.12242621,337.245799,1500.01,0.162047231,2.216976368,665.7172,1000.44,0.334575587,0.020729097,210.9866774,28.09913333,"Jun22","13-15E","LC-102","transgenic","large","Jun22","poor"
"49","LCOR-073",800,0.003351698,28.91528645,465.8675671,1499.974516,0.152983553,2.215063807,685.66388,1041.24,0.341492951,0.024529856,215.3437345,28.03783548,"Jun22","13-15E","LC-102","transgenic","large","Jun22","poor"
"50","LCOR-073",1000,0.003182904,31.64486855,615.6765285,1499.985806,0.146641899,2.192280464,691.3888846,1048.25,0.340435121,0.026693958,214.6781978,27.88560323,"Jun22","13-15E","LC-102","transgenic","large","Jun22","poor"
"51","LCOR-073",1200,0.003122838,33.69840029,769.8584966,1500.008,0.140615442,2.240010418,690.54032,1053.17,0.344322075,0.028321774,217.1325428,28.10848333,"Jun22","13-15E","LC-102","transgenic","large","Jun22","poor"
"52","LCOR-073",1500,0.002997406,33.55588423,1048.770931,1500.005667,0.136759852,2.209409863,682.10464,1030.75,0.338244346,0.028208821,213.2995249,27.98062667,"Jun22","13-15E","LC-102","transgenic","large","Jun22","poor"
