"","event_short","Csetpoint","n.x","A_sd","A","A_se","A_qt","A_upper","A_lower","gsw_sd","gsw","gsw_se","gsw_qt","gsw_upper","gsw_lower","Ci_sd","Ci","Ci_se","Ci_qt","Ci_upper","Ci_lower","n.y","PhiPS2_sd","PhiPS2","PhiPS2_se","PhiPS2_qt","PhiPS2_upper","PhiPS2_lower","ETR_sd","ETR","ETR_se","ETR_qt","ETR_upper","ETR_lower","tier"
"1","13-15E",0,5,0.923199326087607,-1.837116104,0.412867289982777,2.57058183563631,-0.775806947841883,-2.89842526015812,0.0665686539662768,0.1375867084,0.0297704070878512,2.57058183563631,0.214113976099529,0.0610594407004712,12.9494485695138,38.786007151,5.79116945451403,2.57058183563631,53.6726821578656,23.8993321441344,4,0.00600678699920828,0.123373260375,0.00300339349960414,2.77644510519779,0.131712017555959,0.115034503194041,3.78693021036354,77.79902738375,1.89346510518177,2.77644510519779,83.0561293068948,72.5419254606052,"poor"
"2","13-15E",100,6,0.662348570756329,0.345810859966667,0.270402671702454,2.44691185114497,1.00746236193666,-0.315840642003331,0.0603174602810019,0.148255984188889,0.024624500044841,2.44691185114497,0.20850996517713,0.0880020032006477,13.0762697510679,69.82962845,5.33836477151777,2.44691185114497,82.8921364751616,56.7671204248384,5,0.154429675587548,0.261069440826667,0.0690630504713992,2.57058183563631,0.438601663882079,0.0835372177712539,97.383688218274,164.6321028928,43.5513093511412,2.57058183563631,276.584307629021,52.6798981565785,"poor"
"3","13-15E",200,6,1.92484650455073,5.0775572545,0.785815294888177,2.44691185114497,7.00037801237286,3.15473649662714,0.0528389847590947,0.145997125833333,0.0215714251977465,2.44691185114497,0.198780501795787,0.0932137498708801,5.83341265047162,137.185935616667,2.38148074212531,2.44691185114497,143.013209067847,131.358662165487,5,0.141579111342961,0.2715014242,0.0633161034313744,2.57058183563631,0.434260649583961,0.108742198816039,89.2789606603769,171.20749645,39.9267649994264,2.57058183563631,273.842513313245,68.5724795867546,"poor"
"4","13-15E",300,6,3.13757001618772,8.61227484366667,1.28090759531931,2.44691185114497,11.7465428188751,5.47800686845824,0.0568767962135616,0.150452813333333,0.023219854821248,2.44691185114497,0.207269751277311,0.0936358753893559,13.6545687833464,195.84500335,5.57445436282241,2.44691185114497,209.485201794057,182.204804905943,5,0.150825630745621,0.2846343822,0.067451272619298,2.57058183563631,0.45802339838572,0.111245366014279,95.1026231157188,179.485232186,42.531186025058,2.57058183563631,288.815126430083,70.1553379419169,"poor"
"5","13-15E",400,6,4.91764791224936,12.9979424643889,2.00762135327899,2.44691185114497,17.9104149463389,8.08546998243884,0.0483102114098964,0.175270676111111,0.019722561220038,2.44691185114497,0.223530044895354,0.127011307326868,13.4346266701046,253.017573044444,5.48466337109043,2.44691185114497,266.438060846706,239.597085242183,5,0.132762451813961,0.299969759466667,0.0593731734231113,2.57058183563631,0.452593360592201,0.147346158341132,83.7212709309777,189.163181804,37.4412905928686,2.57058183563631,285.409083304809,92.9172803031911,"poor"
"6","13-15E",600,6,5.7876991066654,19.7616606516667,2.36281826601538,2.44691185114497,25.5432686688815,13.9800526344518,0.0747219694773672,0.162289692,0.0305051162992281,2.44691185114497,0.236933022593137,0.0876463614068631,57.1034651705891,358.827057716667,23.3123920354557,2.44691185114497,415.870426066761,301.783689366572,5,0.110431608565224,0.3427666658,0.0493865167232979,2.57058183563631,0.469718748614259,0.215814582985741,69.6376618680983,216.15080856,31.1429091462426,2.57058183563631,296.206205120203,136.095411999797,"poor"
"7","13-15E",800,6,4.87545966173048,22.64288466,1.99039807212699,2.44691185114497,27.5132132911836,17.7725560288164,0.0713042219974234,0.166548252666667,0.0291098267333039,2.44691185114497,0.237777432685165,0.0953190726481687,66.8348005989888,524.1352002,27.2851930880304,2.44691185114497,590.89966252788,457.37073787212,5,0.0945592458410284,0.3443566128,0.0422881803203307,2.57058183563631,0.453061840993555,0.235651384606445,59.6304487157717,217.15457344,26.6675473714561,2.57058183563631,285.705686314036,148.603460565964,"poor"
"8","13-15E",1000,6,4.68258691654784,23.5446608,1.91165810362911,2.44691185114497,28.2223196691074,18.8670019308926,0.0726536235475012,0.16850709,0.0296607176092724,2.44691185114497,0.241084251431593,0.095929928568407,87.2239257040591,705.579455966667,35.6090185562291,2.44691185114497,792.711585479545,618.447326453788,5,0.0836038186396875,0.3309106788,0.037388764331381,2.57058183563631,0.427021557247135,0.234799800352865,52.7217483771903,208.67323392,23.5778826528074,2.57058183563631,269.282110790071,148.064357049929,"poor"
"9","13-15E",1200,6,4.94596245799993,25.0791880583333,2.01918071817692,2.44691185114497,30.0199452872438,20.1384308294228,0.0865291180689897,0.159754514166667,0.0353253645270108,2.44691185114497,0.246192567273825,0.0733164610595079,164.291493265992,834.550466633333,67.0717212635965,2.44691185114497,998.66905626992,670.431876996747,5,0.0884372553032879,0.3215774502,0.0395503429203311,2.57058183563631,0.42324484330419,0.21991005709581,55.7674650120226,202.7882161,24.9399685399447,2.57058183563631,266.898446210123,138.677985989877,"poor"
"10","13-15E",1500,6,5.74785321979526,25.4715019766667,2.34655125081863,2.44691185114497,31.2133060416138,19.7296979117195,0.0691080443405464,0.155836090166667,0.0282132409593289,2.44691185114497,0.224871403829257,0.0868007765040761,92.3779175574688,1148.94248133333,37.7131269194483,2.44691185114497,1241.22317853627,1056.6617841304,5,0.083697919647965,0.318413044,0.037430847581633,2.57058183563631,0.414632100885817,0.222193987114183,52.7807809779204,200.79253764,23.6042828344316,2.57058183563631,261.469278337412,140.115796942588,"poor"
