"","tier","Csetpoint","n.x","A_sd","A","A_se","A_qt","A_upper","A_lower","gsw_sd","gsw","gsw_se","gsw_qt","gsw_upper","gsw_lower","Ci_sd","Ci","Ci_se","Ci_qt","Ci_upper","Ci_lower","n.y","PhiPS2_sd","PhiPS2","PhiPS2_se","PhiPS2_qt","PhiPS2_upper","PhiPS2_lower","ETR_sd","ETR","ETR_se","ETR_qt","ETR_upper","ETR_lower"
"1","WT",0,4,0.458829538961965,-1.041496437875,0.229414769480982,2.77644510519779,-0.404538924089446,-1.67845395166055,0.0960980162474401,0.12025491175,0.0480490081237201,2.77644510519779,0.253660345164712,-0.0131505216647116,21.869431395501,52.21794007,10.9347156977505,2.77644510519779,82.5775779457488,21.8583021942512,3,0.014709444089928,0.105689822166667,0.0084925015049497,3.18244630528371,0.13271675220371,0.0786628921296232,9.27576197696554,66.6491550133333,5.35536367433995,3.18244630528371,83.6923123521871,49.6059976744796
"2","WT",100,6,0.727586833788869,0.246724138333333,0.297036081058321,2.44691185114497,0.973545245292596,-0.480096968625929,0.13803722225817,0.165334137166667,0.0563534600072782,2.44691185114497,0.3032260863115,0.0274421880218336,29.7803468634884,65.343049755,12.15777569644,2.44691185114497,95.0920551901813,35.5940443198187,5,0.0354306263921786,0.142148116266667,0.0158450578196619,2.57058183563631,0.182879134082497,0.101417098450837,22.3432159725837,89.6390110413333,9.99218995013124,2.57058183563631,115.324753025368,63.9532690572983
"3","WT",200,6,3.56571436843181,4.27655085966667,1.45569679519472,2.44691185114497,7.83851259950237,0.714589119830959,0.102665874522572,0.133696698333333,0.0419131677628174,2.44691185114497,0.236254525251198,0.0311388714154683,37.6955939616443,139.697744521667,15.3891617928612,2.44691185114497,177.353666891806,102.041822151527,5,0.0634423275346133,0.1769420104,0.0283722714036404,2.57058183563631,0.249875255905942,0.104008764894058,40.0078936438249,111.58172568,17.8920739648349,2.57058183563631,157.574766015866,65.5886853441341
"4","WT",300,6,5.82955143110999,7.16551860683333,2.37990440592182,2.44691185114497,12.9889349022756,1.3421023113911,0.303310479733525,0.00511602766666668,0.123825984830986,2.44691185114497,0.308107297429303,-0.29787524209597,53.2168265277441,213.874853346233,21.7256784538635,2.44691185114497,267.035673429157,160.71403326331,5,0.0753983986181331,0.1961486388,0.0337191889409544,2.57058183563631,0.282826573404006,0.109470704195994,47.5466450367733,123.692479552,21.2635060808556,2.57058183563631,178.35206204539,69.0328970586102
"5","WT",400,6,8.04172254305734,10.8547842138333,3.28301948058787,2.44691185114497,18.8880434884236,2.82152493924307,0.113485262217853,0.135501064611111,0.0463301642932816,2.44691185114497,0.248866892685835,0.0221352365363869,24.586907528491,258.989318018333,10.0375629662995,2.44691185114497,283.550349797185,234.428286239481,5,0.0773567134400364,0.2083136086,0.0345949739535786,2.57058183563631,0.29724282024938,0.11938439695062,48.782733980129,131.363821735333,21.8163018615715,2.57058183563631,187.444411021448,75.283232449219
"6","WT",600,6,10.4634784731055,16.3721558628333,4.27169719895074,2.44691185114497,26.8246223634487,5.91968936221799,0.11284464101032,0.1400238615,0.0460686317804716,2.44691185114497,0.25274974256967,0.0272979804303303,52.5633055748718,381.497160883333,21.4588796420711,2.44691185114497,434.00514779181,328.989173974856,5,0.0753635270623527,0.2429769086,0.0337035939071131,2.57058183563631,0.329614754893288,0.156339062306712,47.5312809875201,153.226491722,21.2566350691477,2.57058183563631,207.868411717501,98.5845717264991
"7","WT",800,6,11.2335027521644,19.4429838358333,4.58605829449221,2.44691185114497,30.664664226668,8.22130344499866,0.115237753427347,0.142261450666667,0.0470456158336108,2.44691185114497,0.257377925594342,0.0271449757389911,61.344657364765,522.59271075,25.0438514982567,2.44691185114497,583.872807779399,461.312613720601,5,0.0689248684136455,0.2523052334,0.0308241382226279,2.57058183563631,0.33154120321423,0.17306926358577,43.463520052223,159.10269836,19.4374770756392,2.57058183563631,209.068323861235,109.137072858765
"8","WT",1000,6,11.2949348471192,20.8047215228333,4.61113784223712,2.44691185114497,32.0877693562664,9.52167368940029,0.109079151294437,0.137449679,0.0445313770412028,2.44691185114497,0.246414033229924,0.0284853247700759,108.323607987114,669.698785183333,44.2229277776169,2.44691185114497,777.908391254712,561.489179111955,5,0.0623846824465639,0.2496323704,0.027899278141051,2.57058183563631,0.321349748016751,0.177914992783249,39.3410676241786,157.41923582,17.5938603030159,2.57058183563631,202.645693533656,112.192778106344
"9","WT",1200,6,11.2812336274234,21.6210984865,4.60554434271907,2.44691185114497,32.8904595196729,10.3517374533271,0.0987797182349111,0.145873944166667,0.0403266511019045,2.44691185114497,0.244549704664905,0.0471981836684282,86.46403034063,912.609452516667,35.2987925731778,2.44691185114497,998.982486395083,826.23641863825,5,0.0606854467007499,0.2480905846,0.0271393568135634,2.57058183563631,0.317854522255799,0.178326646944201,38.2683419832753,156.44817482,17.1141228121626,2.57058183563631,200.441428053794,112.454921586206
"10","WT",1500,5,11.6075992328423,23.0233434134,5.19107618804197,2.57058183563631,36.3674295697849,9.6792572570151,0.108845780256927,0.1421030122,0.0486773127436985,2.57058183563631,0.267232028146539,0.0169739962534607,106.077422627819,1143.7365284,47.4392655747557,2.57058183563631,1265.68304278239,1021.79001401761,4,0.0488899765409302,0.25968589225,0.0244449882704651,2.77644510519779,0.32755606028015,0.19181572421985,30.8300587711312,163.758960475,15.4150293855656,2.77644510519779,206.557943359034,120.959977590966
