row,column,ID ,event,construct,DBH (in),Height (in),Insect Damage ,,,,,,,
1,1,LCOR-1143,NA,wt,0.37,53.0,x,,,,,,,
2,1,LCOR-1088,NA,wt,0.21,33.0,,,,,,,,
3,1,LCOR-1141,NA,wt,0.36,59.0,,,,,,,,
4,1,LCOR-1064,NA,wt,0.31,38.5,,,,,,,,
5,1,LCOR-1145,NA,wt,0.33,60.0,x,,,,,,,
6,1,LCOR-1150,NA,wt,0.25,40.0,,,,,,,,
7,1,LCOR-1071,NA,wt,0.14,14.0,,,,,,,,
8,1,LCOR-1247,NA,wt,0.23,32.5,,,,,,,,
9,1,LCOR-1024,NA,wt,0.32,37.0,,Split,,,,,,
10,1,LCOR-1057,NA,wt,0.32,46.0,,,,,,,,
11,1,LCOR-1060,NA,wt,0.38,54.0,,,,,,,,
12,1,LCOR-1063,NA,wt,0.37,51.0,,,,,,,,
13,1,LCOR-1081,NA,wt,0.22,32.5,,,,,,,,
14,1,LCOR-1097,NA,wt,0.35,37.0,,,,,,,,
15,1,LCOR-1199,NA,wt,0.13,18.5,x,,,,,,,
16,1,LCOR-1053,NA,wt,0.12,18.0,,,,,,,,
1,2,LCOR-1101,NA,wt,0.30,48.0,,,,,,,,
2,2,LCOR-1137,NA,wt,0.20,30.5,,Discolored lower,,,,,,
3,2,LCOR-1075,NA,wt,0.28,47.0,,,,,,,,
4,2,LCOR-1022,NA,wt,0.36,59.0,,,,,,,,
5,2,LCOR-1061,NA,wt,0.31,52.0,,,,,,,,
6,2,LCOR-1078,NA,wt,0.29,39.0,,,,,,,,
7,2,LCOR-1080,NA,wt,0.22,35.5,,,,,,,,
8,2,LCOR-1085,NA,wt,0.25,35.5,,,,,,,,
9,2,LCOR-1091,NA,wt,0.35,48.0,,,,,,,,
10,2,LCOR-1106,NA,wt,0.33,54.0,,,,,,,,
11,2,LCOR-1163,NA,wt,0.28,47.0,,,,,,,,
12,2,LCOR-1168,NA,wt,0.30,51.5,,,,,,,,
13,2,LCOR-1183,NA,wt,0.36,52.0,,,,,,,,
14,2,LCOR-1187,NA,wt,0.29,48.0,,,,,,,,
15,2,LCOR-1198,NA,wt,0.22,37.5,,,,,,,,
16,2,LCOR-1076,NA,wt,0.16,19.0,,,,,,,,
1,3,LCOR-1001,NA,wt,0.44,60.5,,,,,,,,
2,3,LCOR-125,CT717 1,CT717,0.17,26.5,,,,,,,,
