"","ribitol..IS.","glycolic.acid","pyruvic.acid","Beta..alanine","benzoic.acid","L.serine","phosphoric.acid","L.threonine","nicotinic.acid","maleic.acid","glycine","succinic.acid","glyceric.acid","glyoxylic.acid","fumaric.acid","methyltartronic.acid","aspartic.acid","ribonic.acid.gamma.lactone","D.malic.acid","D.threitol","L.pyroglutamic.acid","ribose","L.glutamic.acid","threonic.acid","phenethylamine","X2.isopropylmalic.acid","X3.phenyllactic.acid","tartaric.acid","arabinose","rhamnose","gluconic.acid.lactone","X4.hydroxycinnamic.acid","shikimic.acid","citric.acid","dehydroascorbic.acid","quinic.acid","fructose","D.glucose","galactitol","D.mannitol","L.ascorbic.acid","galactonic.acid","D.saccharic.acid","mucic.acid","myo.inositol","N.acetyl.D.glucosamine","caffeic.acid","D.ribose.5.phosphate","D.glucose.6.phosphate","lactobionic.acid","lactose","Sucrose","maltose","loganin","X....epicatechin","trans.coutaric.acid","taxifolin","galactinol","kaempferol","chlorogenic.acid","isoquercitrin","maltotriose","D.....melezitose","Raffinose","petunidin.3.glucoside","event_short"
"38",1998720,1156.455446,143.1683168,600.7128713,2878.49505,3605.148515,207821.8614,754.0792079,691.009901,10552.93069,2570.534653,12496.31683,21535.16832,613.3465347,1796.39604,9353.128713,2054.554455,15182.85149,261025.7228,10787.90099,3197.247525,175.5643564,4678.118812,199994.297,793.049505,NA,5130.19802,16084.63366,8911.544554,1722.079208,576162.6337,1832.851485,114929.1089,103365.0495,381653.2871,1963125.861,684872.0396,914140.7723,8496.079208,4808.09901,41000.33663,30219.84158,21237.9604,2885.485149,2182238.218,75408.65347,8725.049505,2439.960396,13511.80198,2321.881188,67599.34653,2568890.119,14829.82178,45562.83168,63535.06931,5486.930693,7243.564356,129683.901,30597.30693,1152178.693,154670.2772,2407755.96,7269.821782,22421.38614,5168.415842,"5C"
"39",2317507,1805.192982,191.6666667,373.7368421,2132.877193,2691.263158,224762.1053,486.9298246,450.4912281,23442.45614,5423.894737,20135.19298,14167.66667,456.2280702,3993.368421,12316.54386,1110.912281,11717.59649,322475.7719,12626.31579,2877.385965,671.9298246,3656.877193,234122.3158,2464.719298,439.245614,6516.350877,26861.4386,9186.438596,2020.526316,697767.4561,2503.877193,65534.15789,129169.4561,460156.3158,1647878.93,587415.3509,657177.1754,6341.192982,3351.210526,47841.26316,36777.38596,14280.5614,1878.438596,1917232.965,110287.2281,24766.78947,5437.701754,17455.4386,2018.473684,53179.85965,2802450.404,27815.85965,127461.8421,611086.2807,2139.578947,5102.947368,152717.5263,37918.54386,2228781.474,178602.4561,3684007.965,14952.66667,36014.19298,8921.526316,"13-15E"
"40",2532407,1043.297297,117.8378378,273.6936937,1714.954955,3390.162162,269083.2973,1429.747748,340.2882883,12254.9009,4718.684685,29115.26126,11741.76577,379.9459459,1813.72973,13234.03604,5195.621622,22645.78378,270318.4324,12589.0991,3550.540541,1234.882883,12644.95495,120335.7658,1382.630631,481.6576577,8208.36036,15180.61261,7233.459459,2370.504505,858982.973,1403.297297,60096.93694,159820.8649,446033.7297,1378723.802,475819.1351,569501.4414,7274.954955,4468.45045,85124.16216,21940.5045,3246.432432,1472.054054,1996140.18,87475.36937,15201.36937,9746.810811,17457.76577,3241.531532,59655.40541,2764161.856,29136.28829,156851.0631,779305.1712,2087.63964,3303.171171,314015.3333,68187.69369,2353505.658,267243.8739,2416379.982,10795.11712,42243.69369,11208.55856,"16-20"
"41",2076792,1074.739884,114.1425819,529.4219653,2383.082852,2611.406551,181028.9788,1760.655106,401.4450867,20953.25626,6225.491329,17148.76686,14698.72832,529.5375723,2244.181118,11341.83044,2742.003854,16462.35067,331346.7245,8425.125241,1931.05973,304.3545279,4520.982659,167588.8054,674.9132948,NA,1545.606936,9755.356455,5399.537572,1313.44894,730385.9345,1625.144509,59434.18112,215844.9904,468166.9171,1524415.067,350825.4143,541074.6821,10993.39114,1561.77264,62545.74181,26872.65896,9821.387283,2861.888247,2148110,64730.03854,11265.81888,5453.911368,16448.22736,4417.302505,64870.01927,3016781.734,13412.04239,57779.30636,360138.5742,4297.052023,6464.759152,93487.10983,68826.85934,1847946.686,238575.684,2571867.283,7237.919075,57772.25434,8508.073218,"8-9D"
"42",1857648,653.7831325,107.5903614,156.4819277,1596,3276.337349,122649.1566,978.2409639,156.6746988,13959.51807,6740.939759,10701.87952,19608.6988,314.4096386,1412.26506,8977.084337,1391.807229,4869.686747,522926.7229,10450.09639,2300.072289,391.5180723,8138.771084,256725.8313,836.8915663,1666.361446,3846.385542,13652.48193,7286.096386,1371.46988,316523.759,2313.277108,85843.44578,98211.92771,292166.9157,1610624.241,776130.7952,926823.6627,7573.277108,1851.686747,26219.95181,36775.37349,2392.168675,1407.927711,2003045.59,60569.83133,279.2771084,1144.795181,4672,1230.168675,12580.21687,3151460.434,11669.01205,45927.49398,17345.85542,2407.084337,322.8433735,42325.63855,14709.87952,549442.1687,63157.3494,2540904.723,7448.457831,28617.06024,1650.722892,"1C"
"43",1834385,1063.117207,159.7755611,697.4563591,2462.069825,3042.269327,229158.8529,1239.925187,207.032419,12972.79302,6142.244389,22051.09726,12190.09975,657.9301746,1821.346633,11826.58354,1690.548628,9038.054863,354779.5262,12163.41646,1726.80798,465.8603491,6428.279302,184058.8279,3056.159601,NA,4992.468828,20000.52369,6694.339152,2085.062344,622323.4165,1540.149626,53857.90524,170627.581,431503.7656,1419031.347,517705.4115,569271.2968,14363.2419,3556.982544,52807.90524,35780.798,12921.84539,1688.653367,2105997.556,89810.67332,12960.97257,3264.014963,12404.53865,4801.546135,42137.4813,3160253.067,21870.94763,116183.217,218011.2968,2545.112219,3995.860349,116503.0424,36294.16459,1516187.382,222191.9701,3506694.04,14400.87282,32009.42643,6753.566085,"16-20"
"44",2246396,1800.281385,275.7792208,1108.051948,3341.406926,2290.692641,233829.8918,1152.445887,842.0562771,16873.07359,4554.437229,14714.35065,26459.58874,713.8095238,2574.069264,11870.36797,2656.948052,16076.23377,328241.4935,11467.09957,3670.108225,811.4069264,5387.510823,235431.0823,5363.095238,328.3116883,6788.073593,18979.41558,9222.207792,2256.320346,680124.1991,2830.606061,127858.1385,123813.4416,459783.7662,2208684.632,804619.3939,1091988.203,11222.03463,3369.978355,45293.91775,44753.8961,8861.536797,3312.424242,2485502.727,89442.48918,11453.7013,3759.52381,16690.73593,2383.311688,75582.70563,3038206.32,16503.4632,70092.20779,71917.70563,6357.272727,11461.19048,94805.64935,39284.09091,1204285.498,206068.8095,2513399.892,8431.580087,37374.06926,4579.393939,"7"
"45",2119472,1067.105751,99.77736549,353.135436,1878.886827,5788.923933,236362.8015,1100.055659,510.1855288,16625.80705,7787.903525,13571.35436,25446.141,442.4489796,1833.061224,14171.91095,5206.048237,15932.80148,397815.436,14165.52876,3824.656772,185.7513915,11095.80705,258889.833,1140.408163,809.0538033,6882.504638,21632.00371,8141.706865,1925.640074,534223.6364,1228.849722,117607.6809,196176.5492,533382.449,1705350.445,622463.525,793239.4434,10149.62894,5167.012987,15332.89425,40606.47495,23619.20223,4182.44898,2234687.05,77173.5436,7672.70872,2102.504638,12741.09462,4268.051948,45726.90167,2919497.978,14194.65677,71975.93692,104559.7403,4092.430427,8713.80334,95687.19852,34860.61224,953291.7069,129022.7644,3099958.163,11412.37477,51086.93878,8667.254174,"5C"
"46",2129176,1041.214789,117.0246479,140.6514085,1428.239437,3634.102113,360950.2465,982.2183099,373.6091549,11235.51056,4328.34507,16151.37324,17951.91901,416.2852113,1237.359155,9981.566901,2598.380282,11423.73239,372724.9824,15449.77113,1422.693662,420.3697183,6930.704225,195354.1725,527.7112676,335.6690141,5824.753521,21050,9596.021127,4940.352113,675565.1056,1215.757042,129415.7394,153414.5951,377916.162,1822285.845,518493.8556,664574.1549,9580.545775,2112.992958,19994.52465,35928.23944,8267.623239,2983.433099,2075534.278,76093.80282,6366.690141,2768.75,17490.26408,3159.330986,53085.79225,2624282.482,17028.99648,47034.80634,249508.5915,7632.78169,15960.9507,181820.9859,41785.77465,1643355.546,211325.2289,3292891.356,9179.366197,28534.89437,2841.302817,"5C"
"47",2241400,1248.325893,203.6830357,127.1651786,2498.169643,6444.464286,222254.0848,1643.392857,726.1160714,20981.31696,6180.959821,17025.04464,27394.44196,1503.169643,2877.723214,6240.892857,5133.303571,16980.17857,567615.8036,14700.53571,6747.366071,504.4642857,14392.05357,287005.5804,1311.941964,1423.125,6014.129464,20980.91518,12275.35714,1920.758929,497368.4598,1991.272321,113787.0536,134293.7946,434559.0848,1615746.696,940257.2991,1118672.969,11097.70089,3754.977679,7907.075893,27550.22321,4240.982143,1785.245536,2439810.826,81190.11161,17326.69643,1861.941964,8127.455357,1781.629464,51465.22321,3329433.214,15357.79018,59765.35714,210980.692,2851.629464,964.7544643,240542.6116,31267.58929,1778037.79,137789.7321,3308706.183,5368.928571,63839.82143,6069.776786,"4A"
