Sample,Label,ribitol..IS.,glycolic.acid,pyruvic.acid,Beta..alanine,benzoic.acid,phosphoric.acid,maleic.acid,glycine,succinic.acid,glyceric.acid,glyoxylic.acid,fumaric.acid,methyltartronic.acid,ribonic.acid.gamma.lactone,D.malic.acid,D.threitol,L.pyroglutamic.acid,ribose,threonic.acid,phenethylamine,tartaric.acid,arabinose,gluconic.acid.lactone,X4.hydroxycinnamic.acid,citric.acid,dehydroascorbic.acid,quinic.acid,fructose,D.glucose,galactitol,D.mannitol,L.ascorbic.acid,mucic.acid,myo.inositol,N.acetyl.D.glucosamine,caffeic.acid,D.ribose.5.phosphate,D.glucose.6.phosphate,lactobionic.acid,lactose,Sucrose,maltose,loganin,X....epicatechin,trans.coutaric.acid,taxifolin,galactinol,kaempferol,chlorogenic.acid,isoquercitrin,maltotriose,D.....melezitose,Raffinose
66,8-9D,1873850,567.814433,68.6185567,294.1443299,667.1134021,208908.0619,11620.35052,12931.64948,11535.17526,6954.989691,430.5979381,1054.28866,4841.154639,10363.73196,363096,12981.48454,1274.474227,195.5670103,358970.5155,7429.010309,18050.47423,4710.618557,501949.0928,565.814433,292454.4536,291060.268,1482353.876,169660.6392,238174,6351.917526,3076.969072,53657.01031,1927.195876,1379241.196,39188.08247,9832.123711,3268.659794,8169.030928,2028.474227,34449.95876,2683257.32,10380.30928,32351.31959,203355.1959,7253.85567,6153.958763,121364.5155,23137.7732,1592439.959,138107.0309,2030637.526,3977.257732,13585.56701
67,13-15E,1608331,649.5804196,104.3706294,151.3286713,747.2202797,50053.44406,8361.416084,3256.783217,10801.57343,17808.28671,439.965035,986.013986,3608.146853,9860.314685,205795.5944,8386.083916,1954.877622,86.6958042,237758.1119,732.3601399,14375.1049,8323.391608,330169.1608,743.1643357,45325.13986,265191.7308,1394925.962,307968.4091,454591.486,5905.332168,1994.597902,30871.22378,6927.377622,1474750.35,37431.60839,11308.68881,2114.737762,4592.77972,1032.552448,25228.33916,2321460.385,14398.88112,36586.25874,267997.6923,1982.832168,5279.283217,95969.51049,14859.17832,1309328.077,66190.85664,2556531.451,7535,29715.71678
68,13-15E,1731066,3043.287671,173.5159817,443.3561644,933.652968,121967.0548,9068.196347,724.3150685,17484.84018,13456.75799,415.2054795,986.3926941,4169.611872,13147.07763,250608.0365,6663.287671,1088.03653,528.173516,93669.97717,140.2511416,9856.849315,3390.958904,454172.1461,468.7214612,136410.2511,322039.5434,1458792.854,252689.1781,307617.6712,17347.83105,777.3059361,24246.84932,1189.520548,1799448.311,53074.3379,14584.79452,1863.310502,8288.378995,1409.178082,32979.56621,3037243.379,16417.87671,105185.6393,831046.3927,1259.3379,5642.351598,64016.71233,30124.0411,2328855.571,130981.0959,3253712.557,10778.85845,36180.77626
69,2H,2011439,3598.443936,197.9405034,169.2906178,1281.189931,128531.0984,10411.7849,2464.942792,11788.87872,15734.69108,807.0709382,1732.036613,4302.105263,13733.47826,223804.5538,8666.544622,2002.631579,431.6704805,172966.9108,423.8901602,12975.35469,4359.679634,472562.8375,1219.79405,114324.5309,329002.6087,1547434.645,314200.4805,380685.8581,12236.81922,1383.363844,39531.28146,694.1647597,1953317.002,52520.45767,13508.39817,1700.503432,6110.938215,1773.638444,39445.12586,2605479.039,14604.32494,47024.69108,440720.1373,2513.112128,1325.652174,136663.1579,22518.627,1880754.76,120585.3547,3340132.128,8020.045767,36260.93822
70,CT3,1617505,467.9609544,138.8069414,111.7570499,893.4490239,141460.9761,11256.65944,996.9848156,14695.11931,12119.54447,550.6724512,1640.672451,3248.524946,12225.53145,195136.7028,6871.54013,1408.785249,524.3167028,48140.10846,2253.752711,10214.55531,2670.238612,347574.8373,779.6095445,211857.3102,369715.9219,1113090.868,197069.6529,309417.4187,12885.33623,2821.084599,52204.18655,1459.197397,1828610.521,51436.44252,13936.61605,1918.416486,8502.950108,2128.177874,43385.6833,2947224.772,9866.681128,86039.7397,537327.6139,1167.353579,4900.281996,103136.2473,14084.0564,1632842.386,93471.25813,2428681.757,7782.494577,22687.50542
71,7,1505012,738.7553648,91.69527897,239.0772532,888.9055794,114907.2747,7396.287554,3280.171674,7784.871245,10069.37768,259.8283262,584.9141631,6346.759657,9493.218884,247306.2446,7885.83691,2140.879828,6513.798283,164481.6309,866.9957082,12149.07725,5293.476395,411542.4464,3405.83691,48837.44635,324587.7253,1460590.579,482653.4979,569328.691,7942.939914,3110.536481,45428.39056,486.0515021,1840034.12,45477.70386,6655.879828,4027.639485,7625.901288,3078.948498,20349.65665,2886873.584,7749.227468,30330.19313,271798.2403,3196.738197,7872.360515,89056.33047,16155.30043,1799172.103,105801.6094,3622886.073,8954.44206,28090.5794
72,5C,1846017,883.1375839,107.4328859,195.5872483,807.3657718,225485,12889.31208,3089.54698,11959.24497,14450.18456,315.0503356,1226.963087,3870.973154,12158.87584,327893.7919,11442.91946,2235.167785,92.61744966,212937.6846,323.0369128,19098.4396,6735.788591,506055.8221,1471.35906,111478.3557,371940.5872,1717685.369,227940.2349,347903.8255,7735.033557,2715.553691,8198.255034,1201.644295,1769361.376,48733.99329,10618.2047,5675.285235,11489.94966,2107.332215,82042.21477,2606532.953,11696.51007,35808.99329,385091.7953,5356.812081,12519.51342,163651.3758,24107.0302,1663335.503,135206.2752,3141961.326,9910.45302,20494.26174
73,13-15E,1895394,1966.046512,150.9689922,84.0503876,1018.856589,137985.155,24630.60078,5636.007752,18840.05814,21117.90698,476.2984496,2604.224806,8025.368217,14910.62016,435831.5504,6869.94186,2595.872093,337.0155039,114939.6899,4095,12604.03101,3315.581395,480866.2597,794.7093023,240764.2636,462360.2326,1124438.953,246760.0388,293043.8566,14162.09302,2086.899225,61683.85659,1146.375969,1908246.492,53883.95349,14586.9186,2004.050388,8126.24031,1713.914729,44091.93798,2756061.085,11334.57364,117574.5736,620539.1085,1837.034884,2875.794574,179418.0039,25368.60465,1738577.151,115250.6977,2637740.562,10364.49612,32191.02713
74,8-9D,1613694,621.8571429,71.4047619,192.9761905,1167.666667,217425.5952,10564.28571,2221.02381,9904.785714,8373.190476,593.2857143,1522.571429,8317.309524,9091.357143,227472.2143,11470.90476,3424.190476,462.2380952,168467.881,258.3571429,15833.71429,4834.642857,397317.3571,1586.690476,167839.0714,306436.0238,1705199.381,344905.7619,433361.2381,7430.97619,2639.428571,40166.40476,2090.428571,1601235.167,48849.69048,14578.69048,1882.952381,7265.190476,4177.452381,54598.40476,3339150.167,8147.142857,34235.61905,171329.5952,3640.166667,3601.642857,138893.5238,17878.11905,1729492.738,108278.2857,2572510.762,4695.357143,23007.5
75,8-9D,1585316,688.4920635,132.8769841,316.4285714,854.0277778,219580.6944,7980.039683,3186.150794,10169.24603,8458.43254,440.0992063,1010.396825,3861.706349,9041.984127,178147.1627,9408.90873,1735.515873,129.781746,188166.4286,240.8928571,13401.44841,4472.281746,446403.5913,975.6349206,145408.5516,330645.8929,1466925.496,333878.1151,450755,6195.337302,1885.059524,30391.62698,3466.984127,1575023.929,41595.85317,12922.79762,4521.944444,10561.07143,1702.956349,36952.85714,3105795.238,9401.25,35432.28175,280340.7937,3412.738095,6584.424603,140767.7183,21404.92063,1702812.698,141549.8214,2298155,5933.293651,27068.09524
