Obs#,Time,Date,configName,configAuthor,ID,,,Fv/Fm,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,pitch,roll,heading,angle_inc_leaf,direct_pct,slope_leaf,az_leaf,dec_solar,az_solar,zenith_solar,gps_time,gps_date,latitude,longitude,altitude,gps_sats,gps_HDOP,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
12,5:58:19,9/22/22,Night sampling,CH,LCOR-190,,,0.836717,0.085314,2.916725,0.08289,0.469314,1.401347,1.388085,1.96505,0.563703,13.710289,13.841285,19.409056,0.441786,PSF-00336_20220922055819,77.455757,474.36441,0.836717,0,0,0,0.5,0.8,0.157682,65.46,64.84,18.53,17.17,101.24,156.1,155.7,0.3,0,4.088,-44,-103,334,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,5:54:18,9/22/22,-0.24,0.002,-0.005,-0.009,0.159,0.202,0.14,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.487192,2.476385,1.656612,0.928523,0.353519,-0.0148,0.307039,0.107206,77.455757,0.000372,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922055819,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
13,6:00:15,9/22/22,Night sampling,CH,LCOR-232,,,0.841011,0.104578,2.916985,0.100958,0.525057,1.437139,1.422309,1.954889,0.517751,14.047564,14.194035,19.307646,0.441786,PSF-00336_20220922060015,73.743584,463.828339,0.841011,0,0,0,0.5,0.8,0.272221,66.65,65.96,18.64,17.08,101.25,156.1,154.7,0.9,1,4.085,-66,-172,71,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,5:54:18,9/22/22,-0.24,-0.004,0.001,-0.002,0.3,0.301,0.105,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.488646,2.477956,1.656887,0.926002,0.351897,-0.016988,0.314753,0.107514,73.743584,0.000388,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922060015,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
14,6:02:02,9/22/22,Night sampling,CH,LCOR-521,,,0.827673,0.01698,2.917782,0.016881,0.09973,1.430176,1.427361,2.018181,0.588005,14.096587,14.124393,19.931519,0.441786,PSF-00336_20220922060202,88.622688,514.269592,0.827673,0,0,0,0.5,0.8,0.3745,65.78,65.65,18.77,17.59,101.26,156.2,152.9,2.1,1,4.078,-11,-163,116,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,5:54:18,9/22/22,-0.24,-0.002,0.002,-0.003,0.227,-0.097,0.042,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.488198,2.476748,1.65773,0.921559,0.350039,-0.012925,0.321478,0.107807,88.622688,0.000369,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922060202,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
15,6:08:22,9/22/22,Night sampling,CH,LCOR-419,,,0.841057,0.109285,2.916286,0.105338,0.572718,1.404032,1.387838,1.945525,0.541493,13.704401,13.86431,19.211361,0.441786,PSF-00336_20220922060822,78.921677,496.541992,0.841057,0,0,0,0.5,0.8,0.848973,67.02,66.25,18.18,17.01,101.27,156,156.1,-0.1,3,4.074,-64,-179,40,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,6:07:55,9/22/22,-0.15,-0.002,-0.001,-0.002,-0.174,0.113,0.066,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.489165,2.478484,1.656147,0.929676,0.358472,-0.01264,0.341505,0.109075,78.921677,0.000411,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922060822,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
16,6:10:38,9/22/22,Night sampling,CH,LCOR-453,,,0.846388,0.129294,2.917718,0.123807,0.622187,1.40977,1.392198,1.910359,0.500589,13.747252,13.920768,18.863832,0.441786,PSF-00336_20220922061038,72.050217,469.040039,0.846388,0,0,0,0.5,0.8,0.137704,67.61,66.76,18.11,16.72,101.27,156.2,154.7,1,0,4.072,-44,163,90,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,6:07:55,9/22/22,-0.15,0,-0.002,-0.003,-0.009,0.013,-0.15,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.489873,2.479299,1.657663,0.926057,0.359544,-0.014959,0.349328,0.107147,72.050217,0.000395,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922061038,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
17,6:12:20,9/22/22,Night sampling,CH,LCOR-466,,,0.833011,0.139227,2.916387,0.132884,0.635247,1.440327,1.42237,1.916487,0.47616,14.043455,14.220744,18.922001,0.441786,PSF-00336_20220922061220,74.556114,446.47406,0.833011,0,0,0,0.5,0.8,0.151881,69.48,68.62,18.01,16.77,101.28,156,155.6,0.3,0,4.069,10,-167,123,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,6:07:55,9/22/22,-0.15,-0.003,-0.005,-0.014,-0.014,-0.103,-0.203,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.492342,2.481843,1.656254,0.928414,0.360904,-0.013353,0.354344,0.107192,74.556114,0.000392,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922061220,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
19,6:14:33,9/22/22,Night sampling,CH,LCOR-547,,,0.824914,0.088137,2.915879,0.085551,0.432795,1.458399,1.446163,1.96212,0.503721,14.278715,14.399529,19.373032,0.441786,PSF-00336_20220922061433,76.843857,438.892365,0.824914,0,0,0,0.5,0.8,0.063858,70.07,69.48,18.08,17.14,101.28,156,156,0,0,4.067,20,-177,114,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,6:07:55,9/22/22,-0.15,-0.004,-0.012,-0.017,-0.247,-0.212,-0.24,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.49346,2.482608,1.655719,0.929399,0.359969,-0.010002,0.362065,0.106953,76.587082,0.000403,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922061433,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
20,6:16:10,9/22/22,Night sampling,CH,LCOR-549,,,0.843989,0.144772,2.916051,0.137924,0.662211,1.456911,1.438195,1.934938,0.478026,14.203208,14.38804,19.108891,0.441786,PSF-00336_20220922061610,81.10714,519.88147,0.843989,0,0,0,0.5,0.8,0.035244,69.42,68.53,18.21,16.92,101.26,156,155,0.6,0,4.065,-67,-153,70,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,6:07:55,9/22/22,-0.15,0.001,0.002,0,-0.117,-0.204,-0.062,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.492172,2.481703,1.6559,0.926809,0.358078,-0.013892,0.36756,0.106872,81.10714,0.000402,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922061610,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
21,6:17:52,9/22/22,Night sampling,CH,LCOR-153,,,0.841584,0.165542,2.914729,0.156645,0.744003,1.457156,1.436107,1.930061,0.472904,14.182264,14.390141,19.060305,0.441786,PSF-00336_20220922061752,73.980331,467.001556,0.841584,0,0,0,0.5,0.8,0.622948,68.73,67.74,18.37,16.88,101.26,155.8,154.3,1,2,4.062,-70,126,150,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,6:07:55,9/22/22,-0.15,0,-0.004,-0.006,0.016,-0.07,-0.012,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.491079,2.480726,1.654506,0.925061,0.355752,-0.01615,0.373017,0.108462,73.980331,0.000407,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922061752,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
22,6:20:15,9/22/22,Night sampling,CH,LCOR-447,,,0.814765,0.128083,2.914949,0.122692,0.570445,1.466592,1.450456,1.929543,0.46295,14.322659,14.482,19.053448,0.441786,PSF-00336_20220922062015,88.482498,477.677826,0.814765,0,0,0,0.5,0.8,0.422534,68.57,67.82,18.51,16.88,101.27,155.9,155.9,0,1,4.059,-37,162,114,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,6:20:02,9/22/22,-0.09,-0.005,-0.015,-0.027,0.032,0.019,-0.274,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.491136,2.480385,1.654738,0.929155,0.353745,-0.017778,0.380136,0.107958,88.482498,0.000427,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922062015,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
