Obs#,Time,Date,configName,configAuthor,ID,,,Fv/Fm,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,pitch,roll,heading,angle_inc_leaf,direct_pct,slope_leaf,az_leaf,dec_solar,az_solar,zenith_solar,gps_time,gps_date,latitude,longitude,altitude,gps_sats,gps_HDOP,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
23,6:22:36,9/22/22,Night sampling,CH,LCOR-102,,,0.843902,0.1082,2.915332,0.104328,0.518144,1.47801,1.463358,1.972422,0.494413,14.449386,14.594058,19.475952,0.441786,PSF-00336_20220922062236,74.18454,475.242004,0.843902,0,0,0,0.5,0.8,0.965036,69.55,68.86,18.41,17.22,101.27,155.9,154.9,0.6,3,4.056,-78,147,127,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,6:20:02,9/22/22,-0.09,-0.002,0.002,-0.007,0.063,0.083,0.238,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.492542,2.481729,1.655142,0.926633,0.355205,-0.012818,0.386002,0.109381,74.18454,0.000431,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922062236,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
24,6:24:31,9/22/22,Night sampling,CH,LCOR-615,,,0.835188,0.153582,2.916003,0.145898,0.630761,1.493934,1.476111,1.924365,0.430431,14.576071,14.752067,19.002415,0.441786,PSF-00336_20220922062431,78.657028,477.251892,0.835188,0,0,0,0.5,0.8,0.144276,70.15,69.31,18.44,16.84,101.27,156,155.8,0.1,0,4.054,-28,-174,116,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,6:20:02,9/22/22,-0.09,-0.007,-0.017,-0.032,0.227,0.046,0.328,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.493119,2.482514,1.655849,0.928813,0.354704,-0.017484,0.391644,0.10717,78.657028,0.000421,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922062431,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
25,6:25:53,9/22/22,Night sampling,CH,LCOR-456,,,0.844546,0.106948,2.916668,0.103166,0.457161,1.496484,1.483573,1.937633,0.441149,14.649789,14.777277,19.13348,0.441786,PSF-00336_20220922062553,77.2444,496.896729,0.844546,0,0,0,0.5,0.8,0.31223,70.38,69.77,18.42,16.94,101.27,156.1,156.4,-0.2,1,4.051,-54,-176,102,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,6:20:02,9/22/22,-0.09,-0.006,-0.011,-0.013,-0.038,-0.013,-0.035,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.493731,2.482829,1.656551,0.930365,0.355061,-0.016016,0.395192,0.107619,77.2444,0.000525,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922062553,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
26,6:28:16,9/22/22,Night sampling,CH,LCOR-531,,,0.820718,0.118566,2.916403,0.113934,0.487117,1.501315,1.487555,1.926982,0.425667,14.68824,14.824103,19.027172,0.441786,PSF-00336_20220922062816,74.902657,417.791962,0.820718,0,0,0,0.5,0.8,1.657286,70.25,69.6,18.5,16.86,101.28,156,152.2,2.5,5,4.049,-59,141,140,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,6:20:02,9/22/22,-0.09,-0.001,-0.009,-0.013,0.133,-0.005,-0.068,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.493491,2.482635,1.656271,0.919799,0.353918,-0.017871,0.401413,0.111375,74.902657,0.000518,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922062816,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
27,6:30:10,9/22/22,Night sampling,CH,LCOR-586,,,0.809898,0.201744,2.915005,0.188685,0.784643,1.519393,1.497209,1.933346,0.413953,14.784224,15.003271,19.09086,0.441786,PSF-00336_20220922063010,88.848709,467.373505,0.809898,0,0,0,0.5,0.8,1.523626,70.72,69.69,18.58,16.91,101.27,155.9,155.3,0.3,5,4.047,-52,-165,93,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,6:20:02,9/22/22,-0.09,0.002,-0.004,-0.028,0.028,-0.035,0.063,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.493575,2.48324,1.654797,0.927681,0.352724,-0.018247,0.406363,0.111061,88.848709,0.000478,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922063010,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
28,6:31:59,9/22/22,Night sampling,CH,LCOR-578,,,0.821776,0.144902,2.916597,0.138044,0.546161,1.503475,1.488051,1.897409,0.393935,14.694077,14.846382,18.736376,0.441786,PSF-00336_20220922063159,84.780693,475.697632,0.821776,0,0,0,0.5,0.8,0.707024,69.67,68.96,18.65,16.61,101.27,156.1,155,0.7,2,4.044,-57,-179,102,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,6:31:48,9/22/22,-0.05,-0.014,-0.042,-0.138,0.18,0.182,0.29,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.492592,2.481755,1.656476,0.926909,0.351722,-0.022274,0.411034,0.108736,84.780693,0.000509,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922063159,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
29,6:34:05,9/22/22,Night sampling,CH,LCOR-477,,,0.828346,0.106662,2.917673,0.1029,0.486708,1.482956,1.469219,1.953871,0.470915,14.506541,14.642179,19.291826,0.441786,PSF-00336_20220922063405,82.032684,477.895264,0.828346,0,0,0,0.5,0.8,0.036542,68.77,68.13,18.64,17.08,101.28,156.2,155.5,0.5,0,4.042,-1,167,122,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,6:31:48,9/22/22,-0.05,-0.004,-0.009,-0.016,-0.013,-0.242,-0.151,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.491505,2.480545,1.657615,0.92803,0.35187,-0.017099,0.415843,0.106877,82.032684,0.000497,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922063405,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
30,6:35:39,9/22/22,Night sampling,CH,LCOR-029,,,0.838025,0.13981,2.91433,0.13341,0.617123,1.499812,1.482353,1.960243,0.460431,14.638172,14.810579,19.357317,0.441786,PSF-00336_20220922063539,77.229736,476.800903,0.838025,0,0,0,0.5,0.8,0.008276,69.63,68.82,18.62,17.13,101.27,155.8,155.7,0,0,4.04,-77,128,144,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,6:31:48,9/22/22,-0.05,-0.001,-0.007,-0.017,0.214,-0.208,-0.335,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.492415,2.481704,1.654087,0.928667,0.352126,-0.016331,0.419695,0.106799,77.229736,0.0005,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922063539,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
31,6:37:31,9/22/22,Night sampling,CH,LCOR-457,,,0.82619,0.202304,2.915896,0.189179,0.751063,1.517932,1.496712,1.913185,0.395253,14.779061,14.988591,18.89146,0.441786,PSF-00336_20220922063731,77.315208,444.825775,0.82619,0,0,0,0.5,0.8,1.256601,70.29,69.31,18.66,16.74,101.27,156,153.7,1.4,4,4.038,-65,-131,61,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,6:31:48,9/22/22,-0.05,-0.012,-0.042,-0.103,-0.109,0.023,0.11,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.493052,2.482582,1.655737,0.923647,0.351564,-0.020977,0.424249,0.11024,77.315208,0.000486,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922063731,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
32,6:39:10,9/22/22,Night sampling,CH,LCOR-440,,,0.825893,0.135455,2.91493,0.12944,0.58779,1.509717,1.493095,1.961742,0.452025,14.742539,14.906658,19.369871,0.441786,PSF-00336_20220922063910,79.330444,455.64151,0.825893,0,0,0,0.5,0.8,0.627029,69.82,69.05,18.69,17.14,101.28,155.9,156.2,-0.2,2,4.035,-50,-171,96,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,6:31:48,9/22/22,-0.05,0.001,-0.003,-0.015,0.225,0.16,-0.072,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.492707,2.481945,1.654718,0.929767,0.351269,-0.016881,0.428338,0.108506,79.330444,0.000493,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922063910,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
33,6:40:48,9/22/22,Night sampling,CH,LCOR-501,,,0.821277,0.140426,2.915498,0.133973,0.570044,1.507616,1.491503,1.931239,0.423623,14.726457,14.885552,19.068226,0.441786,PSF-00336_20220922064048,82.062004,459.156982,0.821277,0,0,0,0.5,0.8,0.879441,69.87,69.12,18.65,16.89,101.28,155.9,149.2,4.3,3,4.034,-68,169,99,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,6:31:48,9/22/22,-0.05,-0.007,-0.012,-0.025,0.047,0.084,0.078,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.492805,2.482015,1.655316,0.912379,0.35173,-0.019226,0.431782,0.109215,82.062004,0.000471,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922064048,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
34,6:42:35,9/22/22,Night sampling,CH,LCOR-172,,,0.834666,0.177744,2.914467,0.167527,0.708403,1.5229,1.502863,1.943832,0.420932,14.839064,15.036904,19.19313,0.441786,PSF-00336_20220922064235,77.101349,466.335663,0.834666,0,0,0,0.5,0.8,1.626852,70.16,69.23,18.75,16.99,101.28,155.8,152.4,2.2,5,4.031,-77,-150,46,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,6:42:22,9/22/22,-0.05,-0.001,-0.005,-0.02,-0.201,-0.103,-0.363,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.492927,2.48237,1.654231,0.920252,0.350393,-0.019169,0.435787,0.111215,77.101349,0.000489,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922064235,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
35,6:44:17,9/22/22,Night sampling,CH,LCOR-081,,,0.831208,0.056107,2.917187,0.055049,0.278101,1.498434,1.490582,2.001251,0.502818,14.71744,14.794961,19.759592,0.441786,PSF-00336_20220922064417,78.789711,466.785919,0.831208,0,0,0,0.5,0.8,0.253121,69.17,68.81,18.72,17.45,101.28,156.1,156.2,-0.1,1,4.029,-37,-177,170,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,6:42:22,9/22/22,-0.05,-0.002,-0.002,0,-0.029,-0.038,-0.028,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.492377,2.48106,1.6571,0.929928,0.350852,-0.013746,0.438733,0.10747,78.789711,0.000491,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922064417,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
36,6:46:40,9/22/22,Night sampling,CH,LCOR-417,,,0.81731,0.138747,2.918577,0.13245,0.628345,1.497974,1.480253,1.970261,0.472286,14.614224,14.789185,19.451969,0.441786,PSF-00336_20220922064640,82.182167,449.84436,0.81731,0,0,0,0.5,0.8,0.451966,70.04,69.21,18.51,17.21,101.29,156.3,156.1,0.2,1,4.026,-30,164,110,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,6:42:22,9/22/22,-0.05,0.001,-0.004,0,-0.079,-0.091,0.091,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.492973,2.482291,1.658574,0.929486,0.353754,-0.014154,0.442968,0.108036,81.911804,0.000504,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922064640,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
37,6:48:54,9/22/22,Night sampling,CH,LCOR-225,,,0.82155,0.157736,2.915756,0.149641,0.581552,1.49241,1.475971,1.879494,0.387084,14.572061,14.734361,18.55599,0.441786,PSF-00336_20220922064854,78.125237,437.799438,0.82155,0,0,0,0.5,0.8,0.317664,69.5,68.73,18.58,16.46,101.29,156,155.6,0.2,1,4.023,-27,167,124,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,6:42:22,9/22/22,-0.05,-0.008,-0.019,-0.051,-0.037,-0.248,-0.153,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.492321,2.481542,1.655588,0.928412,0.352829,-0.023023,0.447428,0.107657,78.125237,0.000491,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922064854,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
38,6:50:38,9/22/22,Night sampling,CH,LCOR-431,,,0.830474,0.157369,2.916362,0.149312,0.592911,1.486935,1.470182,1.882442,0.395507,14.515371,14.680771,18.585682,0.441786,PSF-00336_20220922065038,82.801582,488.430267,0.830474,0,0,0,0.5,0.8,0.220549,69.56,68.77,18.5,16.49,101.28,156,155.1,0.6,1,4.021,-39,-137,55,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,6:42:22,9/22/22,-0.05,-0.006,-0.019,-0.075,-0.039,-0.186,-0.271,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.492396,2.481643,1.656228,0.927173,0.353853,-0.021944,0.450423,0.107382,82.801582,0.000531,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922065038,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
39,6:52:09,9/22/22,Night sampling,CH,LCOR-532,,,0.830026,0.243129,2.916654,0.224422,1.020852,1.509654,1.480824,1.962477,0.452823,14.620584,14.905233,19.376078,0.441786,PSF-00336_20220922065209,80.066444,471.052399,0.830026,0,0,0,0.5,0.8,0.471383,70.68,69.33,18.49,17.14,101.28,156.1,156.1,0,1,4.019,-56,126,156,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,6:42:22,9/22/22,-0.05,0.001,-0.001,-0.005,0.201,0.02,-0.311,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.493131,2.483148,1.656537,0.929554,0.354043,-0.014612,0.453884,0.10807,80.066444,0.00049,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922065209,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
40,6:54:01,9/22/22,Night sampling,CH,LCOR-430,,,0.823071,0.181394,2.913649,0.170763,0.686149,1.50115,1.481724,1.9013,0.40015,14.629004,14.820795,18.771456,0.441786,PSF-00336_20220922065401,82.010147,463.519348,0.823071,0,0,0,0.5,0.8,0.114131,70.31,69.4,18.48,16.65,101.29,155.7,154.4,0.9,0,4.018,-56,176,91,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,6:53:48,9/22/22,-0.04,-0.007,-0.021,-0.068,-0.113,-0.048,-0.089,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.493232,2.48265,1.653371,0.925264,0.354153,-0.019996,0.457467,0.107093,82.010147,0.000506,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922065401,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
41,6:54:48,9/22/22,Night sampling,CH,LCOR-183,,,0.818298,0.098419,2.916117,0.095205,0.3784,1.494525,1.483832,1.890372,0.395847,14.6497,14.755272,18.663427,0.441786,PSF-00336_20220922065448,77.172157,424.719208,0.818298,0,0,0,0.5,0.8,0.206263,70.04,69.54,18.47,16.55,101.29,156,155.2,0.5,1,4.017,-24,177,105,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,6:53:48,9/22/22,-0.04,-0.004,-0.01,-0.035,-0.06,-0.045,-0.014,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.493419,2.482294,1.655969,0.9272,0.354288,-0.020879,0.458856,0.107351,77.172157,0.000523,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922065448,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
42,6:55:46,9/22/22,Night sampling,CH,LCOR-576,,,0.828548,0.091819,2.915499,0.089015,0.375592,1.478955,1.468335,1.899207,0.420252,14.496522,14.601377,18.750425,0.441786,PSF-00336_20220922065546,80.460907,469.291809,0.828548,0,0,0,0.5,0.8,0.252051,69.46,68.96,18.44,16.63,101.29,155.9,155.5,0.3,1,4.015,-54,-141,58,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,6:53:48,9/22/22,-0.04,-0.002,-0.012,-0.048,-0.214,-0.341,-0.14,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.492658,2.481515,1.655317,0.927995,0.354749,-0.019716,0.460467,0.10747,80.460907,0.000508,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922065546,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
43,6:57:00,9/22/22,Night sampling,CH,LCOR-288,,,0.813705,0.194221,2.916018,0.182093,0.702135,1.500811,1.48097,1.884836,0.384025,14.621591,14.817486,18.608957,0.441786,PSF-00336_20220922065700,83.804008,449.845795,0.813705,0,0,0,0.5,0.8,0.199993,70.76,69.83,18.38,16.51,101.29,156,155.8,0.2,1,4.014,-69,155,124,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,6:53:48,9/22/22,-0.04,-0.014,-0.043,-0.113,0.206,0.027,0.028,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.493821,2.483284,1.655865,0.928714,0.355655,-0.020307,0.462394,0.107337,83.804008,0.000506,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922065700,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
44,6:57:47,9/22/22,Night sampling,CH,LCOR-038,,,0.826755,0.086584,2.915996,0.084087,0.348157,1.492561,1.482721,1.904891,0.412331,14.6391,14.736245,18.807238,0.441786,PSF-00336_20220922065747,84.359764,486.939667,0.826755,0,0,0,0.5,0.8,0.440308,70.5,70.04,18.35,16.68,101.29,156,154.9,0.7,1,4.011,-31,-148,102,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,6:53:48,9/22/22,-0.04,-0.004,-0.016,-0.052,-0.045,-0.022,-0.195,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.494106,2.482945,1.655842,0.926582,0.356071,-0.018162,0.463724,0.10799,84.359764,0.000505,2.386067,-0.000044,1,2.373562,-0.000053,1,0.600878,0.600715,0.106777,0,PSF-00336_20220922065747,PFA-00364,PSA-00381,PSF-00336,RHS-00170,2.0.0,2022-09-01T17:42:39.413Z
