row,column,ID,Top_0,Bottom_0,Top_2,Bottom_2,Top_6,Bottom_6
12,12,LCOR-241,2,2,3,4,4,4
13,12,LCOR-218,2,2,3,4,4,4
14,12,LCOR-002,2,2,3,4,4,4
15,12,LCOR-026,2,2,3,4,4,4
16,12,LCOR-1201,,,,,,
1,13,LCOR-1010,,,,,,
2,13,LCOR-066,1,1,2,3,4,4
3,13,LCOR-423,2,2,3,3,4,4
4,13,LCOR-200,1,1,3,3,4,4
5,13,LCOR-332,2,1,3,3,4,4
6,13,LCOR-137,2,2,3,3,4,4
7,13,LCOR-338,1,1,2,3,4,4
8,13,LCOR-544,1,1,3,3,4,4
9,13,LCOR-320,2,1,3,3,4,4
10,13,LCOR-077,2,2,3,4,4,4
11,13,LCOR-593,2,2,3,3,4,4
12,13,LCOR-088,2,1,2,3,4,4
13,13,LCOR-030,2,2,3,4,4,4
14,13,LCOR-156,2,2,3,4,4,4
15,13,LCOR-051,2,2,3,4,4,4
16,13,LCOR-1203,,,,,,
1,14,LCOR-1011,,,,,,
2,14,LCOR-060,1,1,3,3,4,4
3,14,LCOR-604,2,1,3,4,4,4
4,14,LCOR-368,2,2,3,3,4,4
5,14,LCOR-046,2,2,3,4,4,4
6,14,LCOR-031,2,2,3,4,4,4
7,14,LCOR-347,2,1,3,3,4,4
8,14,LCOR-176,2,2,3,4,4,4
9,14,LCOR-269,2,2,3,4,4,4
10,14,LCOR-147,2,2,3,4,4,4
11,14,LCOR-257,2,2,3,4,4,4
12,14,LCOR-256,2,2,3,4,4,4
13,14,LCOR-014,2,1,3,4,4,4
14,14,LCOR-091,2,1,3,4,4,4
15,14,LCOR-264,2,2,3,4,4,4
16,14,LCOR-1206,,,,,,
1,15,LCOR-116,1,1,3,2,4,4
2,15,LCOR-486,2,1,3,4,4,4
3,15,LCOR-174,,,,,,
4,15,LCOR-357,2,2,2,4,4,4
5,15,LCOR-473,2,2,3,3,4,4
6,15,LCOR-525,2,1,3,4,4,4
7,15,LCOR-437,2,1,3,4,4,4
8,15,LCOR-550,2,1,3,3,4,4
9,15,LCOR-307,2,1,3,3,4,4
10,15,LCOR-449,2,2,3,4,4,4
11,15,LCOR-507,2,2,3,4,4,4
12,15,LCOR-154,2,2,3,4,4,4
13,15,LCOR-562,2,1,3,4,4,4
14,15,LCOR-334,2,1,3,4,4,4
15,15,LCOR-393,2,2,3,4,4,4
16,15,LCOR-1070,,,,,,
1,16,LCOR-442,2,2,3,3,4,4
2,16,LCOR-247,2,2,3,3,4,4
3,16,LCOR-611,2,1,3,3,4,4
4,16,LCOR-327,1,1,2,3,4,4
5,16,LCOR-528,1,2,3,3,4,4
6,16,LCOR-072,2,2,3,3,4,4
7,16,LCOR-610,2,1,3,3,4,4
8,16,LCOR-516,1,1,3,2,4,4
9,16,LCOR-280,2,2,3,3,4,4
10,16,LCOR-033,2,1,3,3,4,4
11,16,LCOR-331,1,1,3,2,4,4
12,16,LCOR-372,2,1,3,3,4,4
13,16,LCOR-105,1,1,3,2,4,4
14,16,LCOR-352,2,2,3,4,4,4
15,16,LCOR-614,2,2,3,4,4,4
16,16,LCOR-1035,,,,,,
1,17,LCOR-376,2,2,3,3,4,4
2,17,LCOR-016,2,2,3,3,4,4
3,17,LCOR-132,2,2,3,3,4,3
4,17,LCOR-574,1,2,3,4,4,4
5,17,LCOR-079,1,1,2,2,4,4
6,17,LCOR-458,2,2,2,3,4,3
7,17,LCOR-411,2,1,2,3,4,3
8,17,LCOR-394,2,2,2,3,4,3
9,17,LCOR-275,2,2,2,3,4,4
10,17,LCOR-601,1,1,2,2,4,4
11,17,LCOR-252,2,1,3,2,4,4
12,17,LCOR-134,2,2,3,4,4,4
13,17,LCOR-502,2,2,3,3,4,4
14,17,LCOR-481,2,2,3,4,4,4
15,17,LCOR-271,2,2,3,4,4,4
16,17,LCOR-1062,,,,,,
1,18,LCOR-377,2,2,3,3,4,4
2,18,LCOR-058,2,2,3,3,4,4
3,18,LCOR-052,2,1,3,3,4,4
4,18,LCOR-475,2,2,3,4,4,4
5,18,LCOR-085,1,1,2,2,4,3
6,18,LCOR-351,2,2,3,3,4,4
7,18,LCOR-053,,,,,,
8,18,LCOR-302,,,,,,
9,18,LCOR-1069,,,,,,
10,18,LCOR-306,2,2,3,3,4,4
11,18,LCOR-392,2,2,3,3,4,4
12,18,LCOR-243,2,2,3,4,4,4
13,18,LCOR-572,2,2,3,3,4,4
14,18,LCOR-463,2,2,3,4,4,4
15,18,LCOR-260,2,2,3,4,4,4
16,18,LCOR-1077,,,,,,
1,19,LCOR-548,1,2,3,2,4,4
2,19,LCOR-057,1,2,,,4,4
3,19,LCOR-406,1,2,3,3,4,4
4,19,LCOR-089,1,1,2,3,3,4
5,19,LCOR-491,1,1,3,3,4,4
6,19,LCOR-121,2,1,3,3,4,4
7,19,LCOR-585,2,2,3,3,4,4
8,19,LCOR-554,2,2,3,4,4,4
9,19,LCOR-152,2,2,3,3,4,4
10,19,LCOR-558,1,1,2,3,4,4
11,19,LCOR-138,2,2,3,3,4,4
12,19,LCOR-383,2,2,3,4,4,4
13,19,LCOR-568,1,1,2,3,4,4
14,19,LCOR-080,2,2,3,3,4,4
15,19,LCOR-391,2,2,3,4,4,4
16,19,LCOR-1086,,,,,,
1,20,LCOR-553,2,2,3,4,4,4
2,20,LCOR-162,2,2,3,4,4,4
3,20,LCOR-242,2,2,3,3,4,4
4,20,LCOR-330,1,1,3,3,4,4
5,20,LCOR-166,2,2,3,4,4,4
6,20,LCOR-512,2,1,3,3,4,3
7,20,LCOR-059,2,2,3,4,4,4
8,20,LCOR-101,2,2,3,3,4,4
9,20,LCOR-067,2,1,3,3,4,4
10,20,LCOR-1100,1,1,,,,
11,20,LCOR-103,2,2,3,3,4,4
12,20,LCOR-230,2,2,3,4,4,4
13,20,LCOR-534,2,2,3,3,4,4
14,20,LCOR-261,2,2,3,4,4,4
15,20,LCOR-493,2,1,3,3,4,4
16,20,LCOR-1087,,,,,,
1,21,LCOR-468,1,1,3,3,4,4
2,21,LCOR-098,1,1,2,2,4,3
3,21,LCOR-482,2,2,3,4,4,4
4,21,LCOR-350,1,1,3,2,4,4
5,21,LCOR-129,1,1,2,3,4,4
6,21,LCOR-012,2,2,3,3,4,4
7,21,LCOR-248,2,2,3,4,4,4
8,21,LCOR-476,1,1,3,2,4,4
9,21,LCOR-584,2,2,3,4,4,4
10,21,LCOR-518,2,2,3,3,4,4
11,21,LCOR-450,2,2,3,3,4,4
12,21,LCOR-017,2,2,3,4,4,4
13,21,LCOR-495,2,2,3,3,4,4
14,21,LCOR-144,2,2,3,4,4,4
15,21,LCOR-204,2,1,3,3,4,4
16,21,LCOR-1142,,,,,,
1,22,LCOR-470,1,1,2,3,4,4
2,22,LCOR-616,1,1,3,3,4,4
3,22,LCOR-245,1,2,3,3,4,3
4,22,LCOR-165,1,2,3,3,4,4
5,22,LCOR-209,1,1,2,3,4,3
6,22,LCOR-340,1,1,2,3,4,3
7,22,LCOR-326,1,1,2,3,4,3
8,22,LCOR-149,2,1,2,3,4,4
9,22,LCOR-1015,1,1,,,,
10,22,LCOR-169,2,2,3,3,4,4
11,22,LCOR-063,1,2,3,4,4,4
12,22,LCOR-483,2,2,3,3,4,4
13,22,LCOR-514,1,1,3,3,4,4
14,22,LCOR-266,2,2,3,3,4,4
15,22,LCOR-122,1,1,3,3,4,3
16,22,LCOR-1148,,,,,,
1,23,LCOR-485,2,2,3,4,4,4
2,23,LCOR-398,2,2,3,3,4,4
3,23,LCOR-171,1,2,2,3,4,4
4,23,LCOR-422,2,2,3,3,4,4
5,23,LCOR-319,1,1,2,3,4,3
6,23,LCOR-106,2,1,3,3,4,4
7,23,LCOR-445,2,2,3,4,4,4
8,23,LCOR-401,2,1,3,3,4,4
9,23,LCOR-291,1,1,2,2,4,4
10,23,LCOR-207,2,1,2,3,4,4
11,23,LCOR-090,1,2,2,3,4,4
12,23,LCOR-015,2,2,3,3,4,4
13,23,LCOR-202,2,1,2,3,4,4
14,23,LCOR-290,2,1,2,3,4,3
15,23,LCOR-333,2,1,3,3,4,4
16,23,LCOR-1155,,,,,,
1,24,LCOR-489,2,2,3,4,4,4
2,24,LCOR-178,2,2,3,4,4,4
3,24,LCOR-367,2,2,3,3,4,4
4,24,LCOR-608,1,1,3,3,4,4
5,24,LCOR-229,1,2,3,3,4,4
6,24,LCOR-503,1,1,2,3,4,4
7,24,LCOR-339,2,1,2,3,4,4
8,24,LCOR-348,1,1,3,3,4,4
9,24,LCOR-182,2,2,3,4,4,4
10,24,LCOR-546,2,2,3,4,4,4
11,24,LCOR-212,2,2,3,4,4,4
12,24,LCOR-404,2,2,3,4,4,4
13,24,LCOR-084,1,2,3,4,4,4
14,24,LCOR-309,2,2,3,4,4,4
15,24,LCOR-318,2,2,3,3,4,4
16,24,LCOR-1162,,,,,,
1,25,LCOR-214,1,2,3,3,4,4
2,25,LCOR-192,1,1,3,3,4,4
3,25,LCOR-130,2,2,3,4,4,4
4,25,LCOR-606,2,1,3,3,4,4
5,25,LCOR-022,2,2,3,4,4,4
6,25,LCOR-434,2,2,3,4,4,4
7,25,LCOR-160,2,2,3,4,4,4
8,25,LCOR-199,1,1,2,3,4,4
9,25,LCOR-506,2,1,2,3,4,4
10,25,LCOR-049,2,2,3,4,4,4
11,25,LCOR-065,2,2,3,4,4,4
12,25,LCOR-055,2,2,3,4,4,4
13,25,LCOR-448,2,2,3,4,4,4
14,25,LCOR-379,2,2,3,4,4,4
15,25,LCOR-301,2,2,3,4,4,4
16,25,LCOR-1180,,,,,,
1,26,LCOR-462,2,2,3,3,4,4
2,26,LCOR-293,2,1,2,3,4,4
3,26,LCOR-605,2,2,3,3,4,4
4,26,LCOR-170,2,2,3,4,4,4
5,26,LCOR-487,2,2,3,4,4,4
6,26,LCOR-278,2,2,3,4,4,4
7,26,LCOR-613,2,2,3,3,4,4
8,26,LCOR-300,2,1,3,3,4,4
9,26,LCOR-341,1,1,2,3,4,4
10,26,LCOR-095,1,1,2,3,4,4
11,26,LCOR-361,2,2,3,3,4,4
12,26,LCOR-387,2,2,3,4,4,4
13,26,LCOR-356,2,2,3,4,4,4
14,26,LCOR-484,2,2,3,3,4,4
15,26,LCOR-508,2,2,3,3,4,4
16,26,LCOR-1178,,,,,,
1,27,LCOR-533,2,1,3,3,4,4
2,27,LCOR-441,2,2,3,4,4,4
3,27,LCOR-126,1,1,2,3,4,4
4,27,LCOR-399,2,2,2,4,4,3
5,27,LCOR-323,1,1,3,3,4,4
6,27,LCOR-061,2,2,3,3,4,4
7,27,LCOR-197,1,1,3,3,4,4
8,27,LCOR-373,2,2,3,3,4,4
9,27,LCOR-206,2,2,3,3,4,4
10,27,LCOR-322,1,1,3,3,4,4
11,27,LCOR-048,2,2,3,3,4,4
12,27,LCOR-175,2,2,3,4,4,4
13,27,LCOR-295,1,1,2,3,4,4
14,27,LCOR-388,2,2,3,4,4,4
15,27,LCOR-429,2,2,3,4,4,4
16,27,LCOR-1016,,,,,,
1,28,LCOR-537,2,2,3,3,4,4
2,28,LCOR-276,1,1,3,3,4,4
3,28,LCOR-086,1,1,2,2,4,4
4,28,LCOR-425,2,2,3,4,4,4
5,28,LCOR-596,2,2,2,3,4,4
6,28,LCOR-227,2,2,2,3,4,4
7,28,LCOR-335,1,2,2,3,4,4
8,28,LCOR-128,2,2,3,4,4,4
9,28,LCOR-551,2,2,3,4,4,4
10,28,LCOR-337,2,1,2,3,4,4
11,28,LCOR-096,2,2,3,3,4,3
12,28,LCOR-405,2,2,3,4,4,4
13,28,LCOR-559,2,2,3,3,4,4
14,28,LCOR-1018,,,2,3,,
15,28,LCOR-083,2,2,3,3,4,4
16,28,LCOR-1020,,,,,,
1,29,LCOR-024,2,2,3,3,4,4
2,29,LCOR-557,2,2,3,4,4,4
3,29,LCOR-297,1,2,3,3,4,4
4,29,LCOR-381,1,1,2,2,4,4
5,29,LCOR-382,2,2,3,3,4,4
6,29,LCOR-185,2,2,3,3,4,4
7,29,LCOR-044,2,2,3,4,4,4
8,29,LCOR-600,1,2,3,3,4,4
9,29,LCOR-127,2,2,3,3,4,4
10,29,LCOR-1048,,,,,,
11,29,LCOR-1054,,,,,,
12,29,LCOR-1049,,,,,,
13,29,LCOR-1103,,,,,,
14,29,LCOR-1122,,,,,,
15,29,LCOR-1124,,,,,,
16,29,LCOR-1134,,,,,,
1,30,LCOR-424,2,1,3,3,4,4
2,30,LCOR-1025,,,,,,
3,30,LCOR-583,1,1,2,2,4,4
4,30,LCOR-093,1,1,2,2,4,4
5,30,LCOR-281,1,1,2,2,4,4
6,30,LCOR-1073,,,,,,
7,30,LCOR-1082,,,,,,
8,30,LCOR-1095,,,,,,
9,30,LCOR-1244,,,,,,
10,30,LCOR-1052,,,,,,
11,30,LCOR-1202,,,,,,
12,30,LCOR-1210,,,,,,
13,30,LCOR-1154,,,,,,
14,30,LCOR-1099,,,,,,
15,30,LCOR-1140,,,,,,
16,30,LCOR-1161,,,,,,
1,44,LCOR-1028,,,,,,
2,44,LCOR-1169,,,,,,
3,44,LCOR-1245,,,,,,
4,44,LCOR-1014,,,,,,
5,44,LCOR-1034,,,,,,
6,44,LCOR-1118,,,,,,
7,44,LCOR-1129,,,,,,
8,44,LCOR-1136,,,,,,
9,44,LCOR-1151,,,,,,
10,44,LCOR-1159,,,,,,
11,44,LCOR-1160,,,,,,
12,44,LCOR-1193,,,,,,
13,44,LCOR-1249,,,,,,
14,44,LCOR-1261,,,,,,
15,44,LCOR-1237,,,,,,
16,44,LCOR-1135,,,,,,
1,45,LCOR-1039,,,,,,
2,45,LCOR-599,1,1,2,2,3,4
3,45,LCOR-316,1,1,1,1,3,4
4,45,LCOR-100,1,1,2,1,3,4
5,45,LCOR-304,1,1,1,1,3,3
6,45,LCOR-494,1,1,2,1,3,4
7,45,LCOR-439,1,1,2,2,4,4
8,45,LCOR-378,1,1,2,2,4,4
9,45,LCOR-595,1,1,2,2,4,4
10,45,LCOR-1239,,,,,,
11,45,LCOR-371,2,1,2,3,4,4
12,45,LCOR-234,2,1,3,3,4,4
13,45,LCOR-461,1,1,3,3,4,3
14,45,LCOR-519,1,1,2,3,4,4
15,45,LCOR-1226,,,,,,
16,45,LCOR-1027,,,,,,
1,46,LCOR-1042,,,,,,
2,46,LCOR-112,1,1,2,2,4,4
3,46,LCOR-190,1,1,2,2,3,3
4,46,LCOR-313,1,1,2,1,3,4
5,46,LCOR-446,1,1,2,2,4,4
6,46,LCOR-032,2,1,2,3,4,4
7,46,LCOR-492,1,1,2,1,4,4
8,46,LCOR-311,1,1,2,2,4,4
9,46,LCOR-523,1,1,2,2,4,4
10,46,LCOR-432,1,1,2,3,4,4
11,46,LCOR-025,2,1,2,3,4,3
12,46,LCOR-538,1,1,2,3,4,3
13,46,LCOR-102,1,1,2,3,4,4
14,46,LCOR-155,1,1,2,3,4,4
15,46,LCOR-490,1,1,2,1,3,4
16,46,LCOR-1255,,,,,,
1,47,LCOR-1079,,,,,,
2,47,LCOR-374,1,1,3,3,4,4
3,47,LCOR-521,3,2,4,3,4,4
4,47,LCOR-232,2,1,3,3,4,4
5,47,LCOR-315,2,1,2,3,4,4
6,47,LCOR-419,1,1,2,2,3,3
7,47,LCOR-365,1,1,2,2,3,3
8,47,LCOR-480,1,1,3,2,4,4
9,47,LCOR-433,1,1,2,2,4,4
10,47,LCOR-453,1,1,2,2,4,3
11,47,LCOR-223,1,1,1,1,3,3
12,47,LCOR-359,,,,,,
13,47,LCOR-216,1,1,2,2,4,3
14,47,LCOR-159,1,1,2,2,4,4
15,47,LCOR-426,1,1,2,2,4,4
16,47,LCOR-1068,,,,,,
1,48,LCOR-1083,,,,,,
2,48,LCOR-113,1,1,2,3,4,4
3,48,LCOR-505,2,1,3,3,4,4
4,48,LCOR-153,2,1,2,3,4,4
5,48,LCOR-336,1,1,2,2,4,4
6,48,LCOR-412,1,1,2,1,3,3
7,48,LCOR-509,1,1,2,1,3,3
8,48,LCOR-549,1,1,2,2,4,3
9,48,LCOR-466,1,1,1,1,3,3
10,48,LCOR-547,1,1,1,1,3,3
11,48,LCOR-598,1,1,1,1,3,2
12,48,LCOR-464,1,1,2,2,4,3
13,48,LCOR-555,1,1,1,1,2,2
14,48,LCOR-189,1,1,2,2,4,4
15,48,LCOR-447,1,1,2,1,4,3
16,48,LCOR-1170,,,,,,
1,49,LCOR-1113,,,,,,
2,49,LCOR-1172,,,,,,
3,49,LCOR-270,1,1,2,2,4,4
4,49,LCOR-114,1,1,1,1,3,4
5,49,LCOR-591,1,1,2,2,4,4
6,49,LCOR-029,1,1,3,3,4,4
7,49,LCOR-056,1,1,2,1,4,4
8,49,LCOR-578,1,1,2,1,3,3
9,49,LCOR-586,1,1,2,1,2,3
10,49,LCOR-531,1,1,2,2,4,3
11,49,LCOR-477,1,1,2,2,4,4
12,49,LCOR-460,1,1,2,2,4,4
13,49,LCOR-615,1,1,2,2,4,4
14,49,LCOR-602,1,1,2,2,4,3
15,49,LCOR-456,1,1,2,3,4,4
16,49,LCOR-1174,,,,,,
1,50,LCOR-1126,,,,,,
2,50,LCOR-500,1,1,2,2,3,4
3,50,LCOR-119,1,1,1,1,3,3
4,50,LCOR-375,1,1,2,1,3,4
5,50,LCOR-208,1,1,2,2,4,4
6,50,LCOR-457,1,1,2,2,4,4
7,50,LCOR-440,1,1,2,1,3,3
8,50,LCOR-501,1,1,2,1,3,4
9,50,LCOR-118,1,1,2,1,3,3
10,50,LCOR-262,1,1,2,2,4,3
11,50,LCOR-172,2,2,3,4,4,4
12,50,LCOR-081,1,1,2,2,4,4
13,50,LCOR-210,1,1,2,2,4,3
14,50,LCOR-417,1,1,2,2,3,3
15,50,LCOR-390,1,1,3,3,4,4
16,50,LCOR-1196,,,,,,
1,51,LCOR-1019,,,,,,
2,51,LCOR-1256,,,,,,
3,51,LCOR-1167,,,,,,
4,51,LCOR-219,1,1,2,2,4,4
5,51,LCOR-532,2,1,3,3,4,4
6,51,LCOR-431,1,1,2,2,4,4
7,51,LCOR-479,1,1,2,2,3,3
8,51,LCOR-1030,,,,,,
9,51,LCOR-108,1,1,2,2,4,4
10,51,LCOR-312,1,1,2,2,3,4
11,51,LCOR-225,1,1,2,2,3,4
12,51,LCOR-329,1,1,2,2,4,3
13,51,LCOR-478,1,1,2,1,4,3
14,51,LCOR-567,1,1,2,2,4,4
15,51,LCOR-413,1,1,1,1,3,2
16,51,LCOR-1205,,,,,,
1,52,LCOR-1041,,,,,,
2,52,LCOR-1218,,,,,,
3,52,LCOR-389,1,1,2,2,4,3
4,52,LCOR-246,1,1,2,2,4,4
5,52,LCOR-1050,,,,,,
6,52,LCOR-430,1,1,2,2,4,3
7,52,LCOR-465,0,1,1,1,3,3
8,52,LCOR-1117,,,,,,
9,52,LCOR-183,1,1,2,2,4,4
10,52,LCOR-1096,,,,,,
11,52,LCOR-317,1,1,1,1,3,3
12,52,LCOR-215,1,1,2,2,3,4
13,52,LCOR-187,1,1,2,3,4,4
14,52,LCOR-1220,,,,,,
15,52,LCOR-576,1,1,2,2,4,4
16,52,LCOR-1243,,,,,,
1,53,LCOR-1065,,,,,,
2,53,LCOR-1230,,,,,,
3,53,LCOR-288,1,1,2,2,4,3
4,53,LCOR-407,1,1,1,1,3,3
5,53,LCOR-580,1,1,2,1,3,3
6,53,LCOR-566,1,1,2,2,4,3
7,53,LCOR-097,1,1,2,2,3,3
8,53,LCOR-1194,,,,,,
9,53,LCOR-592,1,1,2,1,3,3
10,53,LCOR-451,1,1,2,2,4,3
