"","row","column","ID","event","event_short","construct","construct2","block","H49","H144","H299","H335","H357","H385","H421","H497","D49","D144","D299","D335","D357","D385","D421","D497"
"1",3,3,"LCOR-064","LC-102 2H","2H","LC-102","transgenic","large",812.8000001,823.5,856.488,1139.952,1463.04,1889.76,2712.72,2712.72,4.826,6,6,8.5,10,12,17,17
"2",4,3,"LCOR-173","LC-102 1C","1C","LC-102","transgenic","large",736.6000001,736.6000001,743.712,960.12,1219.2,1508.76,2164.08,2225.04,4.318,5,5,7.5,10,10,14,14
"3",5,3,"LCOR-104","LC-102 16-20","16-20","Escape","control","large",876.3,1037,1063.752,1371.6,1767.84,2225.04,2804.16,2926.08,7.874,9,10,10.3,16,17,19,19
"4",6,3,"LCOR-552","LC-102 7","7","LC-102","transgenic","large",1066.8,1113.25,1130.808,1463.04,1828.8,2286,2895.6,3048,6.604,7,8,10.1,13,15,20,20
"5",7,3,"LCOR-395","LC-102 1C","1C","LC-102","transgenic","large",876.3,945.5,963.168,1219.2,1539.24,1950.72,2438.4,2529.84,8.636,9,9,10.2,13,15,17.5,17.5
"6",8,3,"LCOR-228","LC-102 4A","4A","LC-102","transgenic","large",1193.8,1250.5,1280.16,1563.624,1859.28,2255.52,2819.4,2895.6,8.128,9,9,11.9,14,15,20,20
"7",9,3,"LCOR-362","LC-102 1","1","LC-102","transgenic","large",762,884.5,954.024,1347.216,1737.36,2194.56,2910.84,2910.84,6.096,8,8,10.9,14,15,19,19
"8",10,3,"LCOR-259","LC-102 4B","4B","LC-102","transgenic","large",1168.4,1403,1463.04,1889.76,2194.56,2636.52,3322.32,3352.8,9.398,11,11,14,17,19,23.5,23.5
"9",11,3,"LCOR-258","LC-102 4B","4B","LC-102","transgenic","large",1371.6,1586,1615.44,1615.44,2133.6,2651.76,3246.12,3246.12,9.398,11,11,14.1,16,19,21.5,21.5
"10",12,3,"LCOR-188","LC-102 13-15B","13-15B","LC-102","transgenic","large",863.5999999,915,915,1005.84,1005.84,1097.28,1554.48,1615.44,5.842,7,7,7.9,8,8,10,10
"11",13,3,"LCOR-294","LC-102 8-9D","8-9D","Escape","control","large",1181.1,1181.1,1181.1,1255.776,1341.12,1630.68,2103.12,2103.12,7.366,8,8,8,9,10,14,14
