Name,,,,,,
Date,,,,,,
dbh in mm @ 6in,,,,,,
height in feet (incremented in tenths),,,,,,
,,,,,,
row,column,ID,DBH,Height,Comments,Updated Growth 5/9
4,11,LCOR-386,24.5,11.9,,
5,11,LCOR-028,25.5,11.2,,
6,11,LCOR-527,31,14.55,,
7,11,LCOR-141,25.8,12.6,,12.81
8,11,LCOR-150,27.5,13.35,,13.45
9,11,LCOR-233,26.9,12.15,,
10,11,LCOR-161,22,11.5,,
11,11,LCOR-019,20,9.8,,
12,11,LCOR-360,24.1,11.81,,
13,11,LCOR-289,24.5,10.95,,
14,11,LCOR-040,18.1,9.65,,
15,11,LCOR-324,20.1,9.5,,
16,11,LCOR-1139,,,,
1,12,LCOR-1009,,,,
2,12,LCOR-180,24.5,11.11,,
3,12,LCOR-403,26.1,12.21,,
4,12,LCOR-364,23.5,11.85,,
5,12,LCOR-277,28,12.81,,
6,12,LCOR-115,27,12.77,,12.78
7,12,LCOR-111,28.1,12.49,,
8,12,LCOR-303,22.5,11.51,,
9,12,LCOR-588,20.8,11.1,,
10,12,LCOR-561,25,12.2,,
11,12,LCOR-035,24.1,12.43,,
12,12,LCOR-241,25.5,12.25,,
13,12,LCOR-218,24,11,,
14,12,LCOR-002,15.9,8.5,,
15,12,LCOR-026,26.1,12.61,,
16,12,LCOR-1201,,,,
1,13,LCOR-1010,,,,
2,13,LCOR-066,20.4,9.25,,
3,13,LCOR-423,19.5,10.37,,
4,13,LCOR-200,23,11.63,,
5,13,LCOR-332,23.5,11.67,,
6,13,LCOR-137,22.5,11.51,,
7,13,LCOR-338,27.6,12.1,,
8,13,LCOR-544,20.6,9.5,,
9,13,LCOR-320,25.6,11.83,,
10,13,LCOR-077,28.1,13.32,,
11,13,LCOR-593,25.5,13.22,,
12,13,LCOR-088,22.8,12.05,,
13,13,LCOR-030,25.5,13.22,,13.46
14,13,LCOR-156,25,12.15,,12.25
15,13,LCOR-051,20.9,11.09,,
16,13,LCOR-1203,,,,
1,14,LCOR-1011,,,,
2,14,LCOR-060,20.5,10.09,,
3,14,LCOR-604,32.1,13.8,,
4,14,LCOR-368,21.5,11.22,,
5,14,LCOR-046,27,13.36,,
6,14,LCOR-031,24.9,11.68,,
7,14,LCOR-347,24,11.85,,
8,14,LCOR-176,24,10.87,,
9,14,LCOR-269,28,12.91,,
10,14,LCOR-147,27.1,12.51,,
11,14,LCOR-257,26.1,12.81,,12.93
12,14,LCOR-256,28.2,13.05,,
13,14,LCOR-014,28.1,13.55,,
14,14,LCOR-091,29.5,13.42,,13.62
