row,column,ID,Caliper,DBH,Height
10,24,LCOR-546,36.26,27.39,15.6
11,24,LCOR-212,34.07,25.69,15.4
12,24,LCOR-404,34.86,25.52,14.9
13,24,LCOR-084,42.26,32.54,16.9
14,24,LCOR-309,33.86,25.55,15.7
15,24,LCOR-318,31.84,22.08,13.6
1,25,LCOR-214,33,21.28,14.2
2,25,LCOR-192,28.38,21.27,13.4
3,25,LCOR-130,22.45,16.77,11.8
4,25,LCOR-606,26.53,11.96,10.3
5,25,LCOR-022,34.77,26.77,14.7
6,25,LCOR-434,38.62,29.99,16.7
7,25,LCOR-160,39.25,30.5,18.1
8,25,LCOR-199,29.46,20.66,12.1
9,25,LCOR-506,30.15,22.61,13.9
10,25,LCOR-049,32.13,25.26,15.4
11,25,LCOR-065,35.16,27.94,14.6
12,25,LCOR-055,38.4,29.95,17.7
13,25,LCOR-448,33.7,23.79,14.5
14,25,LCOR-379,40.77,31.71,18.4
15,25,LCOR-301,33.77,24.42,15.5
1,26,LCOR-462,31.85,20.27,12.9
2,26,LCOR-293,44.03,32.27,16.8
3,26,LCOR-605,25.43,15.74,11.4
4,26,LCOR-170,37.81,28.43,16.7
5,26,LCOR-487,31.66,26,14.5
6,26,LCOR-278,28.9,21.59,13.6
7,26,LCOR-613,31.53,21.2,13.5
8,26,LCOR-300,27.26,18.07,11.9
9,26,LCOR-341,25.29,12.2,9.9
10,26,LCOR-095,17.03,10.57,8.8
11,26,LCOR-361,29.42,20.73,13.6
12,26,LCOR-387,24.49,17.07,12.8
13,26,LCOR-356,31.53,22.59,14
14,26,LCOR-484,33.19,23.7,14.9
15,26,LCOR-508,36.57,23.41,15.4
1,27,LCOR-533,33.76,22.23,14.2
2,27,LCOR-441,43,30.72,15.9
4,27,LCOR-399,38.77,28.09,16.5
7,27,LCOR-197,21.36,12.61,9.8
8,27,LCOR-373,15.78,11.87,10.1
9,27,LCOR-206,22.09,9.63,10
10,27,LCOR-322,35.08,22.58,14.5
11,27,LCOR-048,26.38,20.29,13.4
12,27,LCOR-175,38.27,27.75,13.2
13,27,LCOR-295,31.13,22.54,14
14,27,LCOR-388,30.48,23.02,15
15,27,LCOR-429,31.72,23.58,14.6
1,28,LCOR-537,24.7,17.14,11.4
2,28,LCOR-276,22.7,14.49,10.7
3,28,LCOR-086,20.4,11.45,8.8
4,28,LCOR-425,29.28,21.28,13.9
6,28,LCOR-227,26.6,17.91,12.6
8,28,LCOR-128,24.18,17.97,12.4
9,28,LCOR-551,33.68,23.88,15
10,28,LCOR-337,32.76,23.06,14.3
11,28,LCOR-096,31.42,21.13,13.5
12,28,LCOR-405,35.24,25.39,15.9
