SYS,SYS,SYS,SYS,USERDEF,USERDEF,SYS,USERDEF,USERDEF,FLUORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Time,Date,configName,configAuthor,remark,,Obs#,,ID,Fv/Fm,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,pitch,roll,heading,angle_inc_leaf,direct_pct,slope_leaf,az_leaf,dec_solar,az_solar,zenith_solar,gps_time,gps_date,latitude,longitude,altitude,gps_sats,gps_HDOP,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
HHMMSS,YYYYMMDD,,,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,,,,,,,,,umol+1m-2s-1,%,%,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,,,,,,,,,,,,,,,,,,HHMMSS,YYYYMMDD,%,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,umol+1m-2s-1,Hz,s-1,s,ms,ms,ms,,%,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
3:57:26,8/2/23,Night sampling,CH,,,9,,LCOR-165,0.781363,4.945118,2.919946,1.835901,3.784965,1.367977,1.261491,1.573213,0.205236,12.487475,13.541578,15.573205,0.441786,PSF-00281_20230802035726,72.93856,333.605652,0,0,0,0.5,0.8,0.017149,66.56,61.38,17.88,13.7,101.02,156.5,157.6,-0.7,0,4.111,-30,165,140,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,3:50:28,8/2/23,-0.46,0.458,0.855,1.837,-0.072,0.274,0.456,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.505088,2.537845,1.658847,0.934702,0.362893,-0.04196,0.116638,0.106567,72.93856,0.000867,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230802035726,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2022-09-01T17:42:39.413Z
3:57:38,8/2/23,Night sampling,CH,,,10,,LCOR-165,0.766667,4.0066,2.91743,1.688175,3.347504,1.351116,1.256746,1.548533,0.197417,12.441949,13.376228,15.33068,0.441786,PSF-00281_20230802035738,79.982399,342.781677,0,0,0,0.5,0.8,0.065772,66.04,61.43,17.8,13.46,101.01,156.2,158.3,-1.4,0,4.11,-56,-150,104,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,3:50:28,8/2/23,-0.46,0.347,0.778,1.728,-0.087,0.056,0.7,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.505164,2.537198,1.656171,0.936548,0.363962,-0.043641,0.117804,0.106715,79.982399,0.000877,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230802035738,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2022-09-01T17:42:39.413Z
3:58:11,8/2/23,Night sampling,CH,,,11,,LCOR-209,0.76743,1.541986,2.918122,1.008878,2.939377,1.333465,1.250629,1.623451,0.289986,12.381241,13.201311,16.072178,0.441786,PSF-00281_20230802035811,89.03968,382.850647,0,0,0,0.5,0.8,0.090984,65.96,61.86,17.61,14.18,101.01,156.3,158.2,-1.3,0,4.086,-27,-139,245,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,3:50:28,8/2/23,-0.46,-0.194,-0.479,-0.935,-0.332,-0.896,0.199,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.50573,2.537119,1.656905,0.936396,0.366735,-0.034291,0.12115,0.106792,88.453888,0.000839,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230802035811,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2022-09-01T17:42:39.413Z
3:58:29,8/2/23,Night sampling,CH,,,12,,LCOR-209,0.712129,1.457237,2.920269,0.972134,2.582115,1.330209,1.25757,1.594595,0.264386,12.451124,13.170323,15.787994,0.441786,PSF-00281_20230802035829,68.986061,239.642502,0,0,0,0.5,0.8,0.036882,66.22,62.6,17.51,13.91,101,156.5,158.1,-1,0,4.109,-36,145,132,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,3:50:28,8/2/23,-0.46,-0.121,-0.211,-0.166,-0.099,0.212,0.576,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.506657,2.537457,1.659192,0.93597,0.36821,-0.036046,0.122933,0.106636,68.986061,0.000858,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230802035829,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2022-09-01T17:42:39.413Z
3:58:45,8/2/23,Night sampling,CH,,,13,,LCOR-209,0.73595,0.683917,2.918775,0.554085,1.72817,1.323168,1.274493,1.633559,0.310392,12.619239,13.101191,16.174496,0.441786,PSF-00281_20230802035845,83.415627,315.908783,0,0,0,0.5,0.8,0.034153,66.23,63.79,17.43,14.28,101,156.3,157.8,-1,0,4.109,-44,132,49,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,3:50:28,8/2/23,-0.46,-0.162,-0.382,-0.725,-0.264,-0.047,0.025,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.50814,2.537484,1.657599,0.93533,0.369498,-0.03135,0.124565,0.106624,83.415627,0.000862,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230802035845,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2022-09-01T17:42:39.413Z
3:59:05,8/2/23,Night sampling,CH,,,14,,LCOR-209,0.763499,4.575222,2.91921,1.782128,3.304098,1.361206,1.268206,1.545772,0.184565,12.556213,13.47699,15.304328,0.441786,PSF-00281_20230802035905,75.13797,317.706238,0,0,0,0.5,0.8,0.016404,68.58,63.89,17.32,13.43,101,156.4,157.9,-1,0,4.108,-42,-154,29,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,3:50:28,8/2/23,-0.46,0.506,0.994,1.931,0.07,0.096,-0.104,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.508282,2.54048,1.658063,0.935617,0.371038,-0.038881,0.126669,0.106566,75.13797,0.000864,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230802035905,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2022-09-01T17:42:39.413Z
3:59:49,8/2/23,Night sampling,CH,,,15,,LCOR-514,0.815392,3.354403,2.920543,1.561237,2.898396,1.365526,1.284036,1.550324,0.184798,12.713194,13.520026,15.349703,0.441786,PSF-00281_20230802035949,87.493301,473.941315,0,0,0,0.5,0.8,0.018648,69.7,65.54,17.12,13.47,101,156.6,150.2,4,0,4.106,-38,174,203,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,3:50:28,8/2/23,-0.46,0.199,0.407,0.966,0.045,0.1,0.177,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.510341,2.541928,1.659483,0.916072,0.37414,-0.036253,0.131119,0.106569,87.493301,0.000868,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230802035949,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2022-09-01T17:42:39.413Z
4:00:03,8/2/23,Night sampling,CH,,,16,,LCOR-514,0.813705,1.224282,2.919291,0.862549,2.132785,1.346171,1.286139,1.59226,0.246089,12.734871,13.329282,15.765964,0.441786,PSF-00281_20230802040003,82.386375,442.23584,0,0,0,0.5,0.8,0.037887,69.02,65.95,17.05,13.88,100.99,156.4,158,-1,0,4.107,-62,171,324,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,3:50:28,8/2/23,-0.46,-0.169,-0.28,-0.205,0.217,-0.074,0.408,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.510848,2.541083,1.658149,0.935803,0.375214,-0.031351,0.132626,0.106624,82.386375,0.000854,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230802040003,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2022-09-01T17:42:39.413Z
4:00:25,8/2/23,Night sampling,CH,,,17,,,0.801839,7.402765,2.918455,2.093225,3.800031,1.364166,1.257145,1.544888,0.180721,12.446513,13.506096,15.295348,0.441786,PSF-00281_20230802040025,65.199493,329.022644,0,0,0,0.5,0.8,0.129108,70.34,64.82,16.96,13.42,101,156.3,158.3,-1.3,0,4.105,-64,178,342,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,3:50:28,8/2/23,-0.46,0.497,0.994,2.483,0.095,0.347,0.322,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.509484,2.542755,1.65726,0.93657,0.376554,-0.03512,0.134811,0.10689,65.199493,0.000865,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230802040025,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2022-09-01T17:42:39.413Z
4:01:30,8/2/23,Night sampling,CH,,,18,,LCOR-319,0.779135,5.050333,2.918803,1.849752,3.576731,1.345325,1.244584,1.537873,0.192548,12.320143,13.317379,15.223413,0.441786,PSF-00281_20230802040130,85.276726,386.103638,0,0,0,0.5,0.8,0.019497,70.39,65.12,16.73,13.35,101.02,156.3,158.3,-1.3,0,4.105,-56,165,91,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,4:01:21,8/2/23,-0.9,-0.028,0.218,1.162,-0.095,0.124,-0.422,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.509892,2.543406,1.657629,0.936664,0.38008,-0.033398,0.141424,0.106574,85.276726,0.00086,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20230802040130,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2022-09-01T17:42:39.413Z
