row,column,ID,SPAD1,SPAD2,SPAD3,SPADavg
12,15,LCOR-154,40.8,43.8,46.9,43.83333333
13,15,LCOR-562,40.5,43.4,47.4,43.76666667
14,15,LCOR-334,43,47.3,41.2,43.83333333
15,15,LCOR-393,46.7,46,43.7,45.46666667
16,15,LCOR-1070,,,,#DIV/0!
1,16,LCOR-442,48.5,47.5,46.3,47.43333333
2,16,LCOR-247,43.6,40,46.6,43.4
3,16,LCOR-611,45.3,38.6,44.1,42.66666667
4,16,LCOR-327,41.5,36.9,37.9,38.76666667
5,16,LCOR-528,44.7,44,41.8,43.5
6,16,LCOR-072,39.5,37.4,37.8,38.23333333
7,16,LCOR-610,46.5,38.4,40.1,41.66666667
8,16,LCOR-516,41.8,45.5,45.1,44.13333333
9,16,LCOR-280,45.3,40,42.6,42.63333333
10,16,LCOR-033,41.5,47.5,42.1,43.7
11,16,LCOR-331,44.6,47.7,46.2,46.16666667
12,16,LCOR-372,46.4,39.7,44.7,43.6
13,16,LCOR-105,45.3,45.3,47.6,46.06666667
14,16,LCOR-352,49,46.5,40.9,45.46666667
15,16,LCOR-614,47.4,46.9,44.7,46.33333333
16,16,LCOR-1035,,,,#DIV/0!
1,17,LCOR-376,47,43.3,46.2,45.5
2,17,LCOR-016,42.2,41.5,43.1,42.26666667
3,17,LCOR-132,42.3,38.6,44.8,41.9
4,17,LCOR-574,46,42.8,44.6,44.46666667
5,17,LCOR-079,40.2,47.7,39.9,42.6
6,17,LCOR-458,42.2,40.9,42.4,41.83333333
7,17,LCOR-411,40.7,42.8,41,41.5
8,17,LCOR-394,44.5,38.4,44.6,42.5
9,17,LCOR-275,42.4,39.6,46.6,42.86666667
10,17,LCOR-601,42.3,40.9,43.5,42.23333333
11,17,LCOR-252,43.2,41.1,44.1,42.8
12,17,LCOR-134,40.2,43.6,43.2,42.33333333
13,17,LCOR-502,45.6,44.4,41.3,43.76666667
14,17,LCOR-481,41,44,43.3,42.76666667
15,17,LCOR-271,48.2,49.9,43.9,47.33333333
16,17,LCOR-1062,,,,#DIV/0!
1,18,LCOR-377,49.9,45.3,43.9,46.36666667
2,18,LCOR-058,47.2,44.3,45.9,45.8
3,18,LCOR-052,40.9,40,40.6,40.5
4,18,LCOR-475,46.3,47.9,41.3,45.16666667
5,18,LCOR-085,39.6,44.6,41.5,41.9
6,18,LCOR-351,49,43.5,47.2,46.56666667
7,18,LCOR-053,,,,#DIV/0!
8,18,LCOR-302,,,,#DIV/0!
9,18,LCOR-1069,,,,#DIV/0!
10,18,LCOR-306,37.3,42.6,40.2,40.03333333
11,18,LCOR-392,44.1,40.8,41.9,42.26666667
12,18,LCOR-243,40.9,44.6,49.9,45.13333333
13,18,LCOR-572,49.6,41.3,42,44.3
14,18,LCOR-463,49.9,48.5,44.1,47.5
15,18,LCOR-260,40.4,44.5,47,43.96666667
16,18,LCOR-1077,,,,#DIV/0!
1,19,LCOR-548,44.2,42.5,38.6,41.76666667
2,19,LCOR-057,,,,#DIV/0!
3,19,LCOR-406,38.3,37.1,40.2,38.53333333
4,19,LCOR-089,47.6,46,44.9,46.16666667
5,19,LCOR-491,41.3,44.6,44.8,43.56666667
6,19,LCOR-121,44.9,45.7,49.5,46.7
7,19,LCOR-585,38.6,41,41,40.2
8,19,LCOR-554,41.2,41.7,45.6,42.83333333
9,19,LCOR-152,40.3,45,41.8,42.36666667
10,19,LCOR-558,42.3,41.8,44.6,42.9
11,19,LCOR-138,42,47.8,49.8,46.53333333
12,19,LCOR-383,47.4,38.9,44.3,43.53333333
13,19,LCOR-568,47,44.6,45.4,45.66666667
14,19,LCOR-080,46.8,44.1,39.3,43.4
15,19,LCOR-391,38.4,41,44.2,41.2
16,19,LCOR-1086,,,,#DIV/0!
1,20,LCOR-553,45.1,43.9,39.5,42.83333333
2,20,LCOR-162,47.3,44.3,46.9,46.16666667
3,20,LCOR-242,38.4,45.9,41.9,42.06666667
4,20,LCOR-330,44,42.6,41.7,42.76666667
5,20,LCOR-166,44.7,41,46.4,44.03333333
6,20,LCOR-512,48.5,43.8,44.9,45.73333333
7,20,LCOR-059,36.2,41.1,38.6,38.63333333
8,20,LCOR-101,43.1,46,42.6,43.9
9,20,LCOR-067,42,48.3,45.3,45.2
10,20,LCOR-1100,,,,#DIV/0!
11,20,LCOR-103,40.5,44,38.3,40.93333333
12,20,LCOR-230,41.4,45.5,40.8,42.56666667
13,20,LCOR-534,48.5,47.9,49.3,48.56666667
14,20,LCOR-261,45.1,45.8,43.4,44.76666667
15,20,LCOR-493,44.1,47.9,42.2,44.73333333
16,20,LCOR-1087,,,,#DIV/0!
1,21,LCOR-468,41.5,39.8,44.1,41.8
2,21,LCOR-098,42.2,44.1,47.7,44.66666667
3,21,LCOR-482,42.8,46.7,43.7,44.4
4,21,LCOR-350,46.4,42.1,45.6,44.7
5,21,LCOR-129,43.9,44.7,44.7,44.43333333
6,21,LCOR-012,44.4,45.4,46.9,45.56666667
7,21,LCOR-248,42.7,44.7,47.2,44.86666667
8,21,LCOR-476,37.2,37.5,39.3,38
9,21,LCOR-584,46.4,44.5,42.5,44.46666667
10,21,LCOR-518,45.1,44,43.9,44.33333333
11,21,LCOR-450,47.3,45.7,44.8,45.93333333
12,21,LCOR-017,45.6,42.4,47.8,45.26666667
13,21,LCOR-495,42.4,45.1,42.6,43.36666667
14,21,LCOR-144,49.6,49.4,47.6,48.86666667
15,21,LCOR-204,42.5,39.3,45.6,42.46666667
16,21,LCOR-1142,,,,#DIV/0!
1,22,LCOR-470,44.2,45.9,43.8,44.63333333
2,22,LCOR-616,47.2,45,41.3,44.5
3,22,LCOR-245,45.6,45.3,47.7,46.2
4,22,LCOR-165,48.8,45.6,47.2,47.2
5,22,LCOR-209,49.8,41.9,45.6,45.76666667
6,22,LCOR-340,41.9,45.3,45.2,44.13333333
7,22,LCOR-326,45,48.5,45.4,46.3
8,22,LCOR-149,45.4,49.1,45.2,46.56666667
9,22,LCOR-1015,,,,#DIV/0!
10,22,LCOR-169,49.2,48.2,45.4,47.6
11,22,LCOR-063,43.6,43.4,44.1,43.7
12,22,LCOR-483,49.6,46.9,50.6,49.03333333
13,22,LCOR-514,42.2,51.2,38.8,44.06666667
14,22,LCOR-266,38.3,42,46.4,42.23333333
15,22,LCOR-122,44.4,39.3,48,43.9
16,22,LCOR-1148,,,,#DIV/0!
1,23,LCOR-485,46.8,49.5,46.9,47.73333333
2,23,LCOR-398,47.6,43.9,43.7,45.06666667
3,23,LCOR-171,41,46.1,45.2,44.1
4,23,LCOR-422,43.3,46.6,47.5,45.8
5,23,LCOR-319,49.9,40.9,43.8,44.86666667
6,23,LCOR-106,46,48.1,46.8,46.96666667
7,23,LCOR-445,,,,#DIV/0!
8,23,LCOR-401,40.9,46.6,40.1,42.53333333
9,23,LCOR-291,44.7,38.5,46.7,43.3
10,23,LCOR-207,45.8,43.3,41.6,43.56666667
11,23,LCOR-090,44.5,41.3,45.5,43.76666667
12,23,LCOR-015,46.8,45.1,48.2,46.7
13,23,LCOR-202,46.3,45.1,48.2,46.53333333
14,23,LCOR-290,48,43.6,42.7,44.76666667
15,23,LCOR-333,38.5,48.9,43.5,43.63333333
16,23,LCOR-1155,,,,#DIV/0!
1,24,LCOR-489,43.2,47.7,40.6,43.83333333
2,24,LCOR-178,41.2,44.1,46.3,43.86666667
3,24,LCOR-367,42.5,41.5,44.2,42.73333333
4,24,LCOR-608,46.1,49.2,47.3,47.53333333
5,24,LCOR-229,45,45.9,44.6,45.16666667
6,24,LCOR-503,47.6,45.5,47.7,46.93333333
7,24,LCOR-339,45.4,48.3,46.7,46.8
8,24,LCOR-348,41.4,43.2,41.5,42.03333333
9,24,LCOR-182,46.1,46.5,47.4,46.66666667
10,24,LCOR-546,47.7,46.5,48,47.4
11,24,LCOR-212,49.4,46.4,43.6,46.46666667
12,24,LCOR-404,44.8,46.7,45.7,45.73333333
13,24,LCOR-084,42.7,45.5,45,44.4
14,24,LCOR-309,44.9,44.6,44.5,44.66666667
15,24,LCOR-318,46.7,48.8,50,48.5
16,24,LCOR-1162,,,,#DIV/0!
1,25,LCOR-214,45.9,48.1,44.1,46.03333333
2,25,LCOR-192,41.8,39.4,48,43.06666667
3,25,LCOR-130,44.5,49.2,45.9,46.53333333
4,25,LCOR-606,40.9,43.9,44.6,43.13333333
5,25,LCOR-022,43.5,47.1,45.4,45.33333333
6,25,LCOR-434,44,40.8,45.4,43.4
7,25,LCOR-160,44.7,43.7,42.5,43.63333333
8,25,LCOR-199,41.6,46.8,45.3,44.56666667
9,25,LCOR-506,44.1,46.7,46.1,45.63333333
10,25,LCOR-049,43.7,45.9,46.4,45.33333333
11,25,LCOR-065,47.1,49.2,48.5,48.26666667
12,25,LCOR-055,43.6,42.5,51.1,45.73333333
13,25,LCOR-448,45.4,47.2,48.9,47.16666667
14,25,LCOR-379,42.4,41.5,44.1,42.66666667
15,25,LCOR-301,44.4,41,46.6,44
16,25,LCOR-1180,,,,#DIV/0!
1,26,LCOR-462,46,48.3,47.4,47.23333333
2,26,LCOR-293,44.6,40.8,42.5,42.63333333
3,26,LCOR-605,48,48.6,46.2,47.6
4,26,LCOR-170,46.8,48.3,46.2,47.1
5,26,LCOR-487,49.5,47,47.9,48.13333333
6,26,LCOR-278,44.2,47,47.9,46.36666667
7,26,LCOR-613,43.5,43.7,46.7,44.63333333
8,26,LCOR-300,44.7,42.1,46.3,44.36666667
9,26,LCOR-341,44,43,42.6,43.2
10,26,LCOR-095,41.6,43.5,44.2,43.1
11,26,LCOR-361,45.2,44.6,45.9,45.23333333
12,26,LCOR-387,47.6,48,50,48.53333333
13,26,LCOR-356,48.5,49.8,44.3,47.53333333
14,26,LCOR-484,48.4,48.1,50,48.83333333
15,26,LCOR-508,42.5,44,46.6,44.36666667
16,26,LCOR-1178,,,,#DIV/0!
1,27,LCOR-533,43.3,49.9,47.4,46.86666667
2,27,LCOR-441,46.8,47.3,48.8,47.63333333
3,27,LCOR-126,41.8,46.3,48.6,45.56666667
4,27,LCOR-399,51.5,43.4,43.4,46.1
5,27,LCOR-323,44.5,40.1,39.2,41.26666667
6,27,LCOR-061,43.5,40.7,38.3,40.83333333
7,27,LCOR-197,45,46.2,47.4,46.2
8,27,LCOR-373,41.4,47.4,44.7,44.5
9,27,LCOR-206,45.3,41.2,43.1,43.2
10,27,LCOR-322,42.9,41.8,45.1,43.26666667
11,27,LCOR-048,43.8,45.3,48.2,45.76666667
12,27,LCOR-175,42.1,43.7,43.8,43.2
13,27,LCOR-295,46.7,44.1,47.1,45.96666667
14,27,LCOR-388,41.1,45.5,42.8,43.13333333
15,27,LCOR-429,46.8,42.9,46.3,45.33333333
16,27,LCOR-1016,,,,#DIV/0!
1,28,LCOR-537,47.4,42.4,45.6,45.13333333
2,28,LCOR-276,46.9,48,39.8,44.9
3,28,LCOR-086,42.9,38.4,40.7,40.66666667
4,28,LCOR-425,42.1,40,41,41.03333333
5,28,LCOR-596,44.8,41.8,41.1,42.56666667
6,28,LCOR-227,43.4,47.1,49.1,46.53333333
7,28,LCOR-335,47.2,43.9,47.3,46.13333333
8,28,LCOR-128,46.4,44.6,46.1,45.7
9,28,LCOR-551,42.2,45.2,46.8,44.73333333
10,28,LCOR-337,42.2,44.4,44.9,43.83333333
11,28,LCOR-096,44.1,44.4,44.9,44.46666667
12,28,LCOR-405,44.1,47.4,42.2,44.56666667
13,28,LCOR-559,44.9,49,44.1,46
14,28,LCOR-1018,,,,#DIV/0!
15,28,LCOR-083,44,45.4,41.4,43.6
16,28,LCOR-1020,,,,#DIV/0!
1,29,LCOR-024,39.9,38.4,37,38.43333333
2,29,LCOR-557,45.3,42.3,44.3,43.96666667
3,29,LCOR-297,48.5,44.7,47.8,47
4,29,LCOR-381,46.7,45.7,47.4,46.6
5,29,LCOR-382,44.5,52.8,43.1,46.8
6,29,LCOR-185,47.7,42.8,40.4,43.63333333
7,29,LCOR-044,46.7,44.2,44.8,45.23333333
8,29,LCOR-600,46,42.6,41,43.2
9,29,LCOR-127,46.7,48.7,46.3,47.23333333
10,29,LCOR-1048,,,,#DIV/0!
11,29,LCOR-1054,,,,#DIV/0!
12,29,LCOR-1049,,,,#DIV/0!
13,29,LCOR-1103,,,,#DIV/0!
14,29,LCOR-1122,,,,#DIV/0!
15,29,LCOR-1124,,,,#DIV/0!
16,29,LCOR-1134,,,,#DIV/0!
1,30,LCOR-424,,,,#DIV/0!
2,30,LCOR-1025,,,,#DIV/0!
3,30,LCOR-583,,,,#DIV/0!
4,30,LCOR-093,,,,#DIV/0!
5,30,LCOR-281,,,,#DIV/0!
6,30,LCOR-1073,,,,#DIV/0!
7,30,LCOR-1082,,,,#DIV/0!
8,30,LCOR-1095,,,,#DIV/0!
9,30,LCOR-1244,,,,#DIV/0!
10,30,LCOR-1052,,,,#DIV/0!
11,30,LCOR-1202,,,,#DIV/0!
12,30,LCOR-1210,,,,#DIV/0!
13,30,LCOR-1154,,,,#DIV/0!
14,30,LCOR-1099,,,,#DIV/0!
15,30,LCOR-1140,,,,#DIV/0!
16,30,LCOR-1161,,,,#DIV/0!
1,44,LCOR-1028,,,,#DIV/0!
2,44,LCOR-1169,,,,#DIV/0!
3,44,LCOR-1245,,,,#DIV/0!
4,44,LCOR-1014,,,,#DIV/0!
5,44,LCOR-1034,,,,#DIV/0!
6,44,LCOR-1118,,,,#DIV/0!
7,44,LCOR-1129,,,,#DIV/0!
8,44,LCOR-1136,,,,#DIV/0!
9,44,LCOR-1151,,,,#DIV/0!
10,44,LCOR-1159,,,,#DIV/0!
11,44,LCOR-1160,,,,#DIV/0!
12,44,LCOR-1193,,,,#DIV/0!
13,44,LCOR-1249,,,,#DIV/0!
14,44,LCOR-1261,,,,#DIV/0!
15,44,LCOR-1237,,,,#DIV/0!
16,44,LCOR-1135,,,,#DIV/0!
1,45,LCOR-1039,,,,#DIV/0!
2,45,LCOR-599,30.3,32.1,30.2,30.86666667
3,45,LCOR-316,32.6,32.8,32.7,32.7
4,45,LCOR-100,31.6,34.5,37.7,34.6
5,45,LCOR-304,37.6,38.4,42,39.33333333
6,45,LCOR-494,37.7,38.3,38.4,38.13333333
7,45,LCOR-439,35.5,37.6,39.2,37.43333333
8,45,LCOR-378,46.5,41.3,42.3,43.36666667
9,45,LCOR-595,39.1,36.5,42.9,39.5
10,45,LCOR-1239,,,,#DIV/0!
11,45,LCOR-371,43.9,44.5,41.8,43.4
12,45,LCOR-234,44,43.1,46.4,44.5
13,45,LCOR-461,45.1,42.8,39.1,42.33333333
14,45,LCOR-519,46.5,48.3,47.1,47.3
15,45,LCOR-1226,,,,#DIV/0!
16,45,LCOR-1027,,,,#DIV/0!
1,46,LCOR-1042,,,,#DIV/0!
2,46,LCOR-112,35.2,38.3,36.3,36.6
3,46,LCOR-190,38.9,39.4,42.7,40.33333333
4,46,LCOR-313,34.1,35.1,34.9,34.7
5,46,LCOR-446,36.7,43.5,39.4,39.86666667
6,46,LCOR-032,42.2,39.4,41.5,41.03333333
7,46,LCOR-492,37.5,40.4,38,38.63333333
8,46,LCOR-311,39.9,38.9,40.3,39.7
9,46,LCOR-523,34.1,39.1,33,35.4
10,46,LCOR-432,43.1,44.7,43.1,43.63333333
11,46,LCOR-025,45.3,44.5,45.7,45.16666667
12,46,LCOR-538,41.2,40.9,39.6,40.56666667
13,46,LCOR-102,43.9,43.9,46.4,44.73333333
14,46,LCOR-155,42.8,41.9,44.1,42.93333333
15,46,LCOR-490,39.5,39.7,39.9,39.7
16,46,LCOR-1255,,,,#DIV/0!
1,47,LCOR-1079,,,,#DIV/0!
2,47,LCOR-374,42.3,43.5,44.6,43.46666667
3,47,LCOR-521,41.2,41.2,39.8,40.73333333
4,47,LCOR-232,44.9,43.2,43.4,43.83333333
5,47,LCOR-315,39.2,38.1,41.8,39.7
6,47,LCOR-419,40.1,39.1,42,40.4
7,47,LCOR-365,40,39.9,42.2,40.7
8,47,LCOR-480,41,43.1,41.5,41.86666667
9,47,LCOR-433,40.2,40.6,37.3,39.36666667
10,47,LCOR-453,39.6,41.7,43.3,41.53333333
11,47,LCOR-223,34.5,34.8,33.7,34.33333333
12,47,LCOR-359,,,,#DIV/0!
13,47,LCOR-216,35.5,35.4,34.5,35.13333333
14,47,LCOR-159,38.2,38.9,38.9,38.66666667
15,47,LCOR-426,38.3,36.7,39,38
16,47,LCOR-1068,,,,#DIV/0!
1,48,LCOR-1083,,,,#DIV/0!
2,48,LCOR-113,44.9,42.8,46.2,44.63333333
3,48,LCOR-505,40.9,44.3,42.8,42.66666667
4,48,LCOR-153,45.9,48.2,44.6,46.23333333
5,48,LCOR-336,43.1,40.9,42.1,42.03333333
6,48,LCOR-412,45.5,43.4,46.1,45
7,48,LCOR-509,39.2,41.2,39.8,40.06666667
8,48,LCOR-549,42.9,45.9,45.8,44.86666667
9,48,LCOR-466,38.3,34.7,33.8,35.6
10,48,LCOR-547,33.7,32.6,29.7,32
11,48,LCOR-598,41.4,42.3,43.6,42.43333333
12,48,LCOR-464,40.9,45.2,43.6,43.23333333
13,48,LCOR-555,39.3,37.5,32.6,36.46666667
14,48,LCOR-189,40.4,39.7,38.4,39.5
15,48,LCOR-447,35.8,35,35.3,35.36666667
16,48,LCOR-1170,,,,#DIV/0!
1,49,LCOR-1113,,,,#DIV/0!
2,49,LCOR-1172,,,,#DIV/0!
3,49,LCOR-270,38.9,43.1,42.9,41.63333333
4,49,LCOR-114,41.5,38.2,42.1,40.6
5,49,LCOR-591,42.9,48.6,45,45.5
6,49,LCOR-029,40.1,40.1,42.9,41.03333333
7,49,LCOR-056,34.6,38,33.4,35.33333333
8,49,LCOR-578,37.6,41,39.1,39.23333333
9,49,LCOR-586,37.7,39.8,38.3,38.6
10,49,LCOR-531,36.8,41.8,41.7,40.1
11,49,LCOR-477,36,35.9,35.5,35.8
12,49,LCOR-460,41.2,41.4,39.6,40.73333333
13,49,LCOR-615,40.2,43.3,43.6,42.36666667
14,49,LCOR-602,42.9,36.4,46.1,41.8
15,49,LCOR-456,42.3,43.4,40.9,42.2
16,49,LCOR-1174,,,,#DIV/0!
1,50,LCOR-1126,,,,#DIV/0!
2,50,LCOR-500,36.9,36.2,37.7,36.93333333
3,50,LCOR-119,38.8,42.7,48.5,43.33333333
4,50,LCOR-375,36.5,37.5,40.5,38.16666667
5,50,LCOR-208,42.6,44.5,43.9,43.66666667
6,50,LCOR-457,31.8,42.9,42.5,39.06666667
7,50,LCOR-440,39.5,41.6,42.2,41.1
8,50,LCOR-501,43.3,40.4,42.4,42.03333333
9,50,LCOR-118,36.9,35.8,35.5,36.06666667
10,50,LCOR-262,36.2,34.7,36,35.63333333
11,50,LCOR-172,44.6,40,42.8,42.46666667
12,50,LCOR-081,37.7,40.8,37.5,38.66666667
13,50,LCOR-210,40.5,39.4,39.5,39.8
14,50,LCOR-417,36.8,34.7,33.1,34.86666667
15,50,LCOR-390,39,35.5,39.3,37.93333333
16,50,LCOR-1196,,,,#DIV/0!
1,51,LCOR-1019,,,,#DIV/0!
2,51,LCOR-1256,,,,#DIV/0!
3,51,LCOR-1167,,,,#DIV/0!
4,51,LCOR-219,40.7,42.6,41.5,41.6
5,51,LCOR-532,43.4,44.2,44.4,44
6,51,LCOR-431,40.1,38.3,41.1,39.83333333
7,51,LCOR-479,39.9,42.3,41.4,41.2
8,51,LCOR-1030,,,,#DIV/0!
9,51,LCOR-108,39.8,40.7,41,40.5
10,51,LCOR-312,41.6,34.4,36.3,37.43333333
11,51,LCOR-225,38.4,39.6,39.1,39.03333333
12,51,LCOR-329,40.2,38.2,40.7,39.7
13,51,LCOR-478,37.2,3208,39.5,1094.9
14,51,LCOR-567,43.5,42.3,41.2,42.33333333
15,51,LCOR-413,37.5,37.4,41.7,38.86666667
16,51,LCOR-1205,,,,#DIV/0!
