"","tree","Vcmax","Jmax","Rd","Jmax_Vcmax_ratio","A_A_410","A_A_400a","A_A_200","A_A_100","A_A_50","A_A_0","A_A_400b","A_A_400c","A_A_600","A_A_800","A_A_1000","A_A_1200","A_A_1500","A_A_2000","A_A_300","gsw_A_410","gsw_A_400a","gsw_A_200","gsw_A_100","gsw_A_50","gsw_A_0","gsw_A_400b","gsw_A_400c","gsw_A_600","gsw_A_800","gsw_A_1000","gsw_A_1200","gsw_A_1500","gsw_A_2000","gsw_A_300","Ci_A_410","Ci_A_400a","Ci_A_200","Ci_A_100","Ci_A_50","Ci_A_0","Ci_A_400b","Ci_A_400c","Ci_A_600","Ci_A_800","Ci_A_1000","Ci_A_1200","Ci_A_1500","Ci_A_2000","Ci_A_300","Air_temp","Air_VPD","spad"
"48","LCOR-614",132.891241269705,162.381239059085,0.911656854776753,1.22191077085005,23.61639645,23.02380057,9.43098358,2.38523934,-1.267420584,-4.36044107,21.91904683,22.34810656,29.43718717,32.53983536,33.97349566,33.55444612,31.68986064,32.15497461,16.51337296,0.395687942,0.350449808,0.38833333,0.409277091,0.383708222,0.393039311,0.397232933,0.435114764,0.416068317,0.418753042,0.420075309,0.418747753,0.420462738,0.413240213,0.378030433,297.8003605,280.8170805,155.8367683,89.2335261,55.45183596,25.941898,295.9915917,303.3695058,465.3430246,648.6124568,838.5271777,1035.290036,1336.583232,1819.85644,220.5999819,28.05,2.0775,30.8
"49","LCOR-495",152.419057174393,182.644196248139,1.09826293386824,1.19830288701474,27.0285186,27.41456775,10.55315116,2.440337468,-1.555121539,-3.554079123,24.65902937,25.77035282,34.04429454,36.65907563,38.32432063,35.95347212,36.55573281,35.1944372,18.70257576,0.440278101,0.435619227,0.448483695,0.455668654,0.483141981,0.472968773,0.46555542,0.48096567,0.492361267,0.484780897,0.503248841,0.46989966,0.48524184,0.487765312,0.428276732,296.784494,283.7406463,156.3937601,89.57028684,55.31183801,34.26550611,298.8041364,299.2701115,465.2308613,650.7832406,843.6451156,1037.416291,1333.977403,1828.765992,220.5846004,22.675,0.6775,32.4
"50","LCOR-156",188.957945151254,244.743357028732,0.396001325853554,1.29522660099221,33.98432194,33.11560784,13.76546072,3.801487639,-1.163775322,-5.553402009,31.02379929,32.59533338,43.96948385,49.66019117,50.89042869,49.4315163,52.6864045,45.7601275,23.81692119,0.571564424,0.593587778,0.587560639,0.609651996,0.606393974,0.620670158,0.595658544,0.621413269,0.602279046,0.632272308,0.628680297,0.626436582,0.623518872,0.603909628,0.577102293,297.4298459,293.988398,156.023731,87.87361098,53.21168587,24.99804322,299.166852,298.8811185,457.4899182,641.9574135,833.7959301,1033.935678,1313.409746,1816.394749,222.7620521,25.85,1.2325,38.6
"51","LCOR-031",186.121196782175,253.539142360473,1.22866878967196,1.36222604810133,34.13847438,31.54701925,12.25684196,2.276044116,-1.967487765,-5.445512472,24.15412914,27.07773476,39.66194003,46.5907532,49.84467418,51.65461255,51.44290332,51.40269262,22.44848955,0.505056392,0.703906699,0.545583016,0.532007098,0.540106086,0.549991845,0.51673686,0.529217245,0.517283055,0.515401612,0.515790351,0.511806202,0.51891984,0.526904108,0.534500249,285.2418879,313.0207555,156.6090908,91.93525799,56.69081513,27.13988483,307.4612921,302.3876912,454.1352487,625.5200862,809.1219563,997.9836316,1293.688048,1783.686492,221.8314413,27.1166666666667,1.55516666666667,41.4
"52","LCOR-390",207.630495173539,262.921069182012,1.75677388405393,1.26629312790619,31.37161293,31.34188428,12.55786173,3.124772278,-1.918341057,-5.648719736,30.00395412,30.68272141,42.71241064,46.80505086,50.68690679,52.72463229,52.44004375,53.45916238,21.97442759,0.403295136,0.422231809,0.425726333,0.435618429,0.435422937,0.456898635,0.4438958,0.43324911,0.42245408,0.422629655,0.41738438,0.403147064,0.408466975,0.411306361,0.423212022,269.3853998,265.1634971,146.0192472,86.86727326,58.03524305,31.99280992,275.7630346,270.7901303,414.8255127,592.705478,769.6622171,949.9991538,1246.762092,1732.252383,206.1615919,22.675,0.6775,39.7
"53","LCOR-202",85.3271499162817,106.804712642014,0.902440700681325,1.25170842746775,14.61890932,14.31525758,5.57674883,1.040371475,-0.879971162,-3.539688777,12.75546938,13.88614166,18.75393611,21.22166424,21.56338097,21.12267036,21.4846999,21.62096392,10.25416561,0.342251711,0.344951237,0.334590317,0.374250446,0.365940402,0.429399499,0.380742419,0.387716947,0.396329457,0.404000818,0.417337593,0.41226909,0.411577798,0.40548354,0.372328161,328.2786681,321.2382979,169.2462249,93.81543153,52.95425872,25.23122656,333.2574408,329.859136,505.1129074,690.3974515,886.8068839,1083.701044,1374.276889,1859.002357,247.2379359,28.0666666666667,1.79716666666667,24
"54","LCOR-029",160.191636625282,191.26968673164,1.24620825077321,1.19400544723228,24.64586082,24.74007113,10.15596278,2.428366589,-1.595846255,-4.875613538,23.15154424,24.15433836,33.45813422,36.69005156,38.13671941,37.09158251,37.57208811,39.54146763,17.47760627,0.413740347,0.395405516,0.415382729,0.417328584,0.425753677,0.423999683,0.415757401,0.420743749,0.421658921,0.434173344,0.432691957,0.436596134,0.439470112,0.443595252,0.405129955,300.1282433,285.5668261,154.7831927,89.28673503,56.84944311,28.89044003,293.3203405,294.0006838,451.1812187,637.8719265,826.1521361,1026.977139,1318.821606,1795.236975,220.9893248,25.85,1.2325,34.2
"55","LCOR-342",212.273615396664,245.310570175415,0.908340308295338,1.15563382532029,30.00419405,29.40040543,11.68046165,2.45967606,-2.316826903,-5.738070521,27.8046379,29.37329022,41.93733239,48.25546346,50.07115095,48.4883366,49.84941653,44.33679651,20.66466915,0.444429594,0.447032067,0.461773776,0.487624071,0.489498815,0.505284545,0.484529089,0.509283433,0.506199054,0.503944722,0.502810498,0.516477303,0.513107791,0.504355025,0.464332106,285.643974,279.015452,153.7686346,90.15376834,57.9253908,29.78612683,291.1305005,291.4648106,442.556113,615.1680804,803.9594051,1009.353849,1294.28593,1800.136728,218.6936388,29.4116666666667,2.11883333333333,35.6
"56","LCOR-419",120.373592761677,144.460630014881,0.772436619603259,1.20010233723681,23.19783517,23.02627976,9.084738179,2.33667077,-1.224456064,-4.172770251,19.73524471,20.50427409,27.42435155,29.72402029,30.15874269,30.10827797,28.51222789,28.36818845,16.23149988,0.456451997,0.458364855,0.484148158,0.513628576,0.502700837,0.48917207,0.479768322,0.504961922,0.488252972,0.500870436,0.513274967,0.489421885,0.472148862,0.494959154,0.467671008,314.3309916,305.5977045,164.8044966,90.53173982,53.60140485,21.51317954,319.7236353,321.0908685,488.2928558,677.5161696,874.3602388,1064.164494,1358.618779,1851.581869,234.9746462,23.425,1.0835,29.7
"57","LCOR-463",138.346362231407,163.00982244805,0.75758659658941,1.17827328322077,25.73257335,25.42344719,10.18461245,2.530799591,-1.258794972,-4.965542705,23.15730079,24.60640549,31.98472457,32.95477375,32.46203489,33.07849678,32.60137369,31.8790138,17.91445541,0.472203944,0.476461327,0.478140482,0.473979107,0.474814048,0.473622581,0.480647408,0.486202131,0.488370168,0.489196024,0.493037382,0.497251061,0.493213143,0.489582844,0.467321254,307.8204748,299.6842617,160.4064572,90.03538629,54.1023547,22.60647934,307.6016009,304.2618847,472.6966191,664.0469873,862.8754271,1057.7724,1351.063412,1844.511201,228.8514313,21.805,0.839166666666667,38.3
