Douglas-fir Breeding Zone 7,,,,,,PS 2/2001,,,,,,,,,,,,,,,,,,,
Live Grafts & Progeny Testing,,,,,,rc 11/2023,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
DNA,cloneID,nf,rd,sz,el,BH_Ramets_Planned,BH_Ramets_2000,FH_subunit,FH_Ramets_Planned,FH_Ramets_2000,TestSet1,TestSet2,age(y),ht(ft),dbh(in),SPGR,lat(d/m),lon(d/m),lat(dd),lon(dd),asp,siteIndex,treeIndex,,
unsampled,14508,0,,525,40,4,2,High,12,9,2,,41,98,18.8,0.000,39/38.9,121/12.8,39.6483,121.2133,6,162,171,,
unsampled,14509,0,,525,40,4,3,High,12,7,2,,36,78,17.7,0.000,39/36.3,121/10.6,39.6050,121.1767,9,165,172,,
unsampled,14510,0,,525,40,4,4,High,12,7,3,,44,113,19.5,0.000,39/38.9,121/12.8,39.6483,121.2133,6,170,185,,
unsampled,14511,0,,525,40,4,3,High,12,8,2,,50,121,24.4,0.000,39/37.2,121/13.9,39.6200,121.2317,,160,181,,
sampled,14512,0,,525,48,4,4,,,,,,52,128,28.4,0.000,39/41.5,121/05.0,39.6917,121.0833,2,170,187,,
sampled,14513,0,,525,40,4,4,High,12,7,1,,42,106,22.4,0.000,39/38.1,121/12.8,39.6350,121.2133,6,170,180,,
sampled,14514,0,,525,48,4,4,,,,,,54,110,22.1,0.000,39/44.1,121/07.2,39.7350,121.1200,6,142,158,,
dead,14515,0,,525,43,4,1,High,12,8,2,,77,150,28.6,0.000,39/39.8,121/08.3,39.6633,121.1383,,142,160,,
unsampled,14516,0,,525,42,4,3,High,12,4,1,,66,130,27.5,0.000,39/38.9,121/07.2,39.6483,121.1200,8,130,163,,
unsampled,14517,0,,525,40,4,4,High,12,7,4,,45,114,20.3,0.000,39/40.7,121/12.8,39.6783,121.2133,6,170,184,,
dead,14518,0,,525,41,4,4,High,12,6,2,,27,74,13.2,0.000,39/37.2,121/11.7,39.6200,121.1950,4,160,182,,
unsampled,14519,0,,525,40,4,2,High,12,5,2,,42,102,26.7,0.000,39/38.1,121/11.7,39.6350,121.1950,2,171,177,,
unsampled,14520,0,,525,43,4,4,High,12,10,4,,41,95,24.6,0.000,39/37.2,121/12.8,39.6200,121.2133,4,154,166,,
unsampled,14750,0,,524,38,4,4,High,12,10,4,,45,80,16.4,0.000,39/56.2,121/32.1,39.9367,121.5350,3,107,132,,
sampled,14751,0,,524,37,4,4,High,12,8,3,,68,111,21,0.000,39/56.7,121/32.1,39.9450,121.5350,3,128,138,,
sampled,14752,0,,524,39,4,4,High,12,5,4,,56,105,19.5,0.000,39/57.2,121/32.2,39.9533,121.5367,3,117,146,,
sampled,14753,0,,524,41,4,4,High,12,6,3,,56,99,21.2,0.000,39/58.1,121/31.9,39.9683,121.5317,5,,138,,
sampled,14754,0,,524,34,4,3,Low,13,12,3,,52,88,18.1,0.000,39/55.4,121/32.2,39.9233,121.5367,7,124,130,,
sampled,14755,0,,524,35,4,3,Low,13,12,4,,38,97,17.4,0.000,39/56.8,121/34.0,39.9467,121.5667,7,150,180,,
sampled,14756,0,,524,33,4,4,Low,13,11,3,,37,91,18.5,0.000,39/56.7,121/34.7,39.9450,121.5783,9,152,174,,
sampled,14757,0,,524,30,4,3,Low,13,8,3,,31,69,14.9,0.000,39/57.1,121/35.1,39.9517,121.5850,8,128,154,,
sampled,14758,0,,524,35,4,4,Low,13,13,4,,24,68,16.3,0.000,39/58.0,121/35.1,39.9667,121.5850,6,170,188,,
sampled,14759,0,,524,34,4,4,Low,13,12,4,,70,112,20.7,0.000,39/59.5,121/36.5,39.9917,121.6083,6,114,136,,
sampled,14760,0,,524,44,4,4,High,12,11,4,,35,79,16.9,0.000,40/04.7,121/34.5,40.0783,121.5750,9,140,158,,
dead,14761,0,,524,41,4,4,High,12,10,3,,62,119,17.5,0.000,40/04.4,121/35.3,40.0733,121.5883,5,120,155,,
sampled,14762,0,,524,39,4,3,High,12,7,4,,45,83,17.4,0.000,40/03.3,121/36.4,40.0550,121.6067,8,110,135,,
sampled,14763,0,,524,42,4,2,High,12,12,4,,47,91,17.6,0.000,40/08.8,121/36.2,40.1467,121.6033,8,138,143,,
sampled,14770,0,,522,35,4,4,,,,3,,62,84,18.4,0.000,40/18.3,121/45.7,40.3050,121.7617,1,106,110,,
sampled,14771,0,,522,36,4,4,,,,4,,58,91,21.8,0.000,40/18.1,121/45.4,40.3017,121.7567,9,138,126,,
sampled,14772,0,,522,38,4,4,,,,3,,50,80,18.3,0.000,40/18.1,121/44.3,40.3017,121.7383,7,114,120,,
missing,14773,0,,522,44,4,4,,,,3,,61,144,23.2,0.000,40/16.2,121/41.5,40.2700,121.6917,1,155,188,,
sampled,14774,0,,522,44,4,3,,,,4,,47,100,18.7,0.000,40/16.1,121/41.1,40.2683,121.6850,5,100,158,,
unsampled,14775,0,,522,31,4,4,,,,4,,49,99,21.1,0.000,40/16.7,121/46.1,40.2783,121.7683,1,134,152,,
sampled,14776,0,,522,38,4,2,,,,3,,73,125,31.3,0.000,40/15.3,121/43.7,40.2550,121.7283,1,156,148,,
sampled,14777,0,,522,38,4,4,,,,4,,52,100,18.4,0.000,40/13.7,121/46.1,40.2283,121.7683,4,140,146,,
missing,24000,0,,522,38,4,2,,,,3,,49,93,15.5,0.000,40/50.9,121/33.7,40.8483,121.5617,2,132,140,,
sampled,24001,0,,522,53,4,4,,,,,,56,95,15.7,0.000,40/39.6,121/29.2,40.6600,121.4867,2,125,132,,
sampled,24002,0,,522,48,4,3,,,,3,,43,82,14.3,0.000,40/50.0,121/34.8,40.8333,121.5800,2,127,138,,
sampled,24003,0,,522,42,4,4,,,,4,,60,102,18.9,0.000,40/50.0,121/33.7,40.8333,121.5617,3,,136,,
sampled,24004,0,,522,48,4,3,,,,3,,44,92,19.3,0.000,40/39.6,121/29.2,40.6600,121.4867,2,142,152,,
sampled,24005,0,,522,45,4,3,,,,3,,41,72,15.4,0.000,40/46.5,121/42.8,40.7750,121.7133,1,115,126,,
sampled,24006,0,,522,41,4,4,,,,3,,70,99,23.1,0.000,40/48.3,121/42.8,40.8050,121.7133,1,120,120,,
sampled,24007,0,,522,44,4,4,,,,4,,47,83,21,0.000,40/47.4,121/42.8,40.7900,121.7133,2,,131,,
dead,24008,0,,522,46,4,4,,,,3,,37,68,14.2,0.000,40/50.0,121/37.1,40.8333,121.6183,1,108,130,,
sampled,24009,0,,522,39,4,3,,,,4,,35,67,15.7,0.000,40/50.9,121/36.0,40.8483,121.6000,8,,134,,
sampled,24010,0,,521,40,4,4,,,,4,,68,128,22.3,0.000,40/54.4,121/45.1,40.90666667,121.7516667,9,,158,,
sampled,24011,0,,521,42,4,4,,,,3,,73,149,25.5,0.000,40/53.5,121/45.1,40.89166667,121.7516667,2,159,175,,
sampled,24012,0,,521,36,4,4,,,,4,,75,133,23.4,0.000,40/54.8,121/43.4,40.9133,121.7233,9,,154,,
sampled,24013,0,,521,37,4,3,,,,3,,57,122,22.3,0.000,40/55.3,121/45.1,40.9217,121.7517,9,148,167,,
sampled,24014,0,,521,39,4,4,,,,3,,68,119,22.9,0.000,40/55.6,121/45.7,40.9267,121.7617,8,,146,,
sampled,24015,0,,521,38,4,4,,,,4,,49,103,20.5,0.000,40/56.5,121/45.7,40.9417,121.7617,5,,157,,
sampled,24016,0,,521,33,4,4,,,,4,,74,125,20.2,0.000,40/55.6,121/43.4,40.9267,121.7233,1,139,146,,
sampled,24017,0,,521,36,4,4,,,,3,,59,127,22.2,0.000,40/57.4,121/44.5,40.9567,121.7417,2,,170,,
sampled,24018,0,,521,35,4,4,,,,4,,60,106,15.8,0.000,40/56.5,121/44.5,40.9417,121.7417,6,,141,,
sampled,24019,0,,521,35,4,4,,,,3,,77,137,26.8,0.000,40/54.8,121/44.5,40.9133,121.7417,3,157,159,,
sampled,24020,0,,521,39,4,4,,,,3,,59,119,20.5,0.000,40/54.8,121/44.5,40.9133,121.7417,1,166,160,,
sampled,24021,0,,521,42,4,4,,,,4,,50,105,19.6,0.000,40/55.3,121/47.4,40.9217,121.7900,2,,157,,
sampled,24022,0,,522,46,4,3,,,,4,,38,68,17,0.000,40/45.7,121/31.4,40.7617,121.5233,2,,130,,
sampled,24023,0,,521,33,4,4,,,,3,,55,102,17.6,0.000,40/57.4,121/42.3,40.9567,121.7050,9,140,144,,
sampled,24024,0,,522,50,4,3,,,,4,,59,90,18.3,0.000,40/46.5,121/44.0,40.7750,121.7333,8,112,120,,
sampled,24025,0,,522,49,4,4,,,,3,,54,95,18.2,0.000,40/46.5,121/45.1,40.7750,121.7517,5,,136,,
sampled,24026,0,,521,48,4,4,,,,4,,67,125,23.6,0.000,40/55.6,121/45.7,40.9267,121.7617,7,,155,,
sampled,24102,0,,522,36,4,4,,,,,,37,98,20.6,0.000,40/43.1,121/53.1,40.7183,121.8850,3,,190,,
sampled,24108,0,,522,37,4,3,,,,,,51,90,22.3,0.000,40/50.9,121/52.0,40.8483,121.8667,6,,130,,
sampled,24110,0,,521,30,4,4,,,,,,38,77,14.7,0.000,40/56.8,121/55.3,40.9467,121.9217,9,,140,,
sampled,24116,0,,521,24,4,4,,,,,,29,71,16,0.000,40/49.2,121/57.7,40.8200,121.9617,1,140,170,,
dead,24118,0,,521,28,4,2,,,,,,48,96,17.7,0.000,40/56.8,121/57.6,40.9467,121.9600,9,,150,,
sampled,24119,0,,521,28,4,4,,,,,,48,102,22.2,0.000,40/57.7,121/47.4,40.9617,121.7900,9,,150,,
sampled,24126,0,,522,46,4,4,,,,5,,44,105,16.3,0.000,40/50.0,121/47.4,40.8333,121.7900,3,150,170,,
sampled,24127,0,,522,49,4,4,,,,,,54,119,23.7,0.000,40/50.0,121/47.4,40.8333,121.7900,1,160,170,,
sampled,24128,0,,522,44,4,3,,,,,,51,138,21.6,0.000,40.50.0,121/49.7,40.8333,121.8283,8,170,200,,
missing,24130,0,,522,37,4,3,,,,,,56,104,18.2,0.000,40/44.8,121/52.0,40.7467,121.8667,5,,140,,
sampled,24131,0,,522,41,4,4,,,,5,,76,168,24.4,0.000,40/49.2,121/53.1,40.8200,121.8850,1,,190,,
sampled,24132,0,,522,27,4,2,,,,,,56,114,21.3,0.000,40/50.0,121/53.1,40.8333,121.8850,8,160,160,,
sampled,24133,0,,522,37,4,4,,,,,,41,86,17.8,0.000,40/50.9,121/52.0,40.8483,121.8667,8,136,148,,
sampled,24134,0,,522,45,4,4,,,,,,54,106,23,0.000,40/49.2,121/49.7,40.8200,121.8283,2,146,150,,
sampled,24140,0,,522,45,4,4,,,,,,48,122,21.4,0.000,40/49.2,121/49.7,40.8200,121.8283,9,160,190,,
sampled,24141,0,,522,46,4,3,,,,,,64,127,29.3,0.000,40/48.3,121/48.5,40.8050,121.8083,9,151,161,,
sampled,24144,0,,522,44,4,4,,,,,,51,104,25.9,0.000,40/47.4,121/52.0,40.7900,121.8667,9,141,155,,
sampled,24162,0,,522,42,4,4,,,,,,24,70,20.3,0.000, 40/43.1, 121/49.7,40.7183,121.8283,9,,196,,
sampled,24163,0,,522,36,4,3,,,,,,24,70,20.5,0.000, 40/43.1, 121/52.0,40.7183,121.8667,4,,196,,
sampled,24164,0,,522,40,4,4,,,,,,37,78,21.3,0.000, 40/43.1, 121/52.0,40.7183,121.8667,9,,149,,
dead,24165,0,,522,42,4,4,,,,,,69,128,30.4,0.000, 40/48.3, 121/52.0,40.8050,121.8667,6,,156,,
sampled,24166,0,,522,46,4,4,,,,,,38,92,21.8,0.000, 40/49.2, 121/49.7,40.8200,121.8283,7,166,171,,
sampled,24167,0,,522,36,4,4,,,,,,53,116,25.9,0.000, 40/50.9, 121/52.0,40.8483,121.8667,1,,168,,
sampled,24168,0,,522,41,4,4,,,,,,49,110,30.3,0.000, 40/50.9, 121/48.5,40.8483,121.8083,2,,167,,
sampled,24250,0,,521,26,4,4,,,,,,59,109,25.4,0.000, 41/03.0, 121/52.1,41.0500,121.8683,9,140,144,,
sampled,24251,0,,521,28,4,4,,,,,,53,99,22.7,0.000, 41/03.2, 121/53.8,41.0533,121.8967,9,130,141,,
sampled,24252,0,,521,29,4,4,,,,,,62,125,27.1,0.000, 41/03.2, 121/51.7,41.0533,121.8617,1,140,161,,
missing,24253,0,,522,43,4,0,,,,,,92,96,24.1,0.000, 40/54.0, 121/40.0,40.9000,121.6667,1,95,100,,
sampled,24254,0,,521,36,4,4,,,,,,62,96,21.4,0.000, 40/54.5, 121/44.0,40.9083,121.7333,1,104,124,,
sampled,24451,0,,522,35,4,4,,,,,,37,94,16.8,0.000,40/30.0,121/50.8,40.5000,121.8467,9,142,157,,
dead,24452,0,,522,35,4,4,,,,,,82,116,22.4,0.000,40/30.0,121/49.7,40.5000,121.8283,9,108,120,,
sampled,24453,0,,521,28,4,4,,,,5,,65,119,24.9,0.000,40/56.0,121/56.4,40.9333,121.9400,9,125,135,,
dead,24454,0,,521,20,4,4,,,,5,,46,100,19.6,0.000, 41/01.3, 121/56.4,41.0217,121.9400,9,125,140,,
sampled,24456,0,,522,41,4,4,,,,,,82,120,31.4,0.000, 40/32.6, 121/44.0,40.5433,121.7333,9,120,123,,
unsampled,24461,0,,525,34,4,3,,,,,,57,128,25.2,0.000, 39/29.4, 121/05.0,39.4900,121.0833,9,140,155,,
sampled,24462,0,,525,21,4,3,,,,5,,60,155,37.1,0.000, 39/44.1, 121/20.6,39.7350,121.3433,8,160,185,,
missing,24463,0,,525,32,4,3,,,,5,,62,124,27.6,0.000, 39/29.4, 121/06.1,39.4900,121.1017,9,139,150,,
missing,24464,0,,525,36,,,,,,5,,80,135,30.6,0.000,39/29.4,121/05.0,39.4900,121.0833,9,127,140,,
sampled,24465,0,,525,37,4,2,,,,,,96,140,31.6,0.000, 39/13.8, 120/49.4,39.2300,120.8233,9,127,132,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
