flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00336_20220819054624,05:46:24,2022-08-19,PFA-00364,PSA-00381,PSF-00336,522.548340,78.271507,0.850212,0.000000,0.000000,0.000000,0.107968

TIME,FLR,PAR
s,,umol+1m-2s-1
0.000000,204.753403,5999.925293
0.010000,316.262482,5999.925293
0.020000,366.432678,5999.925293
0.030000,392.632477,5999.925293
0.040000,404.612305,5999.925293
0.050000,412.010193,5999.925293
0.060000,418.891663,5999.925293
0.070000,426.750183,5999.925293
0.080000,435.793152,5999.925293
0.090000,445.610046,5999.925293
0.100000,455.703033,5999.925293
0.110000,465.544586,5999.925293
0.120000,474.782837,5999.925293
0.130000,483.100525,5999.925293
0.140000,490.391144,5999.925293
0.150000,496.649261,5999.925293
0.160000,501.909607,5999.925293
0.170000,506.285553,5999.925293
0.180000,509.894012,5999.925293
0.190000,512.868408,5999.925293
0.200000,515.289917,5999.925293
0.210000,517.211060,5999.925293
0.220000,518.738525,5999.925293
0.230000,519.931885,5999.925293
0.240000,520.813843,5999.925293
0.250000,521.468262,5999.925293
0.260000,521.939636,5999.925293
0.270000,522.234680,5999.925293
0.280000,522.419189,5999.925293
0.290000,522.502930,5999.925293
0.300000,522.548340,5999.925293
0.310000,522.498596,5999.925293
0.320000,522.452087,5999.925293
0.330000,522.378784,5999.925293
0.340000,522.310486,5999.925293
0.350000,522.237549,5999.925293
0.360000,522.139526,5999.925293
0.370000,522.006165,5999.925293
0.380000,521.922485,5999.925293
0.390000,521.847717,5999.925293
0.400000,521.769043,5999.925293
0.410000,521.664246,5999.925293
0.420000,521.608459,5999.925293
0.430000,521.541626,5999.925293
0.440000,521.475098,5999.925293
0.450000,521.400696,5999.925293
0.460000,521.339539,5999.925293
0.470000,521.276611,5999.925293
0.480000,521.234009,5999.925293
0.490000,521.200073,5999.925293
0.500000,521.174316,5999.925293
0.510000,521.111389,5999.925293
0.520000,521.069885,5999.925293
0.530000,521.040894,5999.925293
0.540000,520.991211,5999.925293
0.550000,520.926453,5999.925293
0.560000,520.883545,5999.925293
0.570000,520.830994,5999.925293
0.580000,520.774109,5999.925293
0.590000,520.742676,5999.925293
0.600000,520.728333,5999.925293
0.610000,520.697266,5999.925293
0.620000,520.653992,5999.925293
0.630000,520.617859,5999.925293
0.640000,520.598145,5999.925293
0.650000,520.558838,5999.925293
0.660000,520.518433,5999.925293
0.670000,520.455139,5999.925293
0.680000,520.402527,5999.925293
0.690000,520.340698,5999.925293
0.700000,520.300598,5999.925293
0.710000,520.228027,5999.925293
0.720000,520.158264,5999.925293
0.730000,520.118591,5999.925293
0.740000,520.071045,5999.925293
0.750000,519.990906,5999.925293
0.760000,519.933350,5999.925293
0.770000,519.912598,5999.925293
0.780000,519.876831,5999.925293
0.790000,519.831787,5999.925293
