SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,Observation,ID,Leaf,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,pitch,roll,heading,angle_inc_leaf,direct_pct,slope_leaf,az_leaf,dec_solar,az_solar,zenith_solar,gps_time,gps_date,latitude,longitude,altitude,gps_sats,gps_HDOP,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,,,,,,,,,,umol+1m-2s-1,%,%,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,,,,,,,,,,,,,,,,,,HHMMSS,YYYYMMDD,%,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,umol+1m-2s-1,Hz,s-1,s,ms,ms,ms,,%,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
9,10:18:35,8/15/22,Auto gsw+F,LI-COR Default,,9,LCOR-597,13,0.858768,2.921405,0.663676,8.869469,1.860625,1.612224,3.179079,1.318453,15.934881,18.39003,31.421349,0.441786,PSF-00281_20220815101835,0,0,0,104.756714,296.020172,0.646116,0.5,0.8,302.658752,54.08,46.86,26.33,25,101.18,156.7,144.8,7.6,1171,4.075,6,-173,174,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:09:05,8/15/22,-0.67,-0.006,-0.004,0.02,-0.714,-1.651,-3.004,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,263.474121,25,-22.494408,263.758057,263.796875,-0.038818,2.4852,2.520597,1.660405,0.902479,0.25865,-0.014469,0.188617,1.195483,104.756714,0.001076,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20220815101835,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
10,10:19:46,8/15/22,Auto gsw+F,LI-COR Default,,10,LCOR-451,10,0.799329,2.920405,0.627562,6.856699,1.752336,1.559962,2.83262,1.080285,15.419821,17.321388,27.999727,0.441786,PSF-00281_20220815101946,0,0,0,96.073509,341.468658,0.718646,0.5,0.8,149.750992,50.46,44.92,26.49,23.08,101.17,156.5,156.7,-0.1,521,4.075,-15,-149,198,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:19:24,8/15/22,-0.65,-0.001,-0.001,0.016,-0.128,-0.133,-0.449,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,309.433228,25,-21.826616,311.678772,310.201965,1.476807,2.482667,2.515777,1.659336,0.932529,0.25704,-0.037548,0.195031,0.590941,96.073509,0.001091,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20220815101946,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
11,10:20:29,8/15/22,Auto gsw+F,LI-COR Default,,11,LCOR-451,14,0.533894,2.91927,0.451349,6.392988,1.774454,1.59497,3.172348,1.397894,15.765948,17.540108,31.358,0.441786,PSF-00281_20220815102029,0,0,0,101.445793,256.572052,0.604611,0.5,0.8,225.379349,50.85,45.7,26.57,24.96,101.17,156.4,156.6,-0.1,932,4.072,0,-163,187,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:19:24,8/15/22,-0.65,0.004,0.005,-9999,0.71,1.17,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,230.236526,25,-18.188242,229.966522,230.517334,-0.550812,2.483667,2.516274,1.658126,0.932072,0.256189,-0.017607,0.198772,0.9731,101.445793,0.001057,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20220815102029,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
12,10:21:26,8/15/22,Auto gsw+F,LI-COR Default,,12,LCOR-592,10,0.905233,2.919631,0.690991,7.641091,1.831049,1.616686,2.923575,1.092527,15.979026,18.097748,28.89608,0.441786,PSF-00281_20220815102126,0,0,0,85.069656,375.221283,0.773281,0.5,0.8,43.340691,52.14,46.03,26.68,23.6,101.18,156.4,153.5,1.9,140,4.072,65,-117,191,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:19:24,8/15/22,-0.65,0.009,0.003,0.045,0.039,0.126,0.35,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,362.376465,25,-8.351022,375.180603,363.258423,11.92218,2.484077,2.517964,1.658511,0.924363,0.255101,-0.033958,0.203922,0.236812,85.069656,0.001095,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20220815102126,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
13,10:22:02,8/15/22,Auto gsw+F,LI-COR Default,,13,LCOR-592,14,0.923057,2.919346,0.701312,7.811988,1.819933,1.600699,2.920552,1.100619,15.820777,17.987616,28.865768,0.441786,PSF-00281_20220815102202,0,0,0,97.166061,373.892761,0.740123,0.5,0.8,77.352364,51.68,45.45,26.72,23.58,101.18,156.4,156.5,-0.1,261,4.071,24,-149,181,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:19:24,8/15/22,-0.65,-0.004,-0.002,-9999,-0.169,-0.383,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,357.393982,25,-10.964118,366.162659,358.186615,7.976044,2.483319,2.517352,1.658207,0.931944,0.25463,-0.034677,0.207225,0.34948,97.166061,0.001107,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20220815102202,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
14,10:23:03,8/15/22,Auto gsw+F,LI-COR Default,,14,LCOR-097,10,0.336973,2.920661,0.302116,5.353289,1.739128,1.588935,3.485557,1.746429,15.705126,17.18965,34.451454,0.441786,PSF-00281_20220815102303,0,0,0,140.211945,333.088379,0.579055,0.5,0.8,271.071503,49.1,44.86,26.82,26.55,101.17,156.6,156.5,0,1170,4.07,-11,-177,186,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:19:24,8/15/22,-0.65,-0.003,0.002,0.01,-1.145,-2.87,-5.326,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,308.360352,25,-17.014162,308.958282,308.715546,0.242737,2.482534,2.513921,1.65961,0.931954,0.253645,-0.002554,0.212637,1.194786,140.211945,0.001073,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20220815102303,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
15,10:23:35,8/15/22,Auto gsw+F,LI-COR Default,,15,LCOR-097,13,0.378491,2.920098,0.335062,4.650156,1.719113,1.588561,3.089879,1.370767,15.701357,16.99173,30.540401,0.441786,PSF-00281_20220815102335,0,0,0,102.503654,384.128876,0.733153,0.5,0.8,153.029694,48.42,44.74,26.86,24.52,101.17,156.5,156.4,0.1,522,4.069,15,-155,184,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:19:24,8/15/22,-0.65,0,0.002,0.014,-5.889,-3.213,0.626,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,366.182312,25,-11.918624,373.235809,367.05542,6.180389,2.482368,2.513002,1.659009,0.931612,0.253217,-0.025879,0.215341,0.591753,102.503654,0.001125,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20220815102335,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
16,10:25:03,8/15/22,Auto gsw+F,LI-COR Default,,16,LCOR-566,9,0.679627,2.920608,0.551332,6.465044,1.817495,1.636255,2.975702,1.158208,16.173761,17.965248,29.413691,0.441786,PSF-00281_20220815102503,0,0,0,86.27021,351.170532,0.754335,0.5,0.8,237.012329,50.97,45.89,26.94,23.89,101.17,156.6,156.7,-0.1,786,4.067,6,-161,179,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:19:24,8/15/22,-0.65,0.005,-0.001,0.022,0.183,0.231,0.567,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,326.858276,25,-16.141315,335.587616,328.048035,7.539581,2.483843,2.516379,1.659553,0.932521,0.252494,-0.033665,0.223423,0.836946,86.27021,0.001073,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20220815102503,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
17,10:25:51,8/15/22,Auto gsw+F,LI-COR Default,,17,LCOR-566,11,0.646208,2.920437,0.529127,7.036291,1.779627,1.582269,3.092563,1.312936,15.639938,17.590725,30.568438,0.441786,PSF-00281_20220815102551,0,0,0,140.445831,393.042511,0.64267,0.5,0.8,26.209354,49.78,44.26,26.98,24.53,101.17,156.5,156.4,0.1,102,4.066,22,-159,175,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:19:24,8/15/22,-0.65,0.005,0.004,0.017,-1.696,-2.036,-7.196,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,373.953583,25,-13.047337,377.623566,374.352173,3.271393,2.481729,2.514801,1.659371,0.931542,0.252067,-0.027027,0.227705,0.201323,140.445831,0.001075,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20220815102551,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
18,10:26:46,8/15/22,Auto gsw+F,LI-COR Default,,18,LCOR-580,10,0.527154,2.918778,0.446511,6.440767,1.773163,1.592239,3.196797,1.423634,15.736781,17.524921,31.595304,0.441786,PSF-00281_20220815102646,0,0,0,109.997749,353.572968,0.688897,0.5,0.8,35.327831,49.48,44.43,27.02,25.09,101.18,156.3,155.7,0.4,128,4.065,-20,-177,183,,,,,,,,0:00:00,0000-00-00,0,0,0,0,0,10:19:24,8/15/22,-0.65,0.003,0.002,0.008,0.682,1.479,4.76,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,308.088898,25,-31.106739,308.028473,309.012482,-0.984009,2.481946,2.514396,1.657603,0.929992,0.251658,-0.021297,0.232336,0.225732,109.997749,0.001081,2.413877,-0.000026,1,2.436657,-0.000021,1,0.600512,0.600643,0.106516,0,PSF-00281_20220815102646,PFA-00299,PSA-00311,PSF-00281,RHS-00465,2.0.0,2021-01-19T12:57:14.097Z
