SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,FLUORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,FL_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,Observation,,ID,gsw,gtw,gbw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,pitch,roll,heading,angle_inc_leaf,direct_pct,slope_leaf,az_leaf,dec_solar,az_solar,zenith_solar,gps_time,gps_date,latitude,longitude,altitude,gps_sats,gps_HDOP,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,,,,,,,,,,umol+1m-2s-1,%,%,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,,,,,,,,,,,,,,,,,,HHMMSS,YYYYMMDD,%,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,umol+1m-2s-1,Hz,s-1,s,ms,ms,ms,,%,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
9,8:40:52,7/26/23,Auto gsw+F,LI-COR Default,,9,,LCOR-062,0.051075,0.050197,2.920659,0.645173,1.324904,1.306671,2.603957,1.279053,12.876211,13.055877,25.659933,0.441786,PSF-00508_20230726084052,0,0,0,81.36821,232.629379,0.650224,0.5,0.8,205.830246,49.23,48.55,22.23,21.69,101.48,156.6,156.4,0.1,791,4.081,-35,16,9,,,,,,,,15:42:47,7/26/23,44.58876,-123.199257,67.199997,17,0.65,8:36:07,7/26/23,-0.02,0.001,0.002,-9999,-0.075,0.087,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,226.597672,25,-4.103009,226.854446,226.7677,0.086746,2.478813,2.495604,1.655949,0.935787,0.304637,-0.006393,0.179606,0.788512,81.36821,0.000423,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230726084052,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-04-21T19:36:20.491Z
10,8:42:12,7/26/23,Auto gsw+F,LI-COR Default,,10,,LCOR-251,0.134486,0.128564,2.920045,1.789856,1.348154,1.297564,2.732408,1.384254,12.787602,13.286163,26.928099,0.441786,PSF-00508_20230726084212,0,0,0,89.975952,323.732727,0.722067,0.5,0.8,40.518963,49.94,48.07,22.28,22.48,101.47,156.5,156.2,0.2,140,4.08,77,46,93,,,,,,,,15:44:07,7/26/23,44.588913,-123.199219,62,17,0.64,8:36:07,7/26/23,-0.02,-0.001,-0.004,-9999,-0.427,-1.012,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,310.373779,25,-9.242721,310.73822,310.52829,0.20993,2.478131,2.496607,1.655316,0.935411,0.304044,0.002135,0.188992,0.22814,89.975952,0.000417,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230726084212,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-04-21T19:36:20.491Z
11,8:43:16,7/26/23,Auto gsw+F,LI-COR Default,,11,,LCOR-073,0.102892,0.099391,2.921348,1.137898,1.326629,1.294491,2.466703,1.140074,12.756368,13.073068,24.307762,0.441786,PSF-00508_20230726084316,0,0,0,96.97831,348.446899,0.721684,0.5,0.8,32.496815,49.11,47.92,22.29,20.81,101.48,156.7,156.6,0,113,4.079,52,-28,16,,,,,,,,15:45:11,7/26/23,44.588718,-123.199173,60.400002,17,0.64,8:36:07,7/26/23,-0.02,-0.001,0.001,0.013,-0.011,0.05,1.821,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,336.294647,25,-8.556453,336.460602,336.2229,0.237701,2.477916,2.495419,1.656659,0.936347,0.303887,-0.017166,0.196327,0.204287,96.97831,0.000422,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230726084316,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-04-21T19:36:20.491Z
12,8:44:36,7/26/23,Auto gsw+F,LI-COR Default,,12,,LCOR-296,0.205367,0.191867,2.918857,3.498833,1.406029,1.307089,3.214498,1.808469,12.879978,13.854921,31.675465,0.441786,PSF-00508_20230726084436,0,0,0,93.479988,135.357452,0.309384,0.5,0.8,203.928238,51.83,48.18,22.36,25.18,101.48,156.3,156.7,-0.2,1648,4.076,33,25,335,,,,,,,,15:46:32,7/26/23,44.588642,-123.199165,60,16,0.67,8:36:07,7/26/23,-0.02,0.003,0.003,-9999,0.662,0.309,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,127.378464,25,-5.79404,125.95546,127.07991,-1.124451,2.478271,2.499254,1.654095,0.936494,0.303057,0.032919,0.205722,1.525645,93.479988,0.00041,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230726084436,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-04-21T19:36:20.491Z
13,8:45:42,7/26/23,Auto gsw+F,LI-COR Default,,13,,LCOR-274,0.07405,0.072219,2.919893,0.887242,1.325803,1.300716,2.548668,1.222865,12.818127,13.065351,25.116278,0.441786,PSF-00508_20230726084542,0,0,0,94.744919,339.223969,0.720701,0.5,0.8,45.737541,48.59,47.67,22.46,21.34,101.47,156.5,156.2,0.2,159,4.073,62,0,19,,,,,,,,15:47:37,7/26/23,44.588928,-123.199112,59,17,0.64,8:36:07,7/26/23,-0.02,-0.002,-0.002,0.01,-0.59,-1.39,-2.263,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,329.977142,25,-6.521375,329.208252,329.907349,-0.699097,2.477531,2.494644,1.65516,0.935387,0.301893,-0.013014,0.213147,0.243949,94.744919,0.000415,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230726084542,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-04-21T19:36:20.491Z
14,8:47:37,7/26/23,Auto gsw+F,LI-COR Default,,14,,LCOR-581,0.147743,0.140628,2.920484,2.97082,1.370047,1.286124,3.462644,2.092597,12.674576,13.501623,34.123878,0.441786,PSF-00508_20230726084737,0,0,0,81.765175,113.833931,0.281715,0.5,0.8,200.029724,49.76,46.71,22.61,26.44,101.47,156.6,155.1,0.9,1775,4.071,60,18,267,,,,,,,,15:49:33,7/26/23,44.588894,-123.19915,58.900002,15,0.69,8:47:30,7/26/23,0.01,0.001,0.003,-9999,0.444,1.541,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,107.678177,25,-4.586682,106.259468,107.281258,-1.02179,2.476156,2.496233,1.655768,0.932677,0.300102,0.045137,0.226035,1.635164,81.765175,0.000402,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230726084737,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-04-21T19:36:20.491Z
15,8:48:42,7/26/23,Auto gsw+F,LI-COR Default,,15,,LCOR-342,0.040786,0.040224,2.920585,0.500686,1.282938,1.268782,2.52233,1.239392,12.503553,12.643049,24.85697,0.441786,PSF-00508_20230726084842,0,0,0,109.729889,293.085144,0.625604,0.5,0.8,38.862061,46.53,46.02,22.63,21.17,101.47,156.6,156.4,0.1,155,4.071,37,13,354,,,,,,,,15:50:37,7/26/23,44.588886,-123.19915,58.599998,15,0.7,8:47:30,7/26/23,0.01,-0.001,0,-9999,0.62,-0.434,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,288.902893,25,-2.865535,288.791656,288.991364,-0.199707,2.475174,2.491632,1.655872,0.935944,0.29982,-0.016935,0.233098,0.241059,109.729889,0.000423,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230726084842,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-04-21T19:36:20.491Z
16,8:49:12,7/26/23,Auto gsw+F,LI-COR Default,,16,,,0.045116,0.044429,2.921096,0.610766,1.284606,1.267347,2.652456,1.36785,12.489743,12.659838,26.140039,0.441786,PSF-00508_20230726084912,0,0,0,75.307487,0.870109,-85.549522,0.5,0.8,-44884.89453,46.63,46,22.62,21.99,101.47,156.6,153.5,2,1312,4.068,62,12,239,,,,,,,,15:51:07,7/26/23,44.588902,-123.199112,58.799999,15,0.71,8:47:30,7/26/23,0.01,0.001,0.002,-9999,0.867,3.213,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,0.870109,25,1.266612,1.571059,2.679629,-1.108569,2.475162,2.491781,1.656399,0.928767,0.299995,-0.007368,0.23624,1.236298,75.307487,0.000423,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230726084912,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-04-21T19:36:20.491Z
17,8:49:36,7/26/23,Auto gsw+F,LI-COR Default,,17,,,0.048467,0.047676,2.920304,0.76771,1.2863,1.264591,2.886723,1.600423,12.462097,12.676029,28.447624,0.441786,PSF-00508_20230726084936,0,0,0,81.761597,97.376678,0.160358,0.5,0.8,86.554413,46.8,46.01,22.58,23.39,101.47,156.5,156.4,0.1,1349,4.068,51,2,242,,,,,,,,15:51:31,7/26/23,44.588764,-123.199097,58.599998,17,0.63,8:47:30,7/26/23,0.01,-0.002,0,0.001,5.382,3.28,-6.971,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,95.104691,25,-1.727535,94.51461,94.908669,-0.394058,2.475172,2.492023,1.655582,0.935949,0.300431,0.009203,0.238692,1.268774,81.761597,0.000409,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230726084936,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-04-21T19:36:20.491Z
18,8:50:56,7/26/23,Auto gsw+F,LI-COR Default,,18,,LCOR-217,0.045517,0.044818,2.918672,1.004653,1.303141,1.274702,3.523614,2.220473,12.562321,12.842594,34.725586,0.441786,PSF-00508_20230726085056,0,0,0,65.937637,76.618141,0.139399,0.5,0.8,96.889214,47.5,46.46,22.55,26.73,101.47,156.3,156.4,-0.1,1738,4.067,45,-60,153,,,,,,,,15:52:51,7/26/23,44.588726,-123.199112,57.700001,16,0.67,8:47:30,7/26/23,0.01,0,0.001,-9999,-0.089,0.056,-9999,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,75.344322,25,-0.91761,75.24884,75.307213,-0.058372,2.475818,2.493033,1.653905,0.935909,0.300805,0.049422,0.247421,1.602903,65.937637,0.000404,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230726085056,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-04-21T19:36:20.491Z
19,8:51:46,7/26/23,Auto gsw+F,LI-COR Default,,19,,LCOR-075,0.052181,0.051265,2.921943,0.994256,1.293192,1.265117,3.217363,1.924171,12.468108,12.744792,31.708073,0.441786,PSF-00508_20230726085146,0,0,0,98.039391,122.589027,0.20026,0.5,0.8,144.071579,47.05,46.02,22.58,25.2,101.47,156.7,156.5,0.1,1799,4.062,62,34,289,,,,,,,,15:53:42,7/26/23,44.588665,-123.199127,59.200001,16,0.66,8:47:30,7/26/23,0.01,0.001,0.001,0.002,-0.568,-0.273,8.867,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,117.880585,25,-3.794553,116.067764,117.168015,-1.10025,2.475198,2.492381,1.657274,0.936159,0.300428,0.030549,0.252765,1.65535,98.039391,0.000416,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230726085146,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-04-21T19:36:20.491Z
20,8:53:23,7/26/23,Auto gsw+F,LI-COR Default,,20,,LCOR-041,0.21752,0.202439,2.919859,3.339238,1.326874,1.232474,2.964978,1.638104,12.147984,13.078453,29.224564,0.441786,PSF-00508_20230726085323,0,0,0,83.218216,122.848656,0.322596,0.5,0.8,194.940781,47.9,44.49,22.71,23.83,101.46,156.5,156.7,-0.2,1511,4.062,-14,16,7,,,,,,,,15:55:18,7/26/23,44.588837,-123.199059,58.299999,17,0.63,8:47:30,7/26/23,0.01,0.001,0.004,0.017,-0.135,-0.464,-1.203,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,116.841316,25,-4.220733,116.356369,116.818787,-0.462418,2.473006,2.493563,1.655125,0.936724,0.298886,0.012896,0.262933,1.407619,83.218216,0.000406,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230726085323,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-04-21T19:36:20.491Z
21,8:54:16,7/26/23,Auto gsw+F,LI-COR Default,,21,,LCOR-157,0.13129,0.125638,2.918837,2.536056,1.339528,1.267772,3.340561,2.001032,12.493689,13.200836,32.920689,0.441786,PSF-00508_20230726085416,0,0,0,86.467621,121.66008,0.289269,0.5,0.8,209.578445,48.26,45.68,22.74,25.83,101.47,156.3,156.6,-0.1,1811,4.06,68,16,248,,,,,,,,15:56:12,7/26/23,44.588783,-123.199089,60.299999,15,0.72,8:47:30,7/26/23,0.01,0,0,-0.005,0.619,0.332,6.411,1,150,0.005,2,0,mpf,7000,500,5,2,300,300,300,116.427185,25,-3.777214,116.080643,116.26384,-0.183197,2.474674,2.494078,1.654074,0.936304,0.298518,0.036254,0.268579,1.666296,86.467621,0.000406,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230726085416,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-04-21T19:36:20.491Z
