Obs#,Time,Date,configName,configAuthor,ID,,,,Fv/Fm,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,pitch,roll,heading,angle_inc_leaf,direct_pct,slope_leaf,az_leaf,dec_solar,az_solar,zenith_solar,gps_time,gps_date,latitude,longitude,altitude,gps_sats,gps_HDOP,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
11,4:36:09 AM,8/29/23,Night sampling,CH,LCOR-062,,,,0.824585,0.035969,2.92122,0.035531,0.233192,1.554335,1.547769,2.207449,0.653113,15.264821,15.329581,21.770893,0.441786,PSF-00508_20230829043609,70.048569,399.330139,0,0,0,0.5,0.8,0.002992,64.9,64.63,20.33,19.02,101.39,156.6,156.5,0.1,0,4.045,31,-7,357,,,,,,,,0.483993056,45167,44.588882,-123.199219,65.199997,14,0.8,0.188402778,45167,-0.03,0,-0.003,-0.012,-0.183,0.094,0.063,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.501319,2.517962,1.656528,0.936145,0.328809,-0.014825,0.222315,0.107408,70.048569,0.00023,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829043609,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
12,4:36:35 AM,8/29/23,Night sampling,CH,LCOR-062,,,,0.776667,0.013358,2.920554,0.013297,0.09503,1.558118,1.55544,2.269085,0.710968,15.340443,15.366847,22.378725,0.441786,PSF-00508_20230829043635,95.675827,428.399567,0,0,0,0.5,0.8,0.039867,65.25,65.14,20.28,19.46,101.39,156.6,156.4,0.1,0,4.074,39,11,347,,,,,,,,0.484305556,45167,44.588776,-123.199211,64.300003,16,0.76,0.188402778,45167,-0.03,0.001,0,0,-0.073,-0.039,0.222,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.502021,2.518453,1.65584,0.935801,0.329435,-0.009334,0.225195,0.10751,95.899704,0.000232,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829043635,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
13,4:38:58 AM,8/29/23,Night sampling,CH,LCOR-310,,,,0.820124,0.077052,2.919942,0.075071,0.463961,1.571738,1.558663,2.186752,0.615013,15.372722,15.501678,21.567408,0.441786,PSF-00508_20230829043858,76.917526,427.615295,0,0,0,0.5,0.8,-0.00125,66.57,66.02,20.1,18.87,101.39,156.5,156.6,-0.1,0,4.072,57,-25,332,,,,,,,,0.485972222,45167,44.588772,-123.199219,64.300003,16,0.76,0.188402778,45167,-0.03,-0.003,-0.003,-0.014,0.192,0.201,0.431,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.503258,2.52032,1.65521,0.936377,0.33188,-0.013882,0.241362,0.107397,76.917526,0.000233,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829043858,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
14,4:39:18 AM,8/29/23,Night sampling,CH,LCOR-310,,,,0.813566,0.074002,2.919013,0.072172,0.494869,1.575423,1.561467,2.25749,0.682068,15.40064,15.538282,22.265469,0.441786,PSF-00508_20230829043918,79.77533,427.901031,0,0,0,0.5,0.8,0.011471,66.84,66.25,20.07,19.38,101.39,156.4,156.3,0,0,4.07,54,-40,313,,,,,,,,0.48619213,45167,44.588715,-123.199173,64.800003,14,0.8,0.188402778,45167,-0.03,0.003,0.004,0.006,0.079,0.093,-0.644,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.503578,2.520698,1.654255,0.93569,0.332249,-0.007852,0.243498,0.10743,79.77533,0.000234,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829043918,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
15,4:42:24 AM,8/29/23,Night sampling,CH,LCOR-296,,,,0.826449,0.050835,2.919893,0.049965,0.314341,1.581025,1.572167,2.206932,0.625908,15.507284,15.594649,21.768372,0.441786,PSF-00508_20230829044224,75.930473,437.510498,0,0,0,0.5,0.8,-0.00071,67.85,67.47,19.89,19.01,101.38,156.5,156.6,0,0,4.067,41,-35,330,,,,,,,,0.488356481,45167,44.588718,-123.199173,65.099998,15,0.77,0.195972222,45167,-0.05,0,0.009,0.001,0.266,0.166,0.084,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.505266,2.522158,1.655159,0.936252,0.334714,-0.009837,0.264679,0.107398,75.930473,0.000237,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829044224,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
16,4:42:45 AM,8/29/23,Night sampling,CH,LCOR-296,,,,0.811797,0.058651,2.920382,0.057496,0.329744,1.582644,1.573356,2.153395,0.570751,15.518247,15.609855,21.239254,0.441786,PSF-00508_20230829044245,80.840706,429.539337,0,0,0,0.5,0.8,0.000382,67.97,67.57,19.88,18.62,101.39,156.5,156.4,0.1,0,4.064,61,30,85,,,,,,,,0.488587963,45167,44.58881,-123.19915,63,16,0.77,0.195972222,45167,-0.05,0,-0.003,-0.009,-0.192,0.219,0.301,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.505402,2.522321,1.655664,0.935925,0.334866,-0.014095,0.266907,0.107401,80.840706,0.000232,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829044245,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
17,4:45:04 AM,8/29/23,Night sampling,CH,LCOR-250,,,,0.831552,0.076938,2.920521,0.074963,0.459791,1.570612,1.557661,2.180968,0.610356,15.363627,15.491366,21.511475,0.441786,PSF-00508_20230829044504,75.074677,445.684784,0,0,0,0.5,0.8,-0.000023,67.95,67.39,19.76,18.82,101.39,156.6,156.6,0,0,4.063,54,-44,297,,,,,,,,0.490196759,45167,44.588802,-123.199158,63.099998,16,0.77,0.195972222,45167,-0.05,0.002,0.004,0.004,-0.072,0.075,-0.093,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.505193,2.522329,1.655807,0.936265,0.336475,-0.010476,0.281631,0.1074,75.074677,0.00023,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829044504,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
18,4:45:19 AM,8/29/23,Night sampling,CH,LCOR-250,,,,0.831309,0.100876,2.919729,0.097507,0.515299,1.589221,1.574701,2.115214,0.525993,15.532196,15.67542,20.8636,0.441786,PSF-00508_20230829044519,72.206497,428.039795,0,0,0,0.5,0.8,0.000806,68.83,68.2,19.74,18.33,101.38,156.5,156.2,0.2,0,4.06,52,-65,283,,,,,,,,0.490335648,45167,44.588898,-123.19915,64.900002,16,0.77,0.195972222,45167,-0.05,-0.002,-0.028,-0.063,0.046,-0.024,0.126,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.506284,2.523534,1.654991,0.93532,0.336702,-0.015731,0.283327,0.107402,72.06881,0.000228,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829044519,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
19,4:47:48 AM,8/29/23,Night sampling,CH,LCOR-279,,,,0.830155,0.036622,2.919928,0.036169,0.238857,1.551467,1.544734,2.208636,0.657168,15.235382,15.301785,21.783297,0.441786,PSF-00508_20230829044748,80.631851,474.738464,0,0,0,0.5,0.8,0.006876,67.61,67.31,19.64,19.03,101.39,156.5,156.8,-0.2,0,4.06,40,-11,352,,,,,,,,0.492106481,45167,44.588894,-123.199165,65,16,0.77,0.195972222,45167,-0.05,0.002,0.001,-0.002,0.062,0.185,0.237,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.505116,2.521883,1.655195,0.936839,0.338038,-0.006912,0.299454,0.107418,80.631851,0.00023,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829044748,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
20,4:48:10 AM,8/29/23,Night sampling,CH,LCOR-279,,,,0.843445,0.088824,2.920115,0.086202,0.494368,1.555128,1.541197,2.126015,0.570886,15.201468,15.338878,20.969769,0.441786,PSF-00508_20230829044810,72.993996,466.250183,0,0,0,0.5,0.8,0.000818,67.84,67.23,19.62,18.42,101.38,156.5,155,1,0,4.055,72,34,63,,,,,,,,0.492349537,45167,44.588886,-123.199112,65,17,0.74,0.195972222,45167,-0.05,-0.001,-0.006,-0.022,0.367,0.088,0.158,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.505015,2.522211,1.655388,0.932351,0.338286,-0.013508,0.301598,0.107402,72.993996,0.00023,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829044810,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
