Obs#,Time,Date,configName,configAuthor,ID,,,,Fv/Fm,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,flashID,Fo,Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,rh_s,rh_r,Tref,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,pitch,roll,heading,angle_inc_leaf,direct_pct,slope_leaf,az_leaf,dec_solar,az_solar,zenith_solar,gps_time,gps_date,latitude,longitude,altitude,gps_sats,gps_HDOP,match_time,match_date,rh_adj,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
21,4:50:43 AM,8/29/23,Night sampling,CH,LCOR-342,,,,0.762655,0.015912,2.919152,0.015826,0.092992,1.545779,1.543156,2.13069,0.584912,15.220864,15.246734,21.015991,0.441786,PSF-00508_20230829045043,89.908363,378.809448,0,0,0,0.5,0.8,0.003401,67.76,67.65,19.54,18.45,101.38,156.4,156.7,-0.2,0,4.054,52,-81,301,,,,,,,,0.494108796,45167,44.588898,-123.199127,65,16,0.76,0.195972222,45167,-0.05,0,-0.002,-0.019,-0.035,0.204,0.116,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.505588,2.522119,1.654398,0.936628,0.339344,-0.01224,0.317275,0.10741,89.908363,0.000231,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829045043,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
22,4:51:00 AM,8/29/23,Night sampling,CH,LCOR-342,,,,0.531874,0.005192,2.919933,0.005182,0.030659,1.558734,1.55787,2.147533,0.588799,15.366569,15.375091,21.182901,0.441786,PSF-00508_20230829045100,105.554581,225.483292,0,0,0,0.5,0.8,0.018285,68.38,68.35,19.53,18.58,101.38,156.5,156.7,-0.2,0,4.054,41,-54,298,,,,,,,,0.49431713,45167,44.588898,-123.199127,64.599998,17,0.74,0.195972222,45167,-0.05,0.001,0.001,-0.004,-0.009,0.754,0.93,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.506533,2.522976,1.655201,0.936731,0.33952,-0.010694,0.318876,0.107474,105.397583,0.000232,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829045100,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
23,4:51:22 AM,8/29/23,Night sampling,CH,LCOR-342,,,,0.808542,0.044204,2.919314,0.043544,0.277359,1.563711,1.555891,2.197484,0.633773,15.347042,15.424177,21.675606,0.441786,PSF-00508_20230829045122,85.932251,448.830841,0,0,0,0.5,0.8,0.087733,68.65,68.31,19.52,18.94,101.38,156.4,156.4,0,0,4.053,46,-65,318,,,,,,,,0.494583333,45167,44.588905,-123.19912,65.199997,16,0.76,0.195972222,45167,-0.05,0.003,-0.001,-0.009,0.001,-0.016,-0.19,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.506482,2.523343,1.654564,0.935907,0.339672,-0.006461,0.321016,0.107633,85.932251,0.000237,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829045122,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
24,4:51:48 AM,8/29/23,Night sampling,CH,LCOR-342,,,,0.538413,-0.002136,2.921228,-0.002138,-0.012964,1.569694,1.570059,2.173173,0.60348,15.48595,15.482351,21.434649,0.441786,PSF-00508_20230829045148,135.981918,294.596313,0,0,0,0.5,0.8,0.008666,68.97,68.99,19.51,18.77,101.39,156.6,156.5,0.1,0,4.053,62,-8,278,,,,,,,,0.494872685,45167,44.588905,-123.19912,65.199997,17,0.74,0.195972222,45167,-0.05,-0.001,-0.002,-9999,-0.026,0.412,-9999,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.507407,2.523793,1.656535,0.936171,0.339874,-0.008284,0.323619,0.107435,136.165741,0.000236,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829045148,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
25,4:52:11 AM,8/29/23,Night sampling,CH,LCOR-342,,,,0.767261,0.013676,2.91995,0.013612,0.083042,1.583919,1.581579,2.190911,0.606992,15.599662,15.62274,21.609711,0.441786,PSF-00508_20230829045211,87.451813,375.750305,0,0,0,0.5,0.8,0.019235,69.63,69.53,19.5,18.9,101.39,156.5,156.5,0,0,4.05,71,-16,309,,,,,,,,0.495150463,45167,44.58884,-123.199104,66.199997,17,0.74,0.195972222,45167,-0.05,-0.004,-0.002,-0.006,0.458,0.094,0.283,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.508128,2.52469,1.655219,0.936221,0.339967,-0.006753,0.326008,0.107454,87.391731,0.00023,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829045211,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
26,4:54:34 AM,8/29/23,Night sampling,CH,LCOR-076,,,,0.833519,0.06404,2.921503,0.062667,0.352456,1.581677,1.571758,2.141449,0.559772,15.502252,15.600084,21.121122,0.441786,PSF-00508_20230829045434,68.096634,409.03653,0,0,0,0.5,0.8,0.000531,69.56,69.12,19.49,18.53,101.39,156.7,156.8,0,0,4.049,35,-1,317,,,,,,,,0.496805556,45167,44.58884,-123.199104,66.099998,17,0.74,0.204386574,45167,-0.12,-0.001,0.001,-0.008,0.174,0.131,-0.012,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.507582,2.524686,1.656819,0.936743,0.340044,-0.010765,0.340634,0.107401,68.096634,0.000236,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829045434,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
27,4:54:57 AM,8/29/23,Night sampling,CH,LCOR-076,,,,0.842558,0.166855,2.921265,0.157839,0.818501,1.598064,1.57503,2.114167,0.516103,15.535718,15.762918,20.85363,0.441786,PSF-00508_20230829045457,71.90609,456.714386,0,0,0,0.5,0.8,0.034847,70.26,69.25,19.5,18.33,101.38,156.6,154.8,1.2,0,4.044,65,-26,297,,,,,,,,0.497071759,45167,44.588665,-123.199104,69.800003,18,0.72,0.204386574,45167,-0.12,-0.011,-0.028,-0.074,0.044,0.059,0.109,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.507759,2.525655,1.656574,0.931812,0.340006,-0.013072,0.342925,0.107489,71.90609,0.000231,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829045457,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
28,4:57:27 AM,8/29/23,Night sampling,CH,LCOR-511,,,,0.822882,0.047562,2.920005,0.0468,0.269912,1.572842,1.565235,2.146888,0.574047,15.437349,15.512366,21.173983,0.441786,PSF-00508_20230829045727,77.149269,435.581451,0,0,0,0.5,0.8,-0.000023,69.25,68.91,19.47,18.57,101.39,156.5,156.7,-0.1,0,4.044,45,-1,325,,,,,,,,0.498796296,45167,44.588676,-123.199104,69.599998,17,0.74,0.204386574,45167,-0.12,-0.002,-0.007,-0.008,-0.16,0.071,0.213,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.50731,2.524271,1.655275,0.936618,0.340303,-0.0101,0.357598,0.1074,77.149269,0.000237,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829045727,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
29,4:57:51 AM,8/29/23,Night sampling,CH,LCOR-511,,,,0.837768,0.086971,2.918257,0.084454,0.44484,1.598065,1.585515,2.122327,0.524262,15.637284,15.761057,20.931637,0.441786,PSF-00508_20230829045751,75.271729,463.974945,0,0,0,0.5,0.8,0.002205,70.42,69.87,19.46,18.39,101.39,156.3,155.3,0.6,0,4.04,64,15,27,,,,,,,,0.4990625,45167,44.588661,-123.19912,69,16,0.75,0.204386574,45167,-0.12,-0.003,-0.007,-0.01,-0.054,-0.176,0.079,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.508595,2.525878,1.65348,0.933114,0.340497,-0.011984,0.359898,0.107406,75.271729,0.00023,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829045751,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
30,5:00:32 AM,8/29/23,Night sampling,CH,LCOR-041,,,,0.840836,0.035904,2.919445,0.035468,0.206737,1.602296,1.59647,2.182257,0.579961,15.745714,15.803181,21.523235,0.441786,PSF-00508_20230829050032,73.262215,460.294617,0,0,0,0.5,0.8,0.126037,70.86,70.6,19.4,18.83,101.39,156.4,156.7,-0.2,0,4.04,44,-17,345,,,,,,,,0.500925926,45167,44.588642,-123.19912,68.900002,16,0.73,0.204386574,45167,-0.12,0.001,0,0.003,-0.11,-0.09,-0.365,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.509594,2.526491,1.654698,0.93674,0.341283,-0.006375,0.375514,0.107723,73.262215,0.000232,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829050032,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
31,5:00:52 AM,8/29/23,Night sampling,CH,LCOR-041,,,,0.825475,0.201358,2.92161,0.188375,0.81618,1.635129,1.612173,2.066413,0.431284,15.900476,16.126886,20.380537,0.441786,PSF-00508_20230829050052,73.05336,418.584106,0,0,0,0.5,0.8,0.024125,72.34,71.32,19.4,17.96,101.39,156.7,154.3,1.5,0,4.036,28,-25,308,,,,,,,,0.501168981,45167,44.588692,-123.199066,66.800003,17,0.73,0.204386574,45167,-0.12,-0.014,-0.023,-0.07,0.278,0.384,0.964,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.510563,2.528513,1.65693,0.93058,0.341367,-0.015985,0.37729,0.107463,73.500397,0.000231,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829050052,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
32,5:03:10 AM,8/29/23,Night sampling,CH,LCOR-286,,,,0.841092,0.086165,2.918046,0.083694,0.419983,1.60818,1.59633,2.107685,0.499505,15.743054,15.859919,20.786051,0.441786,PSF-00508_20230829050310,81.450462,512.562622,0,0,0,0.5,0.8,0.001235,71.26,70.74,19.37,18.28,101.4,156.2,156,0.2,0,4.034,24,22,10,,,,,,,,0.502766204,45167,44.588703,-123.199059,67,17,0.73,0.204386574,45167,-0.12,0.001,-0.001,-0.009,-0.036,0.12,-0.241,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.509784,2.52705,1.653263,0.934845,0.341725,-0.0122,0.390166,0.107403,81.450462,0.000237,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829050310,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
33,5:03:28 AM,8/29/23,Night sampling,CH,LCOR-286,,,,0.834738,0.042619,2.920773,0.042006,0.206313,1.610442,1.604633,2.099329,0.488887,15.825644,15.882928,20.704561,0.441786,PSF-00508_20230829050328,84.948059,514.022095,0,0,0,0.5,0.8,-0.000023,71.39,71.13,19.37,18.21,101.39,156.6,155.3,0.8,0,4.033,34,-8,310,,,,,,,,0.502986111,45167,44.588657,-123.199074,67.699997,17,0.77,0.204386574,45167,-0.12,0,0.003,-0.002,0.07,0.212,0.276,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.51031,2.52722,1.656066,0.933059,0.341797,-0.012843,0.391802,0.1074,84.948059,0.000232,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829050328,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
34,5:05:44 AM,8/29/23,Night sampling,CH,LCOR-289,,,,0.805131,0.00169,2.917819,0.001689,0.009455,1.588234,1.587967,2.145219,0.556986,15.662469,15.665101,21.158773,0.441786,PSF-00508_20230829050544,82.323792,422.456512,0,0,0,0.5,0.8,0.000781,70.33,70.32,19.38,18.56,101.39,156.2,156.6,-0.3,0,4.032,61,-15,335,,,,,,,,0.504560185,45167,44.588661,-123.199059,67.699997,18,0.73,0.212164352,45167,-0.2,-0.002,0.003,0.004,-0.276,-0.103,-0.367,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.509219,2.525878,1.653031,0.93646,0.341573,-0.009191,0.404631,0.107402,82.323792,0.000235,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829050544,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
35,5:06:05 AM,8/29/23,Night sampling,CH,LCOR-289,,,,0.836544,-0.007175,2.921373,-0.007193,-0.041495,1.585243,1.58641,2.159374,0.574131,15.646577,15.635058,21.297646,0.441786,PSF-00508_20230829050605,74.151634,453.648438,0,0,0,0.5,0.8,0.001506,70.19,70.24,19.38,18.66,101.39,156.7,156.9,-0.2,0,4.029,32,-13,334,,,,,,,,0.504791667,45167,44.588783,-123.199051,66.5,18,0.73,0.212164352,45167,-0.2,0,-0.001,-0.003,0.056,0.18,0.337,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.50912,2.525691,1.656685,0.937215,0.341559,-0.008031,0.406443,0.107404,74.151634,0.000231,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829050605,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
36,5:08:27 AM,8/29/23,Night sampling,CH,LCOR-161,,,,0.841443,0.040752,2.917467,0.04019,0.21952,1.604869,1.598673,2.148431,0.543561,15.767014,15.828127,21.189035,0.441786,PSF-00508_20230829050827,72.64566,458.168854,0,0,0,0.5,0.8,0.000256,71.25,70.98,19.34,18.58,101.39,156.2,155.8,0.2,0,4.028,51,-20,269,,,,,,,,0.506435185,45167,44.588791,-123.199059,66.5,17,0.74,0.212164352,45167,-0.2,0,0.002,-0.004,-0.068,0.131,0.216,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.510114,2.527149,1.65267,0.93438,0.342151,-0.00845,0.419232,0.107401,72.64566,0.000231,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829050827,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
37,5:08:50 AM,8/29/23,Night sampling,CH,LCOR-161,,,,0.843538,0.007754,2.918194,0.007733,0.042295,1.603611,1.602418,2.147887,0.544275,15.804189,15.815956,21.183987,0.441786,PSF-00508_20230829050850,67.200783,429.502502,0,0,0,0.5,0.8,0.052133,71.2,71.15,19.34,18.58,101.39,156.3,156.8,-0.3,0,4.024,51,-22,286,,,,,,,,0.506712963,45167,44.588783,-123.199043,66.699997,15,0.89,0.212164352,45167,-0.2,-0.007,-0.014,-0.013,0.281,0.161,-0.041,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.510347,2.527083,1.653414,0.936782,0.342172,-0.008477,0.42137,0.107533,67.200783,0.000226,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829050850,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
38,5:10:32 AM,8/29/23,Night sampling,CH,LCOR-233,,,,0.822041,0.070288,2.919405,0.068635,0.33504,1.599671,1.590227,2.085642,0.485971,15.683139,15.776275,20.569016,0.441786,PSF-00508_20230829051032,77.241898,434.04364,0,0,0,0.5,0.8,0.001207,70.96,70.54,19.35,18.11,101.4,156.4,156.4,0,0,4.023,55,-17,309,,,,,,,,0.507893519,45167,44.588795,-123.199059,67,16,0.75,0.212164352,45167,-0.2,-0.003,-0.009,-0.026,-0.066,-0.131,0.146,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.509521,2.526741,1.654658,0.935954,0.341947,-0.013876,0.43014,0.107403,77.241898,0.000232,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829051032,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
39,5:10:54 AM,8/29/23,Night sampling,CH,LCOR-233,,,,0.839691,-0.003199,2.921122,-0.003202,-0.017386,1.606239,1.606728,2.14655,0.540312,15.846655,15.841828,21.170753,0.441786,PSF-00508_20230829051054,71.616051,446.738708,0,0,0,0.5,0.8,0.00207,71.23,71.25,19.36,18.57,101.39,156.6,156.7,-0.1,0,4.019,68,-35,291,,,,,,,,0.508101852,45167,44.588692,-123.198982,64.699997,15,0.82,0.212164352,45167,-0.2,0.002,0.001,-9999,0.099,-0.077,-9999,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.510478,2.527115,1.656426,0.93671,0.341896,-0.008815,0.432199,0.107405,71.458694,0.00023,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829051054,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
40,5:13:20 AM,8/29/23,Night sampling,CH,LCOR-218,,,,0.844803,0.025967,2.920983,0.025738,0.125265,1.597023,1.593497,2.081527,0.484504,15.716588,15.751368,20.530008,0.441786,PSF-00508_20230829051320,70.922974,456.986908,0,0,0,0.5,0.8,0.000679,70.78,70.62,19.37,18.08,101.39,156.6,156.5,0,0,4.018,37,-3,317,,,,,,,,0.509826389,45167,44.58868,-123.199005,64.5,14,0.75,0.212164352,45167,-0.2,-0.007,-0.009,-0.021,0.157,0.119,0.21,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.509633,2.526497,1.656283,0.936205,0.341763,-0.014375,0.445083,0.107402,70.922974,0.000237,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829051320,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
41,5:13:43 AM,8/29/23,Night sampling,CH,LCOR-218,,,,0.838397,0.059108,2.919722,0.057935,0.300311,1.605662,1.597202,2.121499,0.515837,15.755073,15.838528,20.926828,0.441786,PSF-00508_20230829051343,87.85379,543.640503,0,0,0,0.5,0.8,-0.000163,71.19,70.82,19.36,18.38,101.38,156.5,156.3,0.1,0,4.018,51,-29,290,,,,,,,,0.510104167,45167,44.588696,-123.198967,63.200001,16,0.82,0.212164352,45167,-0.2,-0.007,-0.027,-0.074,0.019,0.045,0.107,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.509896,2.527064,1.654984,0.935731,0.341859,-0.010932,0.446968,0.1074,87.85379,0.000234,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829051343,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
42,5:16:04 AM,8/29/23,Night sampling,CH,LCOR-156,,,,0.84071,0.025491,2.91808,0.02527,0.138838,1.585831,1.581914,2.132668,0.546836,15.602225,15.640866,21.034246,0.441786,PSF-00508_20230829051604,76.498749,480.247375,0,0,0,0.5,0.8,0.002492,70.28,70.1,19.37,18.47,101.39,156.3,156.6,-0.2,0,4.015,34,-17,346,,,,,,,,0.511701389,45167,44.588665,-123.198975,62.700001,16,0.74,0.219340278,45167,-0.13,0,0.004,0.003,0.156,0.177,-0.168,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.508935,2.525718,1.653298,0.936386,0.341743,-0.010095,0.458781,0.107406,76.498749,0.000241,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829051604,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
43,5:16:20 AM,8/29/23,Night sampling,CH,LCOR-156,,,,0.846612,0.021732,2.91863,0.021572,0.114152,1.586361,1.583141,2.113068,0.526707,15.615452,15.647208,20.842426,0.441786,PSF-00508_20230829051620,73.248627,477.537262,0,0,0,0.5,0.8,-0.000164,70.26,70.12,19.38,18.32,101.38,156.3,156.7,-0.2,0,4.013,53,-56,305,,,,,,,,0.511909722,45167,44.58873,-123.198982,62.700001,16,0.82,0.219340278,45167,-0.13,0,-0.001,0.004,-0.072,0.107,0.231,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.508952,2.525692,1.653862,0.93651,0.341616,-0.011838,0.460028,0.1074,73.248627,0.000235,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829051620,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
44,5:18:31 AM,8/29/23,Night sampling,CH,LCOR-077,,,,0.842423,0.11031,2.919381,0.106294,0.51025,1.60393,1.589549,2.081798,0.477869,15.677452,15.819291,20.532429,0.441786,PSF-00508_20230829051831,70.894714,449.904785,0,0,0,0.5,0.8,0.002217,71.09,70.45,19.37,18.08,101.39,156.4,156.1,0.2,0,4.013,61,-64,228,,,,,,,,0.5134375,45167,44.588722,-123.198975,62.5,14,0.96,0.219340278,45167,-0.13,-0.01,-0.024,-0.038,-0.204,0.334,0.173,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.5094,2.526825,1.654633,0.935239,0.341767,-0.014349,0.471158,0.107406,70.894714,0.000239,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829051831,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
45,5:18:58 AM,8/29/23,Night sampling,CH,LCOR-077,,,,0.82991,0.066222,2.921249,0.064754,0.349357,1.601195,1.591362,2.138159,0.536964,15.694335,15.791308,21.086952,0.441786,PSF-00508_20230829051858,72.416069,425.750977,0,0,0,0.5,0.8,-0.000989,70.99,70.55,19.36,18.51,101.4,156.6,156.5,0.1,0,4.009,29,5,331,,,,,,,,0.513738426,45167,44.588791,-123.198982,62.299999,16,0.82,0.219340278,45167,-0.13,-0.001,-0.006,-0.005,-0.098,-0.083,0.356,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.509534,2.526687,1.656558,0.9361,0.341827,-0.009569,0.473322,0.107397,72.416069,0.000234,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829051858,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
46,5:21:27 AM,8/29/23,Night sampling,CH,LCOR-320,,,,0.814691,0.02029,2.920026,0.02015,0.112602,1.609537,1.606365,2.165581,0.556044,15.843427,15.87471,21.358925,0.441786,PSF-00508_20230829052127,79.950211,431.443329,0,0,0,0.5,0.8,0.001738,71.36,71.22,19.36,18.71,101.39,156.5,156.7,-0.1,0,4.008,38,-14,287,,,,,,,,0.515462963,45167,44.588768,-123.198997,62.400002,14,0.87,0.219340278,45167,-0.13,-0.003,0,0,0.436,-0.159,-0.182,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.510428,2.527194,1.655297,0.936636,0.341832,-0.007294,0.485935,0.107405,79.950211,0.000239,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829052127,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
47,5:21:54 AM,8/29/23,Night sampling,CH,LCOR-320,,,,0.792434,0.046295,2.918256,0.045572,0.247941,1.607108,1.600113,2.148531,0.541424,15.781418,15.850399,21.190292,0.441786,PSF-00508_20230829052154,82.295181,396.477692,0,0,0,0.5,0.8,0.003403,71.26,70.95,19.36,18.58,101.39,156.3,156.8,-0.3,0,4.004,57,-14,347,,,,,,,,0.515775463,45167,44.588814,-123.198959,62.099998,16,0.76,0.219340278,45167,-0.13,0.003,0,-0.005,-0.26,-0.114,0.049,0,150,-9999,-9999,1,rectangular,6000,5,-9999,-9999,55537,55537,55537,0,-9999,0,0,0,0,2.510066,2.527057,1.653479,0.936883,0.341854,-0.008686,0.488073,0.107409,82.295181,0.000228,2.400422,-0.000034,1,2.415003,-0.000039,1,0.602514,0.600977,0.1074,0,PSF-00508_20230829052154,PFA-00566,PSA-00583,PSF-00508,RHS-0736,2.0.0,2022-09-01T17:42:39.413Z
