"","construct2","n","rd1_SM_sd","rd1_SM","rd1_SM_se","rd1_MPa_sd","rd1_MPa","rd1_MPa_se","rd1_FvFm_sd","rd1_FvFm","rd1_FvFm_se"
"1","control",9,0.0598277620433116,0.201888888888889,0.0199425873477705,0.22220486043289,-0.516666666666667,0.0740682868109632,0.0150662904894042,0.833061111111111,0.00502209682980139
"2","transgenic",32,0.0695587185231344,0.2486875,0.0122963603895887,0.131972855835658,-0.5265625,0.0233297253234871,0.0153246528072022,0.831456375,0.00270904147982553
