"","construct2","n","rd2_SM_sd","rd2_SM","rd2_SM_se","rd2_MPa_sd","rd2_MPa","rd2_MPa_se","rd2_FvFm_sd","rd2_FvFm","rd2_FvFm_se"
"1","control",8,0.0582542150528918,0.149125,0.0205959752482996,0.130247018062932,-0.3125,0.0460492748508129,0.0552268050859363,0.7175,0.0195256241897666
"2","transgenic",32,0.0465858447108062,0.14421875,0.00823529167557864,0.113547986161316,-0.253125,0.0200726377511856,0.0432162137285563,0.6896875,0.00763961944616733
