flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity
,HHMMSS,YYYYMMDD,,,,,,,,,,umol+1m-2s-1
PSF-00281_20230801043030,04:30:30,2023-08-01,PFA-00299,PSA-00311,PSF-00281,357.530579,74.453117,0.791757,0.000000,0.000000,0.000000,0.459354

TIME,FLR,PAR
s,,umol+1m-2s-1
0.000000,229.218369,5983.534180
0.010000,295.385956,5983.534180
0.020000,319.815521,5983.534180
0.030000,332.105408,5983.534180
0.040000,337.313171,5983.534180
0.050000,339.427826,5983.534180
0.060000,340.315460,5983.534180
0.070000,340.767151,5983.534180
0.080000,341.109039,5983.534180
0.090000,341.389069,5983.534180
0.100000,341.747040,5983.534180
0.110000,342.121826,5983.534180
0.120000,342.551697,5983.534180
0.130000,343.013062,5983.534180
0.140000,343.512665,5983.534180
0.150000,343.977570,5983.534180
0.160000,344.472534,5983.534180
0.170000,344.930664,5983.534180
0.180000,345.370544,5983.534180
0.190000,345.785736,5983.534180
0.200000,346.180908,5983.534180
0.210000,346.513519,5983.534180
0.220000,346.848969,5983.534180
0.230000,347.150085,5983.534180
0.240000,347.434753,5983.534180
0.250000,347.697601,5983.534180
0.260000,347.976929,5983.534180
0.270000,348.203674,5983.534180
0.280000,348.460083,5983.534180
0.290000,348.685394,5983.534180
0.300000,348.937500,5983.534180
0.310000,349.172119,5983.534180
0.320000,349.412811,5983.534180
0.330000,349.658478,5983.534180
0.340000,349.926361,5983.534180
0.350000,350.178467,5983.534180
0.360000,350.472443,5983.534180
0.370000,350.764984,5983.534180
0.380000,351.026062,5983.534180
0.390000,351.312866,5983.534180
0.400000,351.616516,5983.534180
0.410000,351.894012,5983.534180
0.420000,352.167236,5983.534180
0.430000,352.434753,5983.534180
0.440000,352.717285,5983.534180
0.450000,353.008759,5983.534180
0.460000,353.276245,5983.534180
0.470000,353.525513,5983.534180
0.480000,353.760132,5983.534180
0.490000,354.006165,5983.534180
0.500000,354.239716,5983.534180
0.510000,354.449615,5983.534180
0.520000,354.659210,5983.534180
0.530000,354.852325,5983.534180
0.540000,355.079773,5983.534180
0.550000,355.270752,5983.534180
0.560000,355.453857,5983.534180
0.570000,355.608337,5983.534180
0.580000,355.764984,5983.534180
0.590000,355.930206,5983.534180
0.600000,356.087921,5983.534180
0.610000,356.244934,5983.534180
0.620000,356.375458,5983.534180
0.630000,356.514587,5983.534180
0.640000,356.626160,5983.534180
0.650000,356.715546,5983.534180
0.660000,356.833588,5983.534180
0.670000,356.924774,5983.534180
0.680000,357.004517,5983.534180
0.690000,357.109680,5983.534180
0.700000,357.200134,5983.534180
0.710000,357.249512,5983.534180
0.720000,357.296692,5983.534180
0.730000,357.341064,5983.534180
0.740000,357.397552,5983.534180
0.750000,357.447632,5983.534180
0.760000,357.481964,5983.534180
0.770000,357.508057,5983.534180
0.780000,357.518433,5983.534180
0.790000,357.530579,5983.534180
